
[00:00:00.000 --> 00:00:04.640]  今天早上我們分分去未完成的《約翰福音》系列
[00:00:04.640 --> 00:00:08.680]  今天早上我們回去我們未完成的《約翰福音》系列
[00:00:08.680 --> 00:00:14.720]  不知道過去差不多一年的時間和大家去看《約翰福音》
[00:00:14.720 --> 00:00:18.440]  不知道在過去一段時間我們跟大家來看《約翰福音》
[00:00:18.440 --> 00:00:21.440]  有沒有引起你對《約翰福音》的興趣呢
[00:00:21.440 --> 00:00:24.000]  有沒有引起你對《約翰福音》一點興趣呢
[00:00:24.000 --> 00:00:26.560]  特別如果用最適文學的角度
[00:00:26.560 --> 00:00:28.560]  特別是用敘事文學的角度
[00:00:28.560 --> 00:00:31.000]  我會更加發現《約翰福音》那個精彩
[00:00:31.000 --> 00:00:33.560]  你會更加發現《約翰福音》的精彩
[00:00:33.560 --> 00:00:38.680]  在新的系列裏面我選了七個《約翰福音》裏面的場景
[00:00:38.680 --> 00:00:43.080]  在新的《約翰福音》系列當中我選了七個場景
[00:00:43.080 --> 00:00:46.720]  上一次的場景是講到聖殿裏面
[00:00:46.720 --> 00:00:49.200]  上一次的場景是講到在聖殿裏面
[00:00:49.200 --> 00:00:52.640]  耶穌是要潔淨聖殿
[00:00:52.640 --> 00:00:54.240]  耶穌是要去潔淨聖殿
[00:00:54.240 --> 00:00:56.440]  要還原聖殿的光明
[00:00:56.440 --> 00:00:57.920]  要還原聖殿原本
[00:00:57.920 --> 00:00:59.600]  今早是講到
[00:00:59.600 --> 00:01:02.000]  另一個的場景是講到夜裏
[00:01:02.000 --> 00:01:04.800]  一位宗教的領袖去會見耶穌
[00:01:04.800 --> 00:01:08.040]  今天早上我們要來提到的是一位宗教領袖
[00:01:08.040 --> 00:01:10.120]  他在夜裏去會見耶穌
[00:01:10.120 --> 00:01:14.240]  如果你熟悉《約翰福音》的敘事
[00:01:14.240 --> 00:01:16.200]  如果你熟悉《約翰福音》的敘事
[00:01:16.200 --> 00:01:19.240]  你就發現耶穌和尼哥底姆的對話
[00:01:19.240 --> 00:01:21.920]  你就會發現耶穌和尼哥底姆的對話
[00:01:21.920 --> 00:01:25.560]  在《約翰福音》的敘事是其中一個很重要的典範
[00:01:25.560 --> 00:01:28.440]  在《約翰福音》的敘事當中是一個很重要的典範
[00:01:28.440 --> 00:01:30.840]  從尼哥底姆的言談之中
[00:01:30.840 --> 00:01:32.720]  從尼哥底姆的言談之中
[00:01:32.720 --> 00:01:36.840]  突出了尼哥底姆代表當時猶太人的群體
[00:01:36.840 --> 00:01:38.680]  對信仰那份的誤解
[00:01:38.680 --> 00:01:41.440]  突出了他自己對於他自己是代表
[00:01:41.440 --> 00:01:44.880]  當代猶太信仰群體的一個對信仰的誤解
[00:01:44.880 --> 00:01:49.680]  那個敘事是以兩個人夜間的對談作為場景
[00:01:49.680 --> 00:01:53.560]  這個敘事是以兩個人在夜間來會面作為場景
[00:01:53.560 --> 00:01:55.840]  當中人物那種的刻畫
[00:01:55.840 --> 00:01:57.640]  當中在裡面人物的刻畫
[00:01:57.640 --> 00:01:59.200]  主題的貫穿
[00:01:59.200 --> 00:02:00.280]  主題的貫穿
[00:02:00.280 --> 00:02:02.360]  或者用了很多的比喻
[00:02:02.360 --> 00:02:03.680]  或者是用了很多的比喻
[00:02:03.680 --> 00:02:05.960]  很多相關語的誤解
[00:02:05.960 --> 00:02:07.840]  很多相關語所帶出來的誤解
[00:02:07.840 --> 00:02:11.160]  或者甚至是一些嘲諷的比喻的技巧
[00:02:11.160 --> 00:02:13.560]  或者是一些嘲諷的比喻的技巧
[00:02:13.560 --> 00:02:17.560]  本來將這個好像一個很普通兩個人見面的場景
[00:02:17.560 --> 00:02:20.560]  看似原本好像很普通兩個人見面的場景
[00:02:20.560 --> 00:02:23.080]  提升到一個很深的屬靈的層次
[00:02:23.080 --> 00:02:25.640]  提升到一個很深的屬靈的場景
[00:02:25.640 --> 00:02:28.240]  類似這些敘事的形式
[00:02:28.240 --> 00:02:29.760]  類似像這樣的敘事的敘事
[00:02:29.760 --> 00:02:31.720]  會不斷在樣方裡面出現
[00:02:31.720 --> 00:02:33.040]  會不斷在約翰福音裡面出現
[00:02:33.040 --> 00:02:37.520]  其實那個目的就是拉近讀者和經文的距離
[00:02:37.520 --> 00:02:41.040]  其實這個目的就是拉近讀者跟經文之間的距離
[00:02:41.040 --> 00:02:43.760]  或者是突出了耶穌那種超凡的身份
[00:02:43.760 --> 00:02:46.920]  或者說獨特出耶穌他超然的身份
[00:02:46.920 --> 00:02:51.160]  一開始敘事者就鋪陳了整個的佈局
[00:02:51.160 --> 00:02:51.160]  一開始敘事者他就鋪陳了整個的佈局
[00:02:51.160 --> 00:02:54.280]  一開始敘事者他就鋪陳了整個的佈局
[00:02:54.280 --> 00:02:58.000]  這個佈局其實已經包含很多意思在裡面了
[00:02:58.000 --> 00:03:00.040]  這個佈局包含了非常多的意思在裡面
[00:03:00.040 --> 00:03:02.640]  如果我們用電影的鏡頭去描述呢
[00:03:02.640 --> 00:03:04.280]  如果我們用電影的鏡頭去描述
[00:03:04.280 --> 00:03:06.200]  在一個月黑風高的晚上
[00:03:06.200 --> 00:03:07.800]  在一個月黑風高的晚上
[00:03:07.800 --> 00:03:11.520]  如果你配上一些好像是不明朗的音樂
[00:03:11.520 --> 00:03:11.520]  如果你配上一些好像是不明朗的音樂
[00:03:11.520 --> 00:03:13.840]  如果你配上一些好像是不明朗的音樂
[00:03:13.840 --> 00:03:16.520]  一個位居權重的猶太人的官
[00:03:16.520 --> 00:03:16.520]  一個位居權重的猶太人的官
[00:03:16.520 --> 00:03:18.920]  一個位居權重的猶太人的官
[00:03:18.920 --> 00:03:20.920]  他自己本身都是一個宗教領袖
[00:03:20.920 --> 00:03:22.880]  他自己本身也是一個宗教領袖
[00:03:22.880 --> 00:03:24.880]  他拿著一個照路的燈籠
[00:03:24.880 --> 00:03:26.480]  他拿著一個照路的燈籠
[00:03:26.480 --> 00:03:27.720]  滿懷心事
[00:03:27.720 --> 00:03:28.720]  滿懷心事
[00:03:28.720 --> 00:03:30.880]  小心翼翼的走向民居
[00:03:30.880 --> 00:03:32.640]  小心翼翼的走向民居
[00:03:32.640 --> 00:03:35.240]  一方面要留意周圍的環境
