
[00:00:00.000 --> 00:00:02.320]  各位電影主媒《平安大宴你書》
[00:00:02.320 --> 00:00:04.200]  我們又來到第二講了
[00:00:04.200 --> 00:00:05.760]  第二講的題目叫做
[00:00:05.760 --> 00:00:07.920]  《從夢說起》
[00:00:07.920 --> 00:00:11.720]  有一天這個巴比倫王尼泊格里沙
[00:00:11.720 --> 00:00:13.720]  就做了一個夢
[00:00:13.720 --> 00:00:16.480]  但是很快他就忘記了這個夢
[00:00:16.480 --> 00:00:18.160]  我怎麼知道他起床之後
[00:00:18.160 --> 00:00:20.760]  他就召喚他的術士
[00:00:20.760 --> 00:00:22.120]  那些茂士尼
[00:00:22.120 --> 00:00:24.200]  就說我昨晚做了一個夢
[00:00:24.200 --> 00:00:27.200]  你快點告訴我這是什麼夢
[00:00:27.200 --> 00:00:29.080]  哇 那些術士個個就說
[00:00:29.080 --> 00:00:30.280]  皇帝 皇帝
[00:00:30.280 --> 00:00:32.680]  你告訴我們你的夢是怎樣
[00:00:32.680 --> 00:00:34.360]  然後我們嘗試幫你解
[00:00:34.360 --> 00:00:36.320]  他說我的夢已經忘記了
[00:00:36.320 --> 00:00:37.800]  你們告訴我
[00:00:37.800 --> 00:00:40.080]  嚇到那些術士
[00:00:40.080 --> 00:00:42.400]  那些茂士真的很害怕
[00:00:42.400 --> 00:00:43.680]  你又做夢
[00:00:43.680 --> 00:00:45.040]  你又忘記了
[00:00:45.040 --> 00:00:46.160]  又叫我們說
[00:00:46.160 --> 00:00:47.400]  我們怎麼說
[00:00:47.400 --> 00:00:50.440]  於是皇帝看到他們個個都不認識
[00:00:50.440 --> 00:00:52.560]  於是他就發脾氣了
[00:00:52.560 --> 00:00:54.840]  他說你們如果再不說出來
[00:00:54.840 --> 00:00:56.840]  我就殺了你們
[00:00:56.840 --> 00:00:59.240]  哇 這個消息一傳出去
[00:00:59.240 --> 00:01:01.360]  宮廷震驚
[00:01:01.360 --> 00:01:03.800]  哇 連丹尼尼這幫
[00:01:03.800 --> 00:01:07.760]  希伯來老回來的人都聽到
