
[00:00:00.000 --> 00:00:03.080]  我們立刻開始看《雅各書》
[00:00:03.080 --> 00:00:04.820]  看不明白《雅各書》
[00:00:04.820 --> 00:00:07.480]  我想還是需要一點點的背景
[00:00:07.480 --> 00:00:11.600]  《雅各》是耶穌的一個弟弟
[00:00:11.600 --> 00:00:14.000]  而《雅各》起初是不信主的
[00:00:14.000 --> 00:00:17.480]  如果你去看哥倫多前書第十五章
[00:00:17.480 --> 00:00:18.800]  講到耶穌復活之後
[00:00:18.800 --> 00:00:22.200]  它向很多人顯現其中一個就是《雅各》
[00:00:22.200 --> 00:00:23.400]  它的弟弟
[00:00:23.400 --> 00:00:26.080]  所以我們相信《雅各》是那時候信了主
[00:00:26.080 --> 00:00:27.760]  《雅各書》是《聖經》裏面
[00:00:27.760 --> 00:00:30.040]  我們相信其中一本最早的書
[00:00:30.040 --> 00:00:33.000]  成書的時候可能是公元四十年
[00:00:33.000 --> 00:00:34.760]  如果你記得保羅的書信當中
[00:00:34.760 --> 00:00:36.480]  最早的就是《迦太書》
[00:00:36.480 --> 00:00:40.520]  《迦太書》的書信是比《雅各書》遲寫一點的
[00:00:40.520 --> 00:00:42.920]  《迦太書》會講恩順清義
[00:00:42.920 --> 00:00:44.600]  但是你會發覺在《雅各書》裏面
[00:00:44.600 --> 00:00:47.400]  《雅各》已經是講有些人說恩順清義
[00:00:47.400 --> 00:00:49.760]  然後去挑戰這個恩順清義
[00:00:49.760 --> 00:00:52.280]  就是說這個恩順清義的教導
[00:00:52.280 --> 00:00:55.240]  可能在當時三四十年
[00:00:55.240 --> 00:00:58.440]  已經在教會里面是有這個概念
[00:00:58.440 --> 00:01:03.400]  然後《雅各》在挑戰這個恩順清義的信
[00:01:03.400 --> 00:01:07.040]  一定要有真正的行爲
[00:01:07.040 --> 00:01:07.960]  果子
[00:01:07.960 --> 00:01:11.480]  纔可以證明這個信心是真實的
[00:01:11.480 --> 00:01:15.360]  去到耶路撒冷的會議的時候
[00:01:15.360 --> 00:01:18.920]  我們看到《雅各》是在做當時教會的領袖
[00:01:18.920 --> 00:01:20.920]  彼得那時我們看到
[00:01:20.920 --> 00:01:23.360]  彼得已經離開了耶路撒冷
[00:01:23.360 --> 00:01:28.640]  最後《雅各》在公元62年傳統殉道
[00:01:28.640 --> 00:01:29.440]  他被人
[00:01:29.440 --> 00:01:34.160]  被猶太的領袖從聖殿裏面的頂樓推下來
[00:01:34.160 --> 00:01:34.880]  掉下來
[00:01:34.880 --> 00:01:35.640]  不死得
[00:01:35.640 --> 00:01:37.640]  然後被人用石頭扔死
[00:01:37.640 --> 00:01:40.040]  爲主殉道
[00:01:40.040 --> 00:01:41.880]  當你去看《雅各書》的時候
[00:01:41.880 --> 00:01:43.640]  我們有幾個主題會想到
[00:01:43.640 --> 00:01:45.080]  第一是恩順清義
[00:01:45.080 --> 00:01:46.680]  恩恆爲清義
[00:01:46.680 --> 00:01:48.320]  第二
[00:01:48.320 --> 00:01:49.920]  你會看到逼白
[00:01:49.920 --> 00:01:51.760]  他一開始就會告訴你
[00:01:51.760 --> 00:01:54.360]  他是寫給一羣被逼白的人
[00:01:54.360 --> 00:01:56.080]  在《雅各書》裏面也都看到
[00:01:56.080 --> 00:01:59.280]  有錢人和沒錢人的張力
[00:01:59.280 --> 00:02:01.680]  看到有一羣假的基督徒
[00:02:01.680 --> 00:02:03.360]  和一羣真的基督徒
[00:02:03.360 --> 00:02:07.000]  你會發覺他在挑戰那些假的基督徒的假信心
[00:02:07.000 --> 00:02:11.040]  他在安撫一羣真正在掙扎的基督徒
[00:02:11.040 --> 00:02:14.760]  叫他們可以忍耐到底
[00:02:14.760 --> 00:02:16.080]  你看《雅各書》
[00:02:16.080 --> 00:02:20.240]  有點像看猶太人的前後書
[00:02:20.240 --> 00:02:23.880]  因爲《雅各書》是寫給猶太人的
[00:02:23.880 --> 00:02:24.960]  猶太的信徒
[00:02:24.960 --> 00:02:27.160]  那麼多前書是寫給外邦人的
[00:02:27.160 --> 00:02:28.520]  而那麼多前書
[00:02:28.520 --> 00:02:31.280]  教會就十里埋伏,十里抱急
[00:02:31.280 --> 00:02:34.160]  你發覺《雅各書》寫的對象裏面
[00:02:34.160 --> 00:02:35.720]  都是有這種情況
[00:02:35.720 --> 00:02:37.680]  所以他看到一羣人不停罵
[00:02:37.680 --> 00:02:39.560]  接着看到另一羣人就安慰一下
[00:02:39.560 --> 00:02:40.560]  接着又回去罵
[00:02:40.560 --> 00:02:42.240]  又安慰又罵
[00:02:42.240 --> 00:02:44.800]  你發覺他面對這些基督徒
[00:02:44.800 --> 00:02:48.920]  是不斷呼喊他們去迴轉
[00:02:48.920 --> 00:02:52.680]  我們會看《雅各書》的起頭幾節
[00:02:52.680 --> 00:02:54.240]  最後的幾節
[00:02:54.240 --> 00:02:58.800]  和中間的信和行爲那一段
[00:02:58.800 --> 00:03:01.560]  我們先開始看《雅各書》的第一章第一節
[00:03:01.560 --> 00:03:04.440]  上帝和主耶穌基督瀑人雅各
[00:03:04.440 --> 00:03:08.440]  吾問候散居在各處十二個支派
[00:03:08.440 --> 00:03:10.000]  我們相信他是寫給猶太人
[00:03:10.000 --> 00:03:12.080]  因爲他還在用這十二個支派
[00:03:12.080 --> 00:03:14.080]  猶太人有十二個支派
[00:03:14.080 --> 00:03:16.760]  你知道十二支派的老爸是誰嗎
[00:03:16.760 --> 00:03:18.760]  在《舊約成經》裏面
[00:03:18.760 --> 00:03:20.880]  他又叫雅各
[00:03:20.880 --> 00:03:22.920]  所以有些人說他在耍花招
[00:03:22.920 --> 00:03:24.920]  因爲他的名字剛好叫雅各
[00:03:24.920 --> 00:03:27.280]  他在寫給十二支派
[00:03:27.280 --> 00:03:30.400]  當然他不是代表他是那個雅各
