
[00:00:00.000 --> 00:00:02.400]  今日這個題目,我想都幾吸引。
[00:00:02.400 --> 00:00:06.400]  借了錢的那些人,就應該幾喜歡聽這篇的《道》。
[00:00:06.400 --> 00:00:10.700]  你借錢給人的那些,就可能不太喜歡這篇的《道》。
[00:00:10.700 --> 00:00:13.900]  因為題目是什麼呢?借錢是不用還的。
[00:00:13.900 --> 00:00:18.400]  當債的那些人,就不可以追別人來來去去還債。
[00:00:18.400 --> 00:00:20.900]  那究竟是什麼一回事呢?
[00:00:20.900 --> 00:00:23.900]  好,我們領受之前,我們先來低頭來禱告好嗎?
[00:00:23.900 --> 00:00:27.400]  天皇我們多謝你,讓我們能夠有機會來來去去學習。
[00:00:27.400 --> 00:00:30.400]  願神你的話語成為我們生命的幫助和激勵。
[00:00:30.400 --> 00:00:33.400]  求主你自己親自的眷顧,使用孩子所講的信息。
[00:00:33.400 --> 00:00:35.400]  有願意我們能夠學習,
[00:00:35.400 --> 00:00:38.900]  怎樣可以用信心仰望祢,遵從祢的教導。
[00:00:38.900 --> 00:00:40.400]  帶領我們以後的時間,
[00:00:40.400 --> 00:00:43.400]  祈禱賴奉主德聖的名,阿們。
[00:00:43.400 --> 00:00:45.900]  我不知道大家有時候會不會收到一些電話呢?
[00:00:45.900 --> 00:00:47.400]  那些什麼三字頭的電話呢?
[00:00:47.400 --> 00:00:51.400]  那些銀行啊,或者有一些機構打給你呢?
[00:00:51.400 --> 00:00:55.400]  就說呢,唉,需要嗎?我們有低息貸款啊這樣。
[00:00:55.400 --> 00:00:58.400]  那有時候你收到一些銀行寄給你的信呢,
[00:00:58.400 --> 00:01:00.400]  也是預先批核的嘛,對不對?
[00:01:00.400 --> 00:01:03.900]  那還有你看到電視裡面有很多廣告呢,都是鼓勵你借錢啊。
[00:01:03.900 --> 00:01:06.400]  不過一句話,一定是這樣講的。
[00:01:06.400 --> 00:01:10.400]  忠告市民,借錢緊要還。
[00:01:10.400 --> 00:01:13.900]  下一句是什麼?不要給錢中介,是不是?
[00:01:13.900 --> 00:01:18.900]  那借錢要還,這個是天公地道的道理啦。
[00:01:18.900 --> 00:01:21.400]  那所以呢,就是你應該要還債的。
[00:01:21.400 --> 00:01:26.400]  如果那個人不去還錢給你的時候,你追他債也是很應該的。
[00:01:26.400 --> 00:01:30.400]  但是聖經竟然有一段的經文提醒,是不是律例來的?
[00:01:30.400 --> 00:01:33.400]  告訴我們,借了錢可能是不用還的。
[00:01:33.400 --> 00:01:35.400]  特別最重要的是什麼呢?
[00:01:35.400 --> 00:01:38.400]  你借錢給別人的那些,不要去追別人的債項。
[00:01:38.400 --> 00:01:40.400]  啊?這樣都可以?
[00:01:40.400 --> 00:01:45.400]  那究竟這一段的經文,可不可以應用在今天這個社會裡面呢?
[00:01:45.400 --> 00:01:49.400]  這個是不是一個很匪夷所思的一段的律例呢?
[00:01:49.400 --> 00:01:52.400]  我們怎樣去解讀這些經文呢?
[00:01:52.400 --> 00:01:55.400]  不如我們先讀這一段的經文,給我們一個概念先。
[00:01:55.400 --> 00:01:57.400]  然後我們再逐一解釋。
[00:01:57.400 --> 00:02:00.400]  《生命記》第十五章的第一到第十一節。
[00:02:00.400 --> 00:02:03.400]  《生命記》第十五章第一到十一節,我們一起來讀出。
[00:02:03.400 --> 00:02:07.400]  每逢七年活一年,你要施行豁免。
[00:02:07.400 --> 00:02:10.400]  豁免的定例乃是這樣。
[00:02:10.400 --> 00:02:14.400]  凡債主要把所借給鄰舍的豁免了。
[00:02:14.400 --> 00:02:18.400]  不可向鄰舍和弟兄追討。
[00:02:18.400 --> 00:02:22.400]  因為耶和華的豁免年已經宣告了。
[00:02:22.400 --> 00:02:26.400]  若借給外邦人,你可以向他追討。
[00:02:26.400 --> 00:02:32.400]  但借給你弟兄,無論是什麼,你要鬆手豁免了。
[00:02:32.400 --> 00:02:36.400]  你若留意聽從耶和華你神的話,
[00:02:36.400 --> 00:02:41.400]  謹守遵行我今日所吩咐你這一切的命令,
[00:02:41.400 --> 00:02:45.400]  就必在你們中間沒有窮人了。
[00:02:45.400 --> 00:02:49.400]  在耶和華你神所賜你遺孽的地上,
[00:02:49.400 --> 00:02:53.400]  耶和華必大大賜福於你。
[00:02:53.400 --> 00:02:59.400]  因為耶和華你的神必照祂所應許你的賜福於你。
[00:02:59.400 --> 00:03:04.400]  你必借給許多國民,卻不至向他們借貸。
[00:03:04.400 --> 00:03:09.400]  你必管轄許多國民,他們卻不能管轄你。
[00:03:09.400 --> 00:03:13.400]  在耶和華你神所賜你的地上,
