
[00:00:00.000 --> 00:00:02.800]  全村的弟兄姊妹 祝你平安
[00:00:02.800 --> 00:00:05.200]  父親節快樂
[00:00:05.200 --> 00:00:09.700]  今天我跟大家一起來分享的
[00:00:09.700 --> 00:00:11.600]  經文寫在《路加福音》
[00:00:11.600 --> 00:00:14.300]  八章二十六到三十九節
[00:00:14.300 --> 00:00:17.000]  我用《環球新義本》
[00:00:17.000 --> 00:00:21.000]  不太熟識 但是我相信大家可以聽得明白
[00:00:21.000 --> 00:00:24.100]  這個題目叫《回家去全講》
[00:00:24.100 --> 00:00:27.100]  剛才我來的時候也分享過
[00:00:27.100 --> 00:00:32.000]  我最近的一段時間就在正道生命團七那邊服事
[00:00:32.000 --> 00:00:34.200]  是幫助一些在囚人室
[00:00:34.200 --> 00:00:36.600]  在監獄那邊怎麼去練神學
[00:00:36.600 --> 00:00:38.600]  因為他們進了主以後
[00:00:38.600 --> 00:00:41.900]  有一個好的心經的培訓
[00:00:41.900 --> 00:00:44.300]  對他們出來以後有很大的幫助
[00:00:44.300 --> 00:00:45.400]  所以我感謝主
[00:00:45.400 --> 00:00:47.800]  去年年底的時候
[00:00:47.800 --> 00:00:49.500]  這個十二月份的時候
[00:00:49.500 --> 00:00:53.800]  我們收到三封的證書 神學文憑
[00:00:53.800 --> 00:00:57.000]  這個是在他們的網站那邊登的圖片
[00:00:57.000 --> 00:01:00.400]  這個照片是見證推動香港監獄
[00:01:00.400 --> 00:01:05.600]  囚友收讀神學課程的機構的努力
[00:01:05.600 --> 00:01:10.200]  總幹事李建明牧師和團牧麥韋琪牧師
[00:01:10.200 --> 00:01:13.600]  在推動了三年的監獄神學課程以後
[00:01:13.600 --> 00:01:17.300]  終於可以在刑警總監
[00:01:17.300 --> 00:01:22.800]  香港副主任陳俊文全道的手中
[00:01:22.800 --> 00:01:28.600]  收穫三個囚友的畢業證書
[00:01:28.600 --> 00:01:31.300]  這是何等值得我們高興的事
[00:01:31.300 --> 00:01:32.800]  高興嗎
[00:01:32.800 --> 00:01:34.800]  所以我收到以後我感謝主
[00:01:34.800 --> 00:01:36.400]  就是我過去的幾年
[00:01:36.400 --> 00:01:37.400]  他們練了三年
[00:01:37.400 --> 00:01:40.100]  但是前面有一兩年我們是籌備安排
[00:01:40.100 --> 00:01:42.100]  然後他們真的一課一課的練
[00:01:42.100 --> 00:01:44.300]  練完了十幾課以後
[00:01:44.300 --> 00:01:48.600]  有三個同學拿到神學文憑
[00:01:48.600 --> 00:01:49.600]  很感動
[00:01:49.600 --> 00:01:52.100]  Diploma in Philology 不容易的事情
[00:01:52.100 --> 00:01:53.700]  特別是這個環境有限
[00:01:53.700 --> 00:01:55.800]  這個資源有限的情況以上
[00:01:55.800 --> 00:01:58.200]  但是他們還有一個同學還在繼續的練
[00:01:58.200 --> 00:01:59.900]  其他幾個他說暫時休息一下
[00:01:59.900 --> 00:02:04.900]  因為環境疫情等等都影響很大
[00:02:04.900 --> 00:02:09.200]  我們是透過這個網絡來跟他幫忙做神學
[00:02:09.200 --> 00:02:10.200]  不容易
[00:02:10.200 --> 00:02:13.100]  然後我們拿到這個文憑以後
[00:02:13.100 --> 00:02:15.800]  就將他們的家人叫到我們辦公室
[00:02:15.800 --> 00:02:18.500]  叫到當時的神學院的戰犯署
[00:02:18.500 --> 00:02:20.900]  給他們的家人也一起來分享
[00:02:20.900 --> 00:02:22.900]  他們看到這個文憑很感動
[00:02:22.900 --> 00:02:26.400]  沒想到一個殺人鬆手的
[00:02:26.400 --> 00:02:29.200]  可以在監獄裡面信主也好練神學
[00:02:29.200 --> 00:02:30.700]  還有那麼好的成績
[00:02:30.700 --> 00:02:32.400]  所以家人都很感動
[00:02:32.400 --> 00:02:37.400]  有些他的愛人拿到這個證書以後很感動
[00:02:37.400 --> 00:02:40.400]  他的哥哥另外一個哥哥拿到也很感動
[00:02:40.400 --> 00:02:41.600]  我自己也很感動
[00:02:41.600 --> 00:02:43.200]  所以我跟你們一起分享
[00:02:43.200 --> 00:02:46.000]  好的東西總得要分享對不對
[00:02:46.000 --> 00:02:47.200]  剛才我們練的經文
[00:02:47.200 --> 00:02:49.600]  我感謝這個主席給我們練了
[00:02:49.600 --> 00:02:51.300]  但是在前面來講
[00:02:51.300 --> 00:02:54.000]  就是耶穌到了格里森以前
[00:02:54.000 --> 00:02:57.100]  格萊森以前是有一段的路程的
[00:02:57.100 --> 00:02:59.400]  我們今天上教課也有一個跑路
[00:02:59.400 --> 00:03:02.000]  可以坐車可以怎麼樣來的
[00:03:02.000 --> 00:03:03.000]  有些時候
[00:03:03.000 --> 00:03:05.100]  可能你坐的交通工具也有故障
[00:03:05.100 --> 00:03:06.200]  有沒有
[00:03:06.200 --> 00:03:07.000]  都出問題
[00:03:07.000 --> 00:03:09.500]  所以每一次來我們希望提前一點
[00:03:09.500 --> 00:03:10.800]  我再往前看一看
[00:03:10.800 --> 00:03:13.400]  就是有一天耶穌和門徒上了船
[00:03:13.400 --> 00:03:17.700]  對他們說我們要渡到海的那邊去
[00:03:17.700 --> 00:03:18.900]  他們就開了船
[00:03:18.900 --> 00:03:22.800]  船行的時候他睡著了
[00:03:22.800 --> 00:03:24.600]  耶穌很疲倦
[00:03:24.600 --> 00:03:30.200]  走遍各城各鄉的去船道趕鬼治病對不對
[00:03:30.200 --> 00:03:33.800]  然後到路加的第八章的時候
[00:03:33.800 --> 00:03:35.300]  他說我要到那邊去
[00:03:35.300 --> 00:03:36.300]  到哪裡去
[00:03:36.300 --> 00:03:37.700]  門徒是不清楚的
[00:03:37.700 --> 00:03:40.600]  但是耶穌有一個目的地要出發了
[00:03:40.600 --> 00:03:42.200]  門徒就跟著去了
[00:03:42.200 --> 00:03:45.800]  然後耶穌就在船上睡著
[00:03:45.800 --> 00:03:47.700]  睡著的時候怎麼樣
[00:03:47.700 --> 00:03:51.300]  海上突然起了狂風
[00:03:51.300 --> 00:03:53.100]  他們全心試透了
[00:03:53.100 --> 00:03:55.300]  非常危險
[00:03:55.300 --> 00:03:57.700]  然後門徒叫醒了耶穌
[00:03:57.700 --> 00:03:59.900]  說了主啊我們沒命了
[00:03:59.900 --> 00:04:02.500]  在船上大部分都是漁夫
[00:04:02.500 --> 00:04:04.700]  都是有航海經驗的
[00:04:04.700 --> 00:04:06.700]  但他們也知道很危險的時候
[00:04:06.700 --> 00:04:08.500]  這個的確是很危險
[00:04:08.500 --> 00:04:11.400]  不是一般的風浪
[00:04:11.400 --> 00:04:13.000]  然後他們就叫醒了耶穌
[00:04:13.000 --> 00:04:14.900]  主啊我們沒命了
[00:04:14.900 --> 00:04:16.900]  然後耶穌就醒過來
[00:04:16.900 --> 00:04:18.500]  吹起了這個風浪
[00:04:18.500 --> 00:04:22.100]  風浪就幾次了平靜了
[00:04:22.100 --> 00:04:27.000]  這是耶穌一個旅程當中的小插曲
[00:04:27.000 --> 00:04:31.000]  耶穌就對他們說你們的信心在哪裡呢
[00:04:31.000 --> 00:04:34.000]  如果我們知道跟你坐在一起的時候
[00:04:34.000 --> 00:04:34.900]  那個是誰
[00:04:34.900 --> 00:04:36.500]  那個是主耶穌基督
[00:04:36.500 --> 00:04:38.400]  是昌天照地的神
[00:04:38.400 --> 00:04:39.700]  你們還怕什麼
[00:04:39.700 --> 00:04:41.200]  對不對弟兄姐妹
[00:04:41.200 --> 00:04:43.300]  我也知道趙盔可能下個禮拜開始
[00:04:43.300 --> 00:04:45.700]  有一個很忙碌的工程要做了
[00:04:45.700 --> 00:04:47.800]  我們怕不怕
[00:04:47.800 --> 00:04:49.900]  我們知道這是主的安排
[00:04:49.900 --> 00:04:52.100]  一定有他的最好的準備
[00:04:52.100 --> 00:04:53.600]  所以我們不用怕
[00:04:53.600 --> 00:04:57.300]  什麼事情萬事都會互相的效力
[00:04:57.300 --> 00:04:58.900]  叫愛神的人得益處
[00:04:58.900 --> 00:05:00.300]  同不同意啊
[00:05:00.300 --> 00:05:03.200]  所以這根本對我們也有很大的鼓勵
