
[00:00:00.000 --> 00:00:04.080]  好,我今次想寫這個題目的時候
[00:00:04.080 --> 00:00:05.760]  也有很多思緒
[00:00:05.760 --> 00:00:09.880]  母親節,如果你說教導人家怎樣做媽媽
[00:00:09.880 --> 00:00:12.520]  好像母親節還在教人家怎樣做媽媽
[00:00:12.520 --> 00:00:14.640]  這樣好像不太好,是不是?
[00:00:14.640 --> 00:00:18.920]  然後我說,不如想想小朋友應該怎樣孝順媽媽呢?
[00:00:18.920 --> 00:00:23.480]  我想想,大部分都是工作假期、留學生、青年人
[00:00:23.480 --> 00:00:25.120]  媽媽又不在
[00:00:25.120 --> 00:00:27.040]  教了你又好像
[00:00:27.040 --> 00:00:31.880]  是不是很怨水路?要明年才做得到,好像太遲了
[00:00:31.880 --> 00:00:35.040]  OK,我在想著想著
[00:00:35.040 --> 00:00:38.240]  我也在網上找了很久
[00:00:38.240 --> 00:00:40.840]  想著想著,有些經文很有趣
[00:00:40.840 --> 00:00:45.480]  剛才《約翰福音》那裡,十九章
[00:00:45.480 --> 00:00:48.720]  是耶穌在十字架上
[00:00:48.720 --> 00:00:52.480]  最後那七句說話其中的一句
[00:00:52.480 --> 00:00:54.840]  我覺得很有意思
[00:00:54.840 --> 00:00:57.200]  想和大家分享一下
[00:00:57.200 --> 00:01:04.520]  OK
[00:01:04.520 --> 00:01:11.960]  我其實是在想幾件事
[00:01:11.960 --> 00:01:22.720]  好了,回到我原本的次序
[00:01:22.720 --> 00:01:28.840]  好,耶穌在十字架上就快死了,是不是?
[00:01:28.840 --> 00:01:31.680]  「人之將死,其言也是」
[00:01:31.680 --> 00:01:34.160]  祂說了七句說話
[00:01:34.160 --> 00:01:37.960]  在中間那句就說了這一句
[00:01:37.960 --> 00:01:40.960]  因為祂已經,其實祂前面那句就說
[00:01:40.960 --> 00:01:43.880]  「父啊赦免他們,因為他們所作的,他們不曉得」
[00:01:43.880 --> 00:01:45.920]  就是那些對著很多人說
[00:01:45.920 --> 00:01:47.800]  然後對著旁邊那個說
[00:01:47.800 --> 00:01:51.480]  「今天我要和你在樂園裡面,因為那個囚犯很慘」
[00:01:51.480 --> 00:01:52.960]  好,這些不重要
[00:01:52.960 --> 00:01:56.440]  我在想,為什麼耶穌在那一刻
[00:01:56.440 --> 00:01:58.600]  祂看到下面
[00:01:58.600 --> 00:02:01.120]  可以給一些經文大家看看
[00:02:01.120 --> 00:02:03.200]  祂看到下面的時候
[00:02:03.200 --> 00:02:05.480]  祂就看見祂媽媽
[00:02:05.480 --> 00:02:08.440]  又看見祂最愛的門徒
[00:02:08.440 --> 00:02:11.440]  然後祂就說出這些說話
[00:02:11.440 --> 00:02:14.520]  可不可以打一些經文出來?
[00:02:14.520 --> 00:02:16.840]  祂說「看你的母親」
[00:02:16.840 --> 00:02:18.840]  然後之前那句呢?
[00:02:22.080 --> 00:02:31.120]  「二十六,二十五,母親看你的兒子」
[00:02:31.120 --> 00:02:33.480]  我在想
[00:02:33.480 --> 00:02:41.200]  耶穌的媽媽瑪利亞和約翰有多少接觸呢?
[00:02:41.200 --> 00:02:46.600]  他們是不是一起長大的?
[00:02:46.600 --> 00:02:48.920]  都不是很熟的了,我相信,是不是?
[00:02:48.920 --> 00:02:50.960]  在耶穌三年的傳道當中
[00:02:50.960 --> 00:02:54.800]  有沒有記載祂的媽媽經常跟著祂?
[00:02:54.800 --> 00:02:57.600]  沒有,甚至乎很久沒見祂的兒子了
[00:02:57.600 --> 00:03:00.960]  所以在人群堆裡面找祂的兒子
[00:03:00.960 --> 00:03:03.560]  都沒有空見祂的媽媽
[00:03:03.560 --> 00:03:05.360]  耶穌都很忙碌的
[00:03:05.360 --> 00:03:08.560]  都好像我們現代人一樣很忙碌的
[00:03:08.560 --> 00:03:13.680]  所以我相信這個媽媽和約翰之間的關係
[00:03:13.680 --> 00:03:15.960]  不是會很親密
[00:03:15.960 --> 00:03:17.560]  但是在那一刻裡面
[00:03:17.560 --> 00:03:21.920]  耶穌居然說「母親看你的兒子」
[00:03:21.920 --> 00:03:24.200]  即是說祂的門徒約翰
[00:03:24.200 --> 00:03:26.680]  然後對著這個約翰說
[00:03:26.680 --> 00:03:31.080]  「這是你的母親」
[00:03:31.080 --> 00:03:38.920]  我就想,誰是媽媽?
[00:03:38.920 --> 00:03:41.200]  如果你是約翰
[00:03:41.200 --> 00:03:44.640]  你聽到你的老師突然跟你這樣說
[00:03:44.640 --> 00:03:53.560]  你那一刻怎樣?怎樣反應?
[00:03:53.560 --> 00:03:55.560]  你先把鏡頭拉近一點
[00:03:55.560 --> 00:03:57.480]  我覺得人生很實際的
[00:03:57.480 --> 00:04:00.800]  當時那種情景太過戲劇化了
[00:04:00.800 --> 00:04:06.720]  即是突然間你奶奶江林說要跟你住
[00:04:06.720 --> 00:04:10.080]  你的反應怎樣呢?
[00:04:10.080 --> 00:04:13.440]  或者反過來,突然間你的岳母江林
[00:04:13.440 --> 00:04:15.760]  要跟你住,你知道的
[00:04:15.760 --> 00:04:17.560]  你拿張簽證過來
[00:04:17.560 --> 00:04:20.600]  有些國家要拿張簽證過來
[00:04:20.600 --> 00:04:24.960]  香港就不用
[00:04:24.960 --> 00:04:32.320]  就說就到了
[00:04:32.320 --> 00:04:38.640]  你的反應怎樣呢?
[00:04:38.640 --> 00:04:41.120]  當時約翰的反應是
[00:04:41.120 --> 00:04:49.480]  「從此那門徒就折他到自己家裡去了」
[00:04:49.480 --> 00:04:53.200]  我心想其實不容易的
[00:04:53.200 --> 00:04:57.080]  突然間接一個不是跟你一起成長的人
[00:04:57.080 --> 00:04:59.960]  還告訴你「這是你的母親」
[00:04:59.960 --> 00:05:03.440]  他不是接一個朋友,他無家可歸
[00:05:03.440 --> 00:05:08.440]  我家住一下,我代表我的仁愛之心
[00:05:08.440 --> 00:05:12.440]  不是,他說要接他老師的媽媽去他家裡
[00:05:12.440 --> 00:05:15.560]  就說「這是你的母親」
[00:05:15.560 --> 00:05:20.160]  從此他就去照顧她
[00:05:20.160 --> 00:05:22.040]  還有一點我就想一下
[00:05:22.040 --> 00:05:26.800]  耶穌有沒有兄弟姐妹的?
[00:05:26.800 --> 00:05:28.880]  最少有一個,是不是?
[00:05:28.880 --> 00:05:33.960]  聖經說是雅各的,是不是?
[00:05:33.960 --> 00:05:39.720]  我不排除其實還有其他的頂姐妹
[00:05:39.720 --> 00:05:43.120]  如果你看看前面
[00:05:43.120 --> 00:05:44.560]  瑪利亞有沒有朋友?
[00:05:44.560 --> 00:05:47.240]  有沒有姐妹?有沒有好姐妹?
[00:05:47.240 --> 00:05:48.360]  有,是不是?
[00:05:48.360 --> 00:05:51.280]  去墳墓的時候不是有些好姐妹跟他一起去的?
[00:05:51.280 --> 00:05:52.920]  甚至在十字架底下
[00:05:52.920 --> 00:05:55.360]  雅各也說他有些好姐妹陪著他
[00:05:55.360 --> 00:05:57.520]  他不是說沒有朋友
[00:05:57.520 --> 00:06:00.640]  真的是孤苦伶仃,無家可歸
[00:06:00.640 --> 00:06:04.480]  是這樣的,是不是?
[00:06:04.480 --> 00:06:12.480]  但是耶穌在十字架上面卻是對著門徒說
[00:06:12.480 --> 00:06:14.840]  「看你的母親」
[00:06:14.840 --> 00:06:20.160]  然後從此這個門徒就接瑪利亞回自己家裡住
[00:06:20.160 --> 00:06:21.720]  所以我看到這篇聖經的時候
[00:06:21.720 --> 00:06:27.600]  我覺得原來不一定要血緣關係才是媽媽
[00:06:27.600 --> 00:06:30.280]  同不同意這句話嗎?
[00:06:30.280 --> 00:06:32.800]  有沒有人同意?
[00:06:32.800 --> 00:06:34.320]  沒有人同意嗎?
[00:06:34.320 --> 00:06:37.680]  幸好有個人支持你,多謝我
[00:06:37.680 --> 00:06:39.400]  其他的你不贊成嗎?
[00:06:39.400 --> 00:06:41.080]  有沒有人反對?
[00:06:41.080 --> 00:06:43.040]  一定要是血緣那些才是媽媽
[00:06:43.040 --> 00:06:47.000]  沒有血緣那些不是媽媽
[00:06:47.000 --> 00:06:50.120]  行不行?
[00:06:50.120 --> 00:06:52.840]  記得在聖經裡面
