
[00:00:00.000 --> 00:00:02.000]  記載在第六章的故事
[00:00:02.000 --> 00:00:04.000]  可以說是在《但義理》書裏面
[00:00:04.000 --> 00:00:06.000]  最多人知道的故事
[00:00:06.000 --> 00:00:08.000]  記載在第六章裏面的故事
[00:00:08.000 --> 00:00:10.000]  可以說是最多人知道的故事
[00:00:10.000 --> 00:00:12.000]  因為大家一路聽下去的時候
[00:00:12.000 --> 00:00:14.000]  這個故事遭人陷害的但義理
[00:00:14.000 --> 00:00:17.000]  大家都一直在聽這個故事的時候
[00:00:17.000 --> 00:00:20.000]  都知道這個一直遭人陷害的但義理
[00:00:20.000 --> 00:00:24.000]  雖然他是被扔了進獅子坑
[00:00:24.000 --> 00:00:26.000]  但是他是毫無受到傷害
[00:00:26.000 --> 00:00:28.000]  雖然他被扔進了獅子坑
[00:00:28.000 --> 00:00:30.000]  但是他毫無損傷
[00:00:30.000 --> 00:00:32.000]  相反那些陷害的人
[00:00:32.000 --> 00:00:35.000]  一被拋進獅子坑裏面的時候
[00:00:35.000 --> 00:00:37.000]  全部被獅子吃了
[00:00:37.000 --> 00:00:40.000]  相反的那些扔他進獅子坑的人
[00:00:40.000 --> 00:00:43.000]  一被扔進獅子坑就全部被獅子吃了
[00:00:43.000 --> 00:00:45.000]  似乎在這個故事裏面
[00:00:45.000 --> 00:00:47.000]  中國人經常說善有善報
[00:00:47.000 --> 00:00:50.000]  惡有惡報的觀念得到具體的實現
[00:00:50.000 --> 00:00:51.000]  在這個故事裏面
[00:00:51.000 --> 00:00:53.000]  中國人常常的觀念就是
[00:00:53.000 --> 00:00:55.000]  善有善報惡有惡報
[00:00:55.000 --> 00:00:58.000]  這個具體的體現出來
[00:00:58.000 --> 00:01:00.000]  所以通常我們看完這個故事
[00:01:00.000 --> 00:01:01.000]  都覺得很舒服很開心
[00:01:01.000 --> 00:01:03.000]  所以我們看完這個故事
[00:01:03.000 --> 00:01:05.000]  就覺得很舒服很高興
[00:01:05.000 --> 00:01:06.000]  讓我告訴大家
[00:01:06.000 --> 00:01:09.000]  這個故事不是單純讓我們感到舒服
[00:01:09.000 --> 00:01:10.000]  我可以告訴大家
[00:01:10.000 --> 00:01:13.000]  這個故事不是單純讓我們感到舒服
[00:01:13.000 --> 00:01:15.000]  裏面也有很多重要的屬靈的功課
[00:01:15.000 --> 00:01:16.000]  我們可以學習
