
[00:00:00.000 --> 00:00:07.740]  今日我哋已經嚟到菲律賓書第二章嘅最後一個嘅部分
[00:00:07.740 --> 00:00:10.680]  相信對於第一章
[00:00:10.680 --> 00:00:16.960]  保羅就提過「因我活著就是基督,死了就有益處」
[00:00:16.960 --> 00:00:19.080]  記唔記得呢段經文呀?
[00:00:19.080 --> 00:00:20.160]  希望你記得啦
[00:00:20.160 --> 00:00:23.220]  因為上個月嘅每月金句
[00:00:23.220 --> 00:00:26.200]  我哋每個禮拜都嚟到溫習㗎喇
[00:00:26.200 --> 00:00:27.720]  應該有啲印象
[00:00:27.720 --> 00:00:33.100]  除此之外呢,講到第二章嘅前半部分嗰度呢
[00:00:33.100 --> 00:00:37.960]  就話到關於耶穌基督嗰個嘅虛己
[00:00:37.960 --> 00:00:47.340]  因為呢我喺當中都有繼續去同大家一路講第二章啦
[00:00:47.340 --> 00:00:51.780]  咁所以呢就嚟到今日呢一個嘅段落喇
[00:00:51.780 --> 00:01:00.540]  好喇,呢一個嘅段落呢我形容呢係一啲大道理裏面嘅小插曲
[00:01:00.540 --> 00:01:02.220]  因為點解呢?
[00:01:02.220 --> 00:01:09.180]  裏面呢大家未必為意到呢原來係講到兩個嘅人物㗎
[00:01:09.180 --> 00:01:15.440]  呢兩個人物究竟保羅,即係講完頭先嗰啲大道理之後搞咩呢?
[00:01:15.440 --> 00:01:18.280]  點解忽然間去到呢兩個小人物
[00:01:18.280 --> 00:01:22.480]  即係花咗咁長嘅篇幅同我哋去分享呢?
[00:01:22.480 --> 00:01:24.880]  簡單同大家溫習一下
[00:01:24.880 --> 00:01:27.940]  菲律賓係羅馬帝國裏面呢
[00:01:27.940 --> 00:01:32.780]  係馬其頓省東面一個大城市嚟㗎
[00:01:32.780 --> 00:01:39.780]  呢個係一個軍事,即係一個防衛,駐防嘅城市
[00:01:39.780 --> 00:01:43.580]  而且呢亦都係一個非常之繁盛嘅城市
[00:01:43.580 --> 00:01:51.380]  喺保羅去歐洲傳道呢就形容佢係呢福音初初去到嘅地方
[00:01:51.380 --> 00:01:53.980]  我哋睇返嘅十六章呢
[00:01:53.980 --> 00:01:59.180]  我哋就會知道呢其實當其時教會真係好興旺
