
[00:00:00.000 --> 00:00:03.180]  今日定講到嘅題目我叫做
[00:00:03.180 --> 00:00:06.220]  不被擊倒 因為我哋睇見永恆
[00:00:06.220 --> 00:00:11.320]  經文係記載喺哥林多後書嘅四章
[00:00:11.320 --> 00:00:13.220]  十六至十八節
[00:00:13.220 --> 00:00:15.180]  預備好我哋一齊嚟喇
[00:00:15.180 --> 00:00:16.620]  1 2 3
[00:00:30.000 --> 00:00:33.040]  咁我哋重播畀你 去遇嘅永恆
[00:00:33.040 --> 00:00:36.440]  今晚我哋就先會見所見嘅
[00:00:36.440 --> 00:00:38.920]  下一次會見所謂見嘅
[00:00:38.920 --> 00:00:41.800]  就係所見嘅事加時機
[00:00:41.800 --> 00:00:44.680]  所謂見嘅事會永恆
[00:00:44.680 --> 00:00:47.520]  按照使徒行傳嘅十八章嗰度咁樣提嘅
[00:00:47.520 --> 00:00:49.680]  哥林多教會係保羅第二次
[00:00:49.680 --> 00:00:52.640]  佢嘅宣教旅程裏面建立嘅一間教會
[00:00:52.640 --> 00:00:55.600]  由於哥林多教會裏面嘅人
[00:00:55.600 --> 00:00:57.560]  應該首先講呢個地方嘅人
[00:00:57.560 --> 00:01:00.400]  佢哋嘅生活係一個咩嘅環境
[00:01:00.400 --> 00:01:02.000]  充滿住道德嘅墮落
[00:01:02.000 --> 00:01:05.880]  同埋佢哋面對住有好多唔同嘅
[00:01:05.880 --> 00:01:09.240]  異教嘅文化影響緊呢個地方
[00:01:09.240 --> 00:01:10.320]  佢哋信主之後
[00:01:10.320 --> 00:01:13.880]  其實佢哋唔單單面對信主帶嚟佢哋嘅挑戰
[00:01:13.880 --> 00:01:16.440]  佢面對眼前有好多未解決
[00:01:16.440 --> 00:01:18.720]  包括佢哋當中有好多分黨分派
[00:01:18.720 --> 00:01:19.640]  唔道德嘅行為
[00:01:19.640 --> 00:01:23.560]  甚至佢哋當佢明白認識咗
[00:01:23.560 --> 00:01:25.560]  屬靈嘅恩賜之下
[00:01:25.560 --> 00:01:28.160]  佢哋唔懂得點樣去運用
[00:01:28.160 --> 00:01:30.800]  寶萊喺寫哥林多後書嘅時候
[00:01:30.800 --> 00:01:32.440]  正正處於佢喺事工裏面
[00:01:32.440 --> 00:01:36.360]  一個極具挑戰嘅時代
[00:01:36.360 --> 00:01:39.480]  當時佢唔單單面對緊外邊
