
[00:00:00.000 --> 00:00:03.300]  各位弟兄姊妹 大家好
[00:00:03.300 --> 00:00:06.260]  很開心可以在教會和大家一起敬拜
[00:00:06.260 --> 00:00:13.220]  每一個主日和弟兄姊妹口唱心和的敬拜神
[00:00:13.220 --> 00:00:21.000]  其實都比我們預先品嘗得到
[00:00:21.000 --> 00:00:23.360]  主座來的時候是怎樣
[00:00:26.880 --> 00:00:30.360]  就是那種全地都在讚美主的景況
[00:00:30.360 --> 00:00:36.480]  今天是我們講《彌加書》的第四個信息
[00:00:36.480 --> 00:00:42.440]  其實已經是最後一講了
[00:00:42.440 --> 00:00:46.440]  今天也是《彌加書》的總結
[00:00:46.440 --> 00:00:50.480]  主題就是何為善
[00:00:50.480 --> 00:00:54.680]  正如剛才領事的姊妹所講
[00:00:54.680 --> 00:00:57.840]  何為善的英文就是《What is good》
[00:00:57.840 --> 00:01:05.080]  教會的港台我們希望一年
[00:01:05.080 --> 00:01:08.400]  我們都能夠涵蓋到一卷的先知書
[00:01:08.400 --> 00:01:17.040]  因為先知書裡面其實有著很多很重要的信息
[00:01:17.040 --> 00:01:22.600]  雖然當中有責備的說話
[00:01:24.520 --> 00:01:28.480]  但其實也有很多的安慰和很多的忍耐的說話
[00:01:28.480 --> 00:01:33.880]  《彌加書》裡面的百姓
[00:01:33.880 --> 00:01:35.280]  我們之前講過
[00:01:35.280 --> 00:01:37.920]  他們不願意去聽神的話
[00:01:37.920 --> 00:01:44.480]  那神就責備他們
[00:01:44.480 --> 00:01:48.840]  但是即使責備 他們仍然不聽
[00:01:48.840 --> 00:01:54.200]  如果讓你是神 你會怎樣做
[00:01:55.520 --> 00:02:00.640]  你要怎樣做 才能夠叫一群不聽的人聽話
[00:02:00.640 --> 00:02:09.240]  正當聖經說 耶和華本為善 God is good
[00:02:09.240 --> 00:02:14.480]  其實今天的信息
[00:02:14.480 --> 00:02:16.040]  就是讓我們感受一下
[00:02:16.040 --> 00:02:18.600]  神到底有多善有多好
[00:02:23.600 --> 00:02:28.200]  我們首先低頭 求聖靈幫助我們好嗎
[00:02:28.200 --> 00:02:31.280]  親愛的恩主
[00:02:31.280 --> 00:02:34.440]  我們求主祢差派聖靈來到我們的心中
[00:02:34.440 --> 00:02:42.720]  叫我們不會耳朵發沉 又蒙了心
[00:02:42.720 --> 00:02:48.080]  叫我們渴慕主祢的聲音
[00:02:48.080 --> 00:02:52.800]  叫我們的心成為良好的土壤
