
[00:00:00.000 --> 00:00:04.040]  我們已經開始了一個新的系列
[00:00:04.040 --> 00:00:07.240]  這個系列是講天堂
[00:00:07.240 --> 00:00:09.740]  也會講一點點地獄
[00:00:09.740 --> 00:00:14.000]  主要是要來鼓勵弟兄姊妹
[00:00:14.000 --> 00:00:20.640]  告訴我們我們將來要永遠與神同在的地方究竟是怎樣
[00:00:20.640 --> 00:00:22.600]  我們講了兩個訊息
[00:00:22.600 --> 00:00:26.960]  第一個是說天堂到底會在哪裡
[00:00:26.960 --> 00:00:30.440]  第二個訊息我們講了天堂是怎樣的
[00:00:30.440 --> 00:00:32.320]  這個新天新地
[00:00:32.320 --> 00:00:35.240]  本來今天應該講第三個訊息
[00:00:35.240 --> 00:00:40.600]  就是天堂之城新耶路撒冷是怎樣的
[00:00:40.600 --> 00:00:42.640]  但是因為是復活的主日
[00:00:42.640 --> 00:00:46.800]  所以我是講一個與復活主日有關的訊息
[00:00:46.800 --> 00:00:50.560]  我叫他做天堂裡換湯換藥的人
[00:00:50.560 --> 00:00:57.640]  這個就是告訴我們我們將來在天堂會有一個完美的身體
[00:00:57.640 --> 00:01:03.880]  來到永遠與神同在
[00:01:03.880 --> 00:01:07.800]  天堂不單止是一個完美的地方
[00:01:07.800 --> 00:01:13.080]  天堂也是一個有完美的人居住的地方
[00:01:13.080 --> 00:01:15.960]  我們將來會有一個完美的身體
[00:01:15.960 --> 00:01:19.280]  永遠在天堂居住
[00:01:19.280 --> 00:01:25.160]  我講過我們的身體是分開有裡面和外面
[00:01:25.160 --> 00:01:27.600]  我們裡面的是我們的靈
[00:01:27.600 --> 00:01:29.960]  才是我們真正的自己
[00:01:29.960 --> 00:01:33.960]  我們外面的是我們看得到的身體
[00:01:33.960 --> 00:01:38.360]  但是我們將來在天堂會有一個完美的靈
[00:01:38.360 --> 00:01:41.680]  也會有一個完美的身體
[00:01:41.680 --> 00:01:43.280]  剛才我們讀過的經文
[00:01:43.280 --> 00:01:47.080]  在哥倫多前書的十五章三十五節
[00:01:47.080 --> 00:01:50.320]  保羅問死人怎樣復活
[00:01:50.320 --> 00:01:53.320]  帶著什麼身體來呢
[00:01:53.320 --> 00:01:57.080]  保羅說我們怎樣才能夠復活
[00:01:57.080 --> 00:02:00.840]  我們將來的身體又會是怎樣
[00:02:00.840 --> 00:02:02.600]  在接著的經文
[00:02:02.600 --> 00:02:05.400]  保羅就將我們現在的身體
[00:02:05.400 --> 00:02:09.440]  和我們將來的身體來做一個比較
[00:02:09.440 --> 00:02:13.200]  讓我們見到我們將來的身體會怎樣
[00:02:13.200 --> 00:02:17.040]  香港人說換湯不換藥
[00:02:17.040 --> 00:02:20.120]  意思就是說沒有什麼改變
[00:02:20.120 --> 00:02:22.760]  我叫今天的這個訊息
[00:02:22.760 --> 00:02:25.760]  叫做天堂換湯又換藥的人
[00:02:25.760 --> 00:02:27.960]  意思就是說我們在天堂
[00:02:27.960 --> 00:02:31.040]  會和我們現在是完全不同
[00:02:31.040 --> 00:02:32.960]  究竟有什麼不同呢
[00:02:32.960 --> 00:02:35.680]  我們一起來看看
[00:02:35.680 --> 00:02:41.480]  首先保羅問人怎樣能夠復活
[00:02:41.480 --> 00:02:43.480]  怎樣能夠復活
[00:02:43.480 --> 00:02:47.120]  然後保羅自己回答自己的問題
[00:02:47.120 --> 00:02:50.520]  在哥倫多前書的十五章三十六節
[00:02:50.520 --> 00:02:52.320]  他說無知的人
[00:02:52.320 --> 00:02:57.480]  你所中的若不死就不能生了
[00:02:57.480 --> 00:03:00.880]  意思就是說我們要復活的話很簡單
[00:03:00.880 --> 00:03:05.040]  我們首先是要經過死亡
[00:03:05.040 --> 00:03:08.000]  就好像一粒種子一樣
[00:03:08.000 --> 00:03:11.680]  一粒種子要埋葬在泥土裏面
[00:03:11.680 --> 00:03:15.640]  才能夠生出新的生命出來
[00:03:15.640 --> 00:03:23.840]  這個和耶穌基督在約翰福音十二章二十四節所說的一模一樣
[00:03:23.840 --> 00:03:28.960]  很多世人在這個世上都求長生不老的藥
[00:03:28.960 --> 00:03:31.440]  希望是不會死
[00:03:31.440 --> 00:03:34.440]  如果現在用我們的身體
[00:03:34.440 --> 00:03:36.640]  這個是會敗壞
[00:03:36.640 --> 00:03:38.640]  是會衰殘的身體
[00:03:38.640 --> 00:03:41.360]  如果我們永遠是不能死的話
[00:03:41.360 --> 00:03:43.080]  是一個咒詛
[00:03:43.080 --> 00:03:45.360]  這個也是原因
[00:03:45.360 --> 00:03:48.160]  我上次和大家說
[00:03:48.160 --> 00:03:52.680]  當阿當和夏娃在伊甸園犯罪之後
[00:03:52.680 --> 00:03:56.120]  他們的身體開始衰敗
[00:03:56.120 --> 00:04:02.040]  神立刻就差派基魯伯的天使守住那棵生命樹
