
[00:00:00.000 --> 00:00:05.000]  最近因為其實在社會裏面發生很多事
[00:00:05.000 --> 00:00:08.000]  經常都有很多民調
[00:00:08.000 --> 00:00:14.000]  就想藉著這個機會來做一個小小的民調
[00:00:14.000 --> 00:00:16.000]  一個小小的統計
[00:00:16.000 --> 00:00:20.000]  我不知道在座當中的朋友們
[00:00:20.000 --> 00:00:25.000]  你們在你們這個工作的崗位
[00:00:25.000 --> 00:00:28.000]  無論是公司或者你的部門
[00:00:28.000 --> 00:00:31.000]  究竟你做了多久
[00:00:31.000 --> 00:00:34.000]  如果你是做了沒多久
[00:00:34.000 --> 00:00:35.000]  一年之下的
[00:00:35.000 --> 00:00:37.000]  可不可以舉手給我看看
[00:00:37.000 --> 00:00:40.000]  即是來了這間公司是一年之下的
[00:00:40.000 --> 00:00:41.000]  OK
[00:00:41.000 --> 00:00:43.000]  都有些是轉了新工
[00:00:43.000 --> 00:00:44.000]  好 多謝你
[00:00:44.000 --> 00:00:50.000]  你做了大概一至兩年的呢
[00:00:50.000 --> 00:00:53.000]  咦 挺好的
[00:00:53.000 --> 00:00:55.000]  即是證明大家都做了多久
[00:00:55.000 --> 00:00:56.000]  放下手
[00:00:56.000 --> 00:01:01.000]  兩年至五年的
[00:01:01.000 --> 00:01:03.000]  兩年至五年的
[00:01:03.000 --> 00:01:05.000]  咦 還有很多人未舉手
[00:01:05.000 --> 00:01:11.000]  莫非你們是五年至十年
[00:01:11.000 --> 00:01:13.000]  五年至十年的
[00:01:13.000 --> 00:01:15.000]  只有這麼少的
[00:01:15.000 --> 00:01:17.000]  剩下的那些是怎樣的
[00:01:17.000 --> 00:01:20.000]  全部都是十年以上
[00:01:20.000 --> 00:01:21.000]  十年以上
[00:01:21.000 --> 00:01:25.000]  三十年那些都是 是不是
[00:01:25.000 --> 00:01:27.000]  十年以上的
[00:01:27.000 --> 00:01:28.000]  都有
[00:01:28.000 --> 00:01:30.000]  多謝你們
[00:01:30.000 --> 00:01:32.000]  你和我都是差不多
[00:01:32.000 --> 00:01:37.000]  已經可以獲得老人牌
[00:01:37.000 --> 00:01:41.000]  其實的確是要在同一間公司
[00:01:41.000 --> 00:01:44.000]  來到做這麼久的時間
[00:01:44.000 --> 00:01:46.000]  很不容易的
[00:01:46.000 --> 00:01:48.000]  我不知道什麼東西
[00:01:48.000 --> 00:01:51.000]  令你留下這麼久
[00:01:51.000 --> 00:01:54.000]  什麼令你可以做這麼久
[00:01:54.000 --> 00:01:55.000]  沒有人要
[00:01:55.000 --> 00:01:56.000]  薪金高
[00:01:56.000 --> 00:01:57.000]  福利好
[00:01:57.000 --> 00:01:59.000]  然後沒有工作
[00:01:59.000 --> 00:02:01.000]  是不是這樣呢
[00:02:01.000 --> 00:02:05.000]  其實要在一個工作崗位裏面
[00:02:05.000 --> 00:02:09.000]  要能夠可以繼續做下去
[00:02:09.000 --> 00:02:11.000]  的確是不容易
[00:02:11.000 --> 00:02:14.000]  過完聖誕之後就是農曆新年
[00:02:14.000 --> 00:02:20.000]  很多人都說這是一個跳槽的黃金時間
[00:02:20.000 --> 00:02:21.000]  為什麼呢
[00:02:21.000 --> 00:02:24.000]  因為拿了獎金
[00:02:24.000 --> 00:02:27.000]  出了商量才離開
[00:02:27.000 --> 00:02:33.000]  其實在競爭這麼激烈的職場裏面
[00:02:33.000 --> 00:02:34.000]  有些人就說
[00:02:34.000 --> 00:02:37.000]  好像浮士德那樣
[00:02:37.000 --> 00:02:38.000]  知道是什麼嗎
[00:02:38.000 --> 00:02:40.000]  我們要出賣我們的靈魂
[00:02:40.000 --> 00:02:47.000]  來換取我們在工作上能夠得到的東西
[00:02:47.000 --> 00:02:49.000]  甚至有些人就形容
[00:02:49.000 --> 00:02:53.000]  職場間好像有一個森林的定律
[00:02:53.000 --> 00:02:55.000]  森林的定律就是
[00:02:55.000 --> 00:02:57.000]  弱肉強食
[00:02:57.000 --> 00:03:01.000]  大動物會將小動物
[00:03:01.000 --> 00:03:06.000]  變成他們的食物
[00:03:06.000 --> 00:03:07.000]  開餐
[00:03:07.000 --> 00:03:09.000]  或者老弱
[00:03:09.000 --> 00:03:10.000]  傷殘
[00:03:10.000 --> 00:03:11.000]  餓死
[00:03:11.000 --> 00:03:20.000]  這些都因應競爭力不足而被淘汰
[00:03:20.000 --> 00:03:24.000]  當我們這樣看的時候
