
[00:00:00.000 --> 00:00:02.000]  接著我們會一同讀經
[00:00:02.000 --> 00:00:04.000]  今天的經文有兩段
[00:00:04.000 --> 00:00:06.000]  第一段記載在約翰福音
[00:00:06.000 --> 00:00:09.000]  七章三十七至三十九節
[00:00:09.000 --> 00:00:11.000]  我們一起讀出 預備起
[00:00:11.000 --> 00:00:13.000]  節期的末日
[00:00:13.000 --> 00:00:15.000]  就是最大之日
[00:00:15.000 --> 00:00:17.000]  耶穌站著高聲說
[00:00:17.000 --> 00:00:19.000]  人若學了
[00:00:19.000 --> 00:00:22.000]  可以到我這裡來學
[00:00:22.000 --> 00:00:25.000]  信我的人就如經上所說
[00:00:25.000 --> 00:00:29.000]  從他福中要流出活水的江河來
[00:00:30.000 --> 00:00:33.000]  耶穌這話是指著
[00:00:33.000 --> 00:00:36.000]  信他之人要受聖靈說的
[00:00:36.000 --> 00:00:39.000]  那時還沒有賜下聖靈來
[00:00:39.000 --> 00:00:43.000]  因為耶穌尚未得著榮耀
[00:00:43.000 --> 00:00:45.000]  第二段的經文記載在
[00:00:45.000 --> 00:00:48.000]  約翰福音十章十節 預備起
[00:00:48.000 --> 00:00:53.000]  道賊來 無非要偷竊 殺害 毀壞
[00:00:53.000 --> 00:00:57.000]  我來了 是要叫揚得生命
[00:00:57.000 --> 00:01:00.000]  並且得的更豐盛
[00:01:00.000 --> 00:01:02.000]  今天的講題是
[00:01:02.000 --> 00:01:04.000]  源源不絕的生命力
[00:01:04.000 --> 00:01:07.000]  講完是我們熟悉的鄧淑嫻牧師
[00:01:07.000 --> 00:01:09.000]  有請鄧牧師
[00:01:09.000 --> 00:01:14.000]  弟兄姊妹早晨
[00:01:14.000 --> 00:01:17.000]  家裏的弟兄姊妹都早晨
[00:01:17.000 --> 00:01:19.000]  我們今早是一齊的
[00:01:19.000 --> 00:01:22.000]  來看一下門徒系列裏面
[00:01:22.000 --> 00:01:24.000]  其中的一個講題
[00:01:24.000 --> 00:01:26.000]  源源不絕的生命力
[00:01:26.000 --> 00:01:29.000]  我相信我們今早
[00:01:29.000 --> 00:01:31.000]  我見到的每一位
[00:01:31.000 --> 00:01:34.000]  你今早特意回來
[00:01:34.000 --> 00:01:37.000]  你回來崇拜有兩件事
[00:01:37.000 --> 00:01:38.000]  第一件事
[00:01:38.000 --> 00:01:41.000]  這位上帝佩得你敬拜
[00:01:41.000 --> 00:01:42.000]  你知道的
[00:01:42.000 --> 00:01:45.000]  所以你真的要來敬拜他
[00:01:45.000 --> 00:01:46.000]  第二件事
[00:01:46.000 --> 00:01:49.000]  我也相信你選擇
[00:01:49.000 --> 00:01:52.000]  你選擇這個上午
[00:01:52.000 --> 00:01:55.000]  你願意拿這兩個小時出來
[00:01:55.000 --> 00:01:57.000]  去親近上帝
[00:01:57.000 --> 00:02:01.000]  你期望你的生命是豐盛的
[00:02:01.000 --> 00:02:04.000]  所以你不做其他事
[00:02:04.000 --> 00:02:06.000]  有很多人現在在家裏睡覺
[00:02:06.000 --> 00:02:09.000]  睡覺不是一件錯事
[00:02:09.000 --> 00:02:11.000]  但是我們的選擇
[00:02:11.000 --> 00:02:13.000]  一個源源不絕的生命
[00:02:13.000 --> 00:02:15.000]  是我們心裏面的渴望
[00:02:15.000 --> 00:02:17.000]  我們渴望我們豐盛
[00:02:17.000 --> 00:02:19.000]  我們希望我們過得好
[00:02:19.000 --> 00:02:21.000]  每個人都希望自己的生活過得好
[00:02:21.000 --> 00:02:23.000]  一個豐盛的生命
[00:02:23.000 --> 00:02:25.000]  耶穌說他來
[00:02:25.000 --> 00:02:28.000]  是要我們得到豐盛的生命
[00:02:28.000 --> 00:02:30.000]  你信了耶穌一段日子
[00:02:30.000 --> 00:02:32.000]  或者可能已經
[00:02:32.000 --> 00:02:34.000]  這段日子都很長
[00:02:34.000 --> 00:02:35.000]  我幾十年了
[00:02:35.000 --> 00:02:37.000]  可能你十幾年了
[00:02:37.000 --> 00:02:42.000]  但是你覺得你的生命豐不豐盛
[00:02:42.000 --> 00:02:44.000]  如果有人覺得他豐盛
[00:02:44.000 --> 00:02:46.000]  不如舉手
[00:02:46.000 --> 00:02:48.000]  都有都好
[00:02:48.000 --> 00:02:49.000]  開始多一點
[00:02:49.000 --> 00:02:52.000]  有很多人都沒有舉手
[00:02:52.000 --> 00:02:54.000]  豐不豐盛
[00:02:54.000 --> 00:02:56.000]  其實看你怎樣看
