
[00:00:00.000 --> 00:00:02.680]  今日要和大家講一個題目
[00:00:02.680 --> 00:00:05.680]  是有關「試煉」和「試探」
[00:00:05.680 --> 00:00:06.880]  有很多人說
[00:00:06.880 --> 00:00:09.680]  很多牧者都講過這個題目
[00:00:09.680 --> 00:00:13.080]  我們都知道「試煉」和「試探」有什麼分別
[00:00:13.080 --> 00:00:16.680]  而的確我今日的題目就是同一件事
[00:00:16.680 --> 00:00:18.680]  神在試煉我
[00:00:18.680 --> 00:00:21.680]  還是撒旦在試探我
[00:00:21.680 --> 00:00:24.080]  我是會講這兩者的分別
[00:00:24.080 --> 00:00:27.480]  但不只是講「試煉」和「試探」的分別
[00:00:27.480 --> 00:00:29.880]  還有很多其他的東西
[00:00:29.880 --> 00:00:33.280]  例如我們會回答一個問題
[00:00:33.280 --> 00:00:35.480]  究竟「試探」是不是罪?
[00:00:35.480 --> 00:00:38.680]  有很多學者都說「試探」不是罪
[00:00:38.680 --> 00:00:41.680]  耶穌基督都有試探
[00:00:41.680 --> 00:00:46.080]  但亦有學者說「不是,試探都是罪」
[00:00:46.080 --> 00:00:48.680]  究竟誰對誰錯呢?
[00:00:48.680 --> 00:00:51.680]  稍後我們會有詳細的解釋
[00:00:51.680 --> 00:00:53.480]  還有第三點
[00:00:53.480 --> 00:00:57.280]  就是耶穌基督在《馬太福音》第五章說
[00:00:57.280 --> 00:01:00.280]  你們都聽過不可殺人
[00:01:00.280 --> 00:01:02.680]  凡殺人的會受到審判
[00:01:02.680 --> 00:01:05.680]  但耶穌基督說「你不需要殺人」
[00:01:05.680 --> 00:01:09.280]  「你只要心裏面向你的弟兄無故動怒」
[00:01:09.280 --> 00:01:12.280]  「你就一定會受到審判」
[00:01:12.280 --> 00:01:14.280]  耶穌基督又說
[00:01:14.280 --> 00:01:17.080]  「當我們有不潔淨的思想」
[00:01:17.080 --> 00:01:19.280]  「當我們被試探的時候」
[00:01:19.280 --> 00:01:21.480]  「你見到女人你就動淫念」
[00:01:21.480 --> 00:01:26.080]  「你就等於在心裏跟她犯了姦淫」
[00:01:26.080 --> 00:01:28.280]  有很多學者說
[00:01:28.280 --> 00:01:32.280]  「如果你在腦裏動怒就等於殺人」
[00:01:32.280 --> 00:01:36.480]  「你腦裏有淫亂的思想、淫邪的思想」
[00:01:36.480 --> 00:01:38.680]  「你就等於犯了姦淫」
[00:01:38.680 --> 00:01:40.880]  耶穌基督是否真的這樣說呢?
[00:01:40.880 --> 00:01:42.080]  我相信不是
[00:01:42.080 --> 00:01:44.880]  耶穌基督從來沒有這樣說過
[00:01:44.880 --> 00:01:51.280]  心裏的想法和你走出來犯罪有何不同呢?
[00:01:51.280 --> 00:01:53.480]  分別的地方又在哪裏呢?
[00:01:53.480 --> 00:01:58.080]  我們今天會有很詳細的分析這件事
[00:01:58.080 --> 00:01:59.680]  還有第四點
[00:01:59.680 --> 00:02:02.680]  就是耶穌基督根本沒有罪性
[00:02:02.680 --> 00:02:04.080]  我們知道
