
[00:00:00.000 --> 00:00:02.960]  各位弟兄姊妹 主佑變平安
[00:00:02.960 --> 00:00:05.640]  感謝神讓我們能夠可以一同回到教會裏面
[00:00:05.640 --> 00:00:08.120]  一同去敬拜贊頌神
[00:00:08.120 --> 00:00:11.880]  一同可以學習神的說話
[00:00:11.880 --> 00:00:15.200]  最近我有機會去到兒童活動當中
[00:00:15.200 --> 00:00:17.440]  去分享神的說話
[00:00:17.440 --> 00:00:18.800]  很想跟他們分享一下
[00:00:18.800 --> 00:00:21.760]  怎樣去管理起自己的情緒
[00:00:21.760 --> 00:00:23.080]  最近我就教他們
[00:00:23.080 --> 00:00:25.760]  怎樣去處理自己的憤怒
[00:00:25.760 --> 00:00:27.320]  問他們一個問題
[00:00:27.320 --> 00:00:29.320]  我說很多時候
[00:00:29.320 --> 00:00:34.160]  最令你非常憤怒的是甚麼事呢
[00:00:34.160 --> 00:00:35.920]  當中見到同學
[00:00:35.920 --> 00:00:37.840]  有一個眼睛都紅了
[00:00:37.840 --> 00:00:38.880]  耳朵也紅了
[00:00:38.880 --> 00:00:40.560]  感覺到他身體很沸騰
[00:00:40.560 --> 00:00:41.960]  他就說
[00:00:41.960 --> 00:00:45.840]  那個人令我一隊輸了
[00:00:45.840 --> 00:00:47.760]  有一個很小聲地說
[00:00:47.760 --> 00:00:49.040]  我媽呀
[00:00:49.040 --> 00:00:50.760]  我說甚麼
[00:00:50.760 --> 00:00:53.320]  我媽呀
[00:00:53.320 --> 00:00:55.720]  我很欣賞你在我們當中
[00:00:55.720 --> 00:00:57.240]  這麼勇敢地說出來
[00:00:57.240 --> 00:00:58.640]  也叫他們有一個承諾
[00:00:58.640 --> 00:00:59.840]  我們在這裡說了一句話
[00:00:59.840 --> 00:01:03.480]  不可以說出去的
[00:01:03.480 --> 00:01:04.280]  這樣很好
[00:01:04.280 --> 00:01:05.120]  在這段時間
[00:01:05.120 --> 00:01:07.960]  我們也發現很多孩子
[00:01:07.960 --> 00:01:09.720]  原來他們很想回來
[00:01:09.720 --> 00:01:11.800]  跟導師聊天
[00:01:11.800 --> 00:01:13.560]  講他們的心事
[00:01:13.560 --> 00:01:14.960]  甚至很多都是
[00:01:14.960 --> 00:01:17.680]  他們不敢告訴家人的說話
[00:01:17.680 --> 00:01:22.080]  我們導師也會跟他們聊天
[00:01:22.080 --> 00:01:24.120]  專心聆聽他們說些甚麼
[00:01:24.120 --> 00:01:28.720]  教他們如何表達和跟人溝通
[00:01:28.720 --> 00:01:30.040]  最重要的一件事
[00:01:30.040 --> 00:01:35.960]  就是叫他們如何一起向天父禱告
[00:01:35.960 --> 00:01:38.280]  以致我們求神
[00:01:38.280 --> 00:01:40.400]  如何得著智慧和能力
[00:01:40.400 --> 00:01:43.320]  去面對困難
[00:01:43.320 --> 00:01:45.640]  很多時候跟他們說完之後
[00:01:45.640 --> 00:01:46.720]  我最記得早兩星期
[00:01:46.720 --> 00:01:48.480]  有一個小朋友走到我面前
[00:01:48.480 --> 00:01:51.120]  很緊張地跟我說
[00:01:51.120 --> 00:01:53.200]  記得不要告訴我媽
[00:01:53.200 --> 00:01:55.920]  我一定一定不敢說
[00:01:55.920 --> 00:01:59.200]  我相信學習去向神禱告
[00:01:59.200 --> 00:02:01.200]  不單止是孩子的事
[00:02:01.200 --> 00:02:03.840]  其實作為基督徒的我們成年人
[00:02:03.840 --> 00:02:06.520]  是否一生都要學習的功夫呢
[00:02:06.520 --> 00:02:08.440]  今天跟大家說的題目是
[00:02:08.440 --> 00:02:10.160]  向神呼求
[00:02:10.160 --> 00:02:13.040]  很盼望我們能夠一起去學習
[00:02:13.040 --> 00:02:14.360]  一起成長
[00:02:14.360 --> 00:02:18.920]  如何經歷神更多奇妙的作為
[00:02:18.920 --> 00:02:22.320]  今天讀到的詩篇第三篇
[00:02:22.320 --> 00:02:26.080]  在標題裡有一句這樣的說話
[00:02:26.080 --> 00:02:28.920]  大衛逃避他兒子
[00:02:28.920 --> 00:02:31.480]  鴨沙龍所作的詩
[00:02:31.480 --> 00:02:33.880]  求助的神討
[00:02:33.880 --> 00:02:36.120]  我們先看第一二節
[00:02:36.120 --> 00:02:37.480]  聖經這樣說
[00:02:37.480 --> 00:02:38.880]  耶和華
[00:02:38.880 --> 00:02:41.440]  我的敵人何其憎多
[00:02:41.440 --> 00:02:44.000]  許多人起來攻擊我
[00:02:44.000 --> 00:02:45.800]  許多人議論我
[00:02:45.800 --> 00:02:48.600]  他得不到神的幫助
[00:02:48.600 --> 00:02:50.680]  如果我們看第六節上半節
[00:02:50.680 --> 00:02:56.040]  還說有成萬百姓周圍攻擊我
