
[00:00:00.000 --> 00:00:02.360]  弟兄姊妹平安,一起讀聖經
[00:00:02.360 --> 00:00:06.280]  生命樹和大家一起看聖經人、聖經事
[00:00:06.280 --> 00:00:09.720]  看看聖經背後上帝做些什麼
[00:00:09.720 --> 00:00:12.040]  今天繼續講參宣
[00:00:12.040 --> 00:00:16.040]  參宣有好幾集,要講好多天
[00:00:16.040 --> 00:00:19.760]  其實另外一位事司也很值得要講多些的
[00:00:19.760 --> 00:00:21.280]  已經講了,就是磯殿
[00:00:21.280 --> 00:00:24.360]  磯殿和參宣在事司記裡面
[00:00:24.360 --> 00:00:26.960]  是佔的篇幅比較長
[00:00:26.960 --> 00:00:29.280]  兩位都各有特色
[00:00:29.280 --> 00:00:34.240]  磯殿是由一個很害怕、很害怕、不夠信心
[00:00:34.240 --> 00:00:38.160]  對於敵人很害怕、對上帝不夠信心
[00:00:38.160 --> 00:00:41.200]  變成很剛強、很勇敢、很有信心
[00:00:41.200 --> 00:00:43.120]  參宣就不同了
[00:00:43.120 --> 00:00:46.280]  參宣是對自己很有信心
[00:00:46.280 --> 00:00:49.280]  結果出事了
[00:00:49.280 --> 00:00:55.080]  今天的題目就是參宣自負自我
[00:00:55.080 --> 00:00:57.520]  參宣是一個很自負
[00:00:57.520 --> 00:01:02.480]  自負是覺得我可以、我贏
[00:01:02.480 --> 00:01:04.880]  自我就是自我中心
[00:01:04.880 --> 00:01:06.640]  是比較任性
[00:01:06.640 --> 00:01:09.320]  自負是比較驕傲
[00:01:09.320 --> 00:01:12.000]  自我就是比較任性
[00:01:12.000 --> 00:01:13.800]  坑死自己
[00:01:13.800 --> 00:01:17.360]  這個坑是今天中國比較多用的字
[00:01:17.360 --> 00:01:20.720]  或者是台灣那邊比較用得多的字
[00:01:20.720 --> 00:01:23.320]  香港就叫害死自己
[00:01:23.320 --> 00:01:27.520]  香港就叫害死自己
[00:01:27.520 --> 00:01:31.200]  如果其他華人地區很喜歡用坑
[00:01:31.200 --> 00:01:32.800]  把他坑死了
[00:01:32.800 --> 00:01:34.800]  即是說害死他了
[00:01:34.800 --> 00:01:36.280]  給他一個洞踩
[00:01:36.280 --> 00:01:37.840]  害到自己、害到別人
[00:01:37.840 --> 00:01:39.040]  坑到自己
[00:01:39.040 --> 00:01:42.320]  這些都是比較常用的字
[00:01:42.320 --> 00:01:44.160]  看看怎樣
[00:01:44.160 --> 00:01:47.640]  在這裡要先介紹一下地方名
[00:01:47.640 --> 00:01:50.560]  講出來你能夠認識到
[00:01:50.560 --> 00:01:52.440]  記得一些名字也好
[00:01:52.440 --> 00:01:54.800]  在這個菲律士
[00:01:54.800 --> 00:01:58.240]  菲律士由他們以色列人
[00:01:58.240 --> 00:02:02.160]  催埃及行礦野入迦南地之後
[00:02:02.160 --> 00:02:05.560]  菲律士人是被保存了
[00:02:05.560 --> 00:02:06.600]  或者不是被保存了
[00:02:06.600 --> 00:02:08.120]  是那裡沒有將他們殺死
[00:02:08.120 --> 00:02:09.600]  沒有將他們趕走
[00:02:09.600 --> 00:02:13.840]  而他們已經在那裡盤根錯節很久
[00:02:13.840 --> 00:02:15.680]  而且很大班人
[00:02:15.680 --> 00:02:17.240]  很強勢
[00:02:17.240 --> 00:02:18.920]  很多個城市
[00:02:18.920 --> 00:02:24.440]  在以色列的英許之地的西南方
[00:02:24.440 --> 00:02:27.480]  海邊盤踞著
[00:02:27.480 --> 00:02:29.800]  那裡有五大城市
[00:02:29.800 --> 00:02:32.960]  留意有以格倫
[00:02:32.960 --> 00:02:34.720]  有阿什特
[00:02:34.720 --> 00:02:36.560]  有阿什基倫
[00:02:36.560 --> 00:02:38.160]  迦特和迦薩
[00:02:38.160 --> 00:02:39.960]  這五個城市
[00:02:39.960 --> 00:02:43.320]  就是菲律士人最重要的五個城市
[00:02:43.320 --> 00:02:47.920]  阿什特、阿什基倫、迦薩、以格倫和迦特
