
[00:00:00.000 --> 00:00:02.000]  各位弟兄姐妹朋友們
[00:00:02.000 --> 00:00:03.680]  早安
[00:00:03.680 --> 00:00:06.760]  各位網上弟兄姐妹朋友們早安
[00:00:06.760 --> 00:00:09.000]  雖然我們今天網上有一點問題
[00:00:09.000 --> 00:00:10.880]  但是沒有關係
[00:00:10.880 --> 00:00:13.880]  我今天要跟各位分享的是
[00:00:13.880 --> 00:00:16.440]  首先的
[00:00:16.440 --> 00:00:18.760]  跟幕後的亞當
[00:00:18.760 --> 00:00:22.040]  我們來做一個比較
[00:00:22.040 --> 00:00:24.480]  那麼我先要跟各位講
[00:00:24.480 --> 00:00:28.200]  為什麼會要有幕後的亞當
[00:00:28.200 --> 00:00:32.800]  難道The first Adam神所造的
[00:00:32.800 --> 00:00:35.800]  有缺陷嗎?
[00:00:35.800 --> 00:00:38.040]  跟著
[00:00:38.040 --> 00:00:39.160]  我們要來講一下
[00:00:39.160 --> 00:00:42.040]  首先的亞當
[00:00:42.040 --> 00:00:46.280]  他是怎麼樣成為一個有名的活人
[00:00:46.280 --> 00:00:48.000]  那麼
[00:00:48.000 --> 00:00:49.160]  首先的亞當
[00:00:49.160 --> 00:00:50.960]  但是他為什麼他的靈
[00:00:50.960 --> 00:00:54.800]  又跟神隔絕了呢?
[00:00:54.800 --> 00:00:56.880]  所以我們說
[00:00:56.880 --> 00:01:00.280]  首先的亞當成了有靈的活人
[00:01:00.280 --> 00:01:01.680]  但是保羅說
[00:01:01.680 --> 00:01:05.160]  幕後的亞當成了叫人活的靈
[00:01:05.160 --> 00:01:08.360]  這是在我們哥林多前書
[00:01:08.360 --> 00:01:12.920]  十五章四十五節說的
[00:01:12.920 --> 00:01:14.720]  甚至幕後的亞當
[00:01:14.720 --> 00:01:21.400]  最後要帶出屬靈屬天的族類
[00:01:21.400 --> 00:01:22.560]  然後我結論要用
[00:01:22.560 --> 00:01:26.600]  彼得前書二章九到十節他說
[00:01:26.600 --> 00:01:28.200]  唯有你們是被檢選的族類
[00:01:28.200 --> 00:01:29.360]  是有軍爭的騎士
[00:01:29.360 --> 00:01:30.480]  是聖潔的國度
[00:01:30.480 --> 00:01:32.640]  是屬神的子民
[00:01:32.640 --> 00:01:33.680]  為了教你們宣揚
[00:01:33.680 --> 00:01:37.600]  那教你們出黑暗的奇妙光明者的母格
[00:01:37.600 --> 00:01:38.760]  我們都知道這一句
[00:01:38.760 --> 00:01:40.280]  但是下一句話
[00:01:40.280 --> 00:01:41.680]  很少人知道
[00:01:41.680 --> 00:01:44.320]  從前你們不蒙名序
[00:01:44.320 --> 00:01:46.600]  如今你們蒙了名序
[00:01:46.600 --> 00:01:48.800]  從前你們不是子民
[00:01:48.800 --> 00:01:51.400]  如今你們成為子民
[00:01:51.400 --> 00:01:52.640]  哈勒路亞
[00:01:52.640 --> 00:01:56.680]  這就是我今天要跟各位分享
[00:01:56.680 --> 00:01:58.520]  讓我們低頭禱告
[00:01:58.520 --> 00:01:59.840]  阿爸父
[00:01:59.840 --> 00:02:00.680]  我們感謝你
[00:02:00.680 --> 00:02:01.520]  我們讚美你
[00:02:01.520 --> 00:02:03.640]  你是有真有國的神
[00:02:03.640 --> 00:02:04.600]  願你能讓我們中間
[00:02:04.600 --> 00:02:07.520]  得到那麽應得當你的配偶的名譽
[00:02:07.520 --> 00:02:08.280]  感謝你
[00:02:08.280 --> 00:02:11.200]  禱告讚美是奉主耶穌基督的名
[00:02:11.200 --> 00:02:13.320]  阿們
[00:02:13.320 --> 00:02:15.400]  好的
[00:02:15.400 --> 00:02:17.520]  我們當然我們講說
[00:02:17.520 --> 00:02:21.080]  首先的亞當是不是有缺陷
[00:02:21.080 --> 00:02:25.000]  不然他為什麽神要造一個幕後的亞當呢
[00:02:25.000 --> 00:02:28.600]  其中是什麽原因
[00:02:28.600 --> 00:02:32.720]  如果我們看創世紀第一章的話
[00:02:32.720 --> 00:02:34.400]  二十七節
[00:02:34.400 --> 00:02:35.680]  他說什麽
[00:02:35.680 --> 00:02:37.200]  我們一起念
[00:02:37.200 --> 00:02:41.640]  神就造著自己的形象造人
[00:02:41.640 --> 00:02:43.200]  也就是說
[00:02:43.200 --> 00:02:46.480]  首先亞當他被造是
[00:02:46.480 --> 00:02:49.680]  按照誰的形象跟樣式啊
[00:02:49.680 --> 00:02:51.120]  神
[00:02:51.120 --> 00:02:54.280]  就好像那句那幅畫一樣
[00:02:54.280 --> 00:02:58.560]  它是照著鏡子上反映出來
[00:02:58.560 --> 00:03:02.120]  反射出來的形象樣式
[00:03:02.120 --> 00:03:03.880]  然後來畫
[00:03:03.880 --> 00:03:06.280]  神就是這麽造我們
[00:03:06.280 --> 00:03:08.840]  如果說神是陶匠的話
[00:03:08.840 --> 00:03:12.680]  他捏用泥土造人的時候
[00:03:12.680 --> 00:03:14.720]  他捏的時候
[00:03:14.720 --> 00:03:18.440]  他也是造著自己的形象跟樣式
[00:03:18.440 --> 00:03:21.200]  但是憑良心講
[00:03:21.200 --> 00:03:23.720]  我們像嗎
[00:03:23.720 --> 00:03:26.080]  真的不像
[00:03:26.080 --> 00:03:29.680]  這是因為我個人的見解
[00:03:29.680 --> 00:03:34.080]  我們是反射神的容美
[00:03:34.080 --> 00:03:36.160]  反射基督的形象跟樣子
[00:03:36.160 --> 00:03:38.960]  我們不是神
[00:03:38.960 --> 00:03:41.440]  但是如果你的鏡子
[00:03:41.440 --> 00:03:44.280]  也就是你的心境
[00:03:44.280 --> 00:03:46.600]  不能夠清潔
[00:03:46.600 --> 00:03:49.600]  不能夠沒有瑕疵
[00:03:49.600 --> 00:03:51.200]  你反射出來
[00:03:51.200 --> 00:03:52.600]  就坑坑疤疤
[00:03:52.600 --> 00:03:53.760]  是嗎
[00:03:53.760 --> 00:03:56.920]  所以這就是問題在這裏
[00:03:56.920 --> 00:03:58.800]  所以我們的
[00:03:58.800 --> 00:04:01.360]  首先的亞當
