
[00:00:00.000 --> 00:00:04.880]  今早在崇拜之前 見到大家坐在這裏的時候
[00:00:04.880 --> 00:00:09.160]  那種面容、氣氛 已經很感受到
[00:00:09.160 --> 00:00:14.120]  見到大家那種 好像是很開心的那種感覺
[00:00:14.120 --> 00:00:17.960]  我不知一想是不是因為父親節
[00:00:17.960 --> 00:00:24.420]  希望大家都是 每一個人都有一個開心快樂的父親節
[00:00:29.420 --> 00:00:35.360]  說到父親 有一個父親的故事是這樣的
[00:00:35.360 --> 00:00:41.120]  話說有一天 媽媽出去了買菜
[00:00:41.120 --> 00:00:46.280]  留下爸爸在這裏看著兩個小孩
[00:00:46.280 --> 00:00:53.240]  兒子四歲 妹妹兩歲
[00:00:53.240 --> 00:00:56.160]  兩個人在房裏面玩
[00:00:56.160 --> 00:01:01.740]  爸爸就在外面看電視
[00:01:01.740 --> 00:01:07.760]  突然間聽到房裏面 妹妹在尖叫大喊
[00:01:07.760 --> 00:01:13.200]  爸爸馬上衝進房間 問一下什麼事
[00:01:13.200 --> 00:01:20.740]  原來是妹妹 不是妹妹 應該是哥哥
[00:01:20.740 --> 00:01:25.920]  對不起 是哥哥 聽見哥哥在尖叫大喊
[00:01:25.920 --> 00:01:29.600]  爸爸衝進房間看看什麼事
[00:01:29.600 --> 00:01:34.800]  原來妹妹是扯著哥哥的頭髮
[00:01:34.800 --> 00:01:42.180]  爸爸又哀又哀 哄妹妹鬆手
[00:01:42.180 --> 00:01:50.720]  又哀又哀 安慰哥哥 替他擦眼淚
[00:01:50.720 --> 00:01:59.240]  跟著跟哥哥說 是啊 是啊 妹妹不是有心的
[00:01:59.240 --> 00:02:08.560]  她是因為不知道扯你的頭髮會很痛
[00:02:08.560 --> 00:02:16.000]  安頓了之後 爸爸就出房 預備坐下繼續看電視
[00:02:16.000 --> 00:02:22.760]  還沒坐下 馬上聽見妹妹在尖叫大喊
[00:02:22.760 --> 00:02:25.900]  馬上又衝進房間看看什麼事
[00:02:25.900 --> 00:02:34.320]  什麼事 什麼事 哥哥說 她現在知道了
[00:02:34.320 --> 00:02:41.900]  不知道大家明不明白 明不明白這個故事是什麽
[00:02:41.900 --> 00:02:45.540]  哥哥可能是好心 可能有兩方面的想法
[00:02:45.540 --> 00:02:49.340]  哥哥可能是好心 妹妹不知道扯人頭髮會痛
[00:02:49.340 --> 00:02:55.540]  幫爸爸教她 扯她的頭髮 讓她知道扯頭髮是痛的
[00:02:55.540 --> 00:03:00.720]  另外一個可能是什麼 更大可能是什麼
[00:03:00.720 --> 00:03:07.280]  報仇 扯她的頭髮 讓她知道痛
[00:03:07.280 --> 00:03:15.740]  哥哥很可能還沒學到不計算人的惡
[00:03:15.740 --> 00:03:20.760]  今天繼續跟大家講保羅所寫的愛的詩章
[00:03:20.760 --> 00:03:25.760]  裡面其中一段 我只是說其中一段
[00:03:25.760 --> 00:03:29.520]  就是臨前十三章第五節
[00:03:29.520 --> 00:03:34.440]  「不輕而發怒 不計算人的惡」這一段
[00:03:34.440 --> 00:03:39.880]  這句聖經的意思就是說 如果我們真的去愛一個人
[00:03:39.880 --> 00:03:43.100]  或者是愛一個群體 我們就要對這個人
[00:03:43.100 --> 00:03:46.940]  或者對這個群體 不要隨便發脾氣
[00:03:46.940 --> 00:03:52.860]  不要去計較他們做了一些對我們不住
[00:03:52.860 --> 00:03:57.200]  或者不應該做的事 不要去計較
[00:03:57.200 --> 00:04:03.540]  我再重複一次 如果我們真的愛一個人
[00:04:03.540 --> 00:04:08.340]  我們不要計較那個人對我們做錯了什麼事
[00:04:08.340 --> 00:04:12.960]  不要隨便跟他發怒或者發脾氣
[00:04:12.960 --> 00:04:18.240]  我們今天就跟大家一起去學這個題目
[00:04:18.240 --> 00:04:25.440]  我們看哥倫多前書十三章五節 下半節
[00:04:25.440 --> 00:04:29.980]  「不輕而發怒 不計算人的惡」
[00:04:29.980 --> 00:04:34.320]  首先就是說「不輕而發怒」
[00:04:34.320 --> 00:04:36.780]  字面上很簡單 「不輕而發怒」
[00:04:36.780 --> 00:04:41.660]  就是不可以隨便發怒、發脾氣
[00:04:41.660 --> 00:04:48.280]  中文和合本這個翻譯 是一個會議式的翻譯
[00:04:48.280 --> 00:04:53.680]  在原文上是沒有輕而那個字的 就是說「不發怒」
[00:04:53.680 --> 00:05:01.100]  而且在原文上是用一個被動詞 就是說「不被發怒」
[00:05:01.100 --> 00:05:04.040]  不是 那個字不是「發怒」這麼簡單
[00:05:04.040 --> 00:05:08.960]  而是「不要被人激動而發怒」
[00:05:08.960 --> 00:05:13.380]  我們想一下 什麼事會發怒呢?
[00:05:13.380 --> 00:05:19.540]  因為有人激我們 沒有人激我們怎麼會發怒呢?
[00:05:19.540 --> 00:05:25.700]  「媽咪」最流行這麼說的 是吧?
[00:05:25.700 --> 00:05:28.260]  人人都差不多有這樣的經歷
[00:05:28.260 --> 00:05:34.900]  好 我們有時候想一下
[00:05:34.900 --> 00:05:44.960]  有什麼事 什麼是哪些人最容易激怒我們呢?
[00:05:44.960 --> 00:05:48.460]  就是我們身邊的人
[00:05:48.460 --> 00:05:51.040]  第一是什麼呢? 最先是誰呢?
[00:05:51.040 --> 00:05:55.040]  我們的配偶 是吧?
[00:05:55.040 --> 00:05:59.580]  說半句都不行的 是吧?
[00:05:59.580 --> 00:06:03.940]  就是不行的 其次是什麼呢?
[00:06:03.940 --> 00:06:09.720]  我們的子女、父母、兄弟姐妹 就是家人
[00:06:09.720 --> 00:06:14.560]  最容易衝突的就是我們的家人、身邊的人
