
[00:00:00.000 --> 00:00:10.000]  好,我們今天看的是那個十度神傳,十二章,早期教會他們的增長和他們的禱告。
[00:00:10.000 --> 00:00:18.000]  從經文的那一面,我們學習一些教會增長的原則,而且教會應該怎麼樣禱告,
[00:00:18.000 --> 00:00:24.000]  是我們今天三十分鐘,四十分鐘,我們的內容。
[00:00:24.000 --> 00:00:35.000]  有些人問,禱告是什麼的意思?
[00:00:35.000 --> 00:00:47.000]  有些人的回答是說,我們禱告是告訴神,神啊,禰給我們各樣的恩賜。
[00:00:47.000 --> 00:01:01.000]  但是那個答案,那個答案不是禱告的本質,只是那個功能,functional。
[00:01:01.000 --> 00:01:11.000]  我們禱告是求神做那個功,不是禱告的那個本質。
[00:01:11.000 --> 00:01:22.000]  另外一些人說,我們禱告是好像基督徒,我的生命,我們要呼吸,
[00:01:22.000 --> 00:01:31.000]  我們要那個空氣來幫我們生活的一樣,沒有禱告,基督徒沒有生命。
[00:01:31.000 --> 00:01:44.000]  對,一部分的正確的答案,那個答案我們可以說是存在的。
[00:01:44.000 --> 00:01:57.000]  因爲基督徒有繼續的生活,要繼續的存在,所以他們禱告,希望那個生命可以繼續下去。
[00:01:57.000 --> 00:02:08.000]  那個是從一個existentialism,那個存在的主義,並不是禱告的本質。
[00:02:08.000 --> 00:02:22.000]  今天我們可以分享一下教習教會的真假,而且分享怎麼樣,什麼是那個禱告的本質。
[00:02:22.000 --> 00:02:36.000]  好,我們看聖經的故事,從希特勒行傳十二章,那個地點是在耶路撒冷,
[00:02:36.000 --> 00:02:49.000]  那個地方是在馬可約翰的家裏面發生的,那個經文裏面有不同的人,最重要是彼得,
[00:02:49.000 --> 00:02:59.000]  而且開啓的時候有另外一個門徒,被殺的門徒是雅各,還有那個西律王,
[00:02:59.000 --> 00:03:14.000]  他並不是耶穌出生的時候那個西律的大帝,他是那個西律的大帝的曾孫,
[00:03:14.000 --> 00:03:31.000]  也是他的管轄耶路撒冷的猶太人的王,西律王彼得也有一些士兵,
[00:03:31.000 --> 00:03:47.000]  而且經文裏面有一個神女羅大,還有其他的門徒,那個故事裏面主要的主角是那個彼得。
[00:03:47.000 --> 00:03:56.000]  好,我們看第二章之前是告訴我們十一章裏面有一個安提厄的教會,
[00:03:56.000 --> 00:04:11.000]  增長得非常的快,因爲那個教會有很多信徒的緣故,而且很需要聖經的教導,
[00:04:11.000 --> 00:04:31.000]  所以說有那個老師的需要,而且基督徒,我們的名稱基督徒是從安提厄的教會開始的,
[00:04:31.000 --> 00:04:42.000]  那個教會增長得很快,聖經在十一章裏面告訴我們,然後你看十二章最後的時候,
[00:04:42.000 --> 00:04:57.000]  十二章二十節,二十四節,教會也是不斷地增長廣傳,越發地廣傳,
[00:04:57.000 --> 00:05:10.000]  所以說十一章教會很快地增長,十二章剛剛我們讀完那個故事,彼得那個故事發生之後,
[00:05:10.000 --> 00:05:33.000]  仍然教會在增長,主要我們今天讀的經文告訴我們,教會無論發生任何的事,仍然是不斷地增長,
[00:05:33.000 --> 00:05:48.000]  原因就是耶穌基督的工作,在剛剛我們讀的那個十二章的十七節裏面,彼得告訴我們,
[00:05:48.000 --> 00:05:58.000]  耶穌基督他在那個故事裏面,我們讀那個故事裏面,他奇妙的工作,
[00:05:58.000 --> 00:06:16.000]  我們看今天的經文的時候,無論基督徒,無論開啓的時候使徒雅各被殺,教會仍然地發展,
[00:06:16.000 --> 00:06:31.000]  雖然那個王帝,那個西律王他有全病,但是不可以難阻耶穌基督的工作,教會的增長。
[00:06:31.000 --> 00:06:47.000]  另外一個故事,另外一個經文裏面,要談教會切切地打幹,兩方面,今天我們從經文學習,
[00:06:47.000 --> 00:07:02.000]  一,教會的增長是耶穌基督的工作,無論任何的事情,耶穌的旨意在教會里面可以不斷地越發廣傳。
[00:07:02.000 --> 00:07:17.000]  二,教會要好好的禱告,切切地禱告,從五節的時候開始,教會禱告,當然教會的禱告不是很完美,
[00:07:17.000 --> 00:07:34.000]  我們等一下學習教會禱告的功課。好,第一個,經文裏面告訴我們第一方面,彼得給抓了,
[00:07:34.000 --> 00:07:49.000]  放在那個監獄裏面,有提煉說了他,不但有提煉,而且有兩個士兵,一個在左邊,一個在右邊,三文治了。
[00:07:49.000 --> 00:08:07.000]  他們期望,他們有把握,百分之百把握,彼得不可以那麼容易被教會用任何的方法拯救彼得。
[00:08:07.000 --> 00:08:19.000]  嚴格的那個監獄,而且很嚴格的那個士兵看守那個彼得。
