
[00:00:00.000 --> 00:00:03.760]  再過十一天就是一年一度的感恩節。
[00:00:03.760 --> 00:00:05.600]  我非常喜歡感恩節,
[00:00:05.600 --> 00:00:07.840]  因為感恩節再次提醒我們
[00:00:07.840 --> 00:00:11.400]  要來數算神的恩典,要來感謝神。
[00:00:11.400 --> 00:00:13.840]  其實感恩就是神的心意。
[00:00:13.840 --> 00:00:17.080]  在鐵沙隆尼迦前書第五章十六節到第十八節,
[00:00:17.080 --> 00:00:19.560]  聖靈告訴我們說,要常常喜樂,
[00:00:19.560 --> 00:00:22.400]  不做的禱告,凡是謝恩。
[00:00:22.400 --> 00:00:23.240]  為什麼呢?
[00:00:23.240 --> 00:00:25.920]  因為這是神在基督耶穌裡
[00:00:25.920 --> 00:00:30.800]  向你們,向我們所訂的旨意。
[00:00:30.800 --> 00:00:32.640]  不論是你覺得好的事情,
[00:00:32.640 --> 00:00:34.840]  或者覺得不是太好的事情,
[00:00:34.840 --> 00:00:39.120]  我們都要凡是來感謝我們的神。
[00:00:39.120 --> 00:00:42.240]  有位老牧師在他臨死之前
[00:00:42.240 --> 00:00:45.640]  就叫了教會兩個會友到他的床邊。
[00:00:45.640 --> 00:00:47.320]  他吩咐一個坐在他的左邊,
[00:00:47.320 --> 00:00:49.800]  一個坐在他的右邊。
[00:00:49.800 --> 00:00:53.040]  其中一個是國稅局IRS的一個官員,
[00:00:53.040 --> 00:00:55.120]  另外一個是律師。
[00:00:55.120 --> 00:00:59.000]  他們心中非常感動,也非常地感恩,
[00:00:59.000 --> 00:01:03.720]  牧師在他臨終之前要他們來陪伴他。
[00:01:03.720 --> 00:01:07.200]  律師就鼓起勇氣好奇地問牧師說,
[00:01:07.200 --> 00:01:12.280]  「牧師啊,你為什麼會選我們這兩個人呢?」
[00:01:12.280 --> 00:01:17.160]  然後這位老牧師鼓起了他最後的一口氣,
[00:01:17.160 --> 00:01:20.040]  就回答他說,
[00:01:20.040 --> 00:01:22.600]  「耶穌死在兩個罪人中間,
[00:01:22.600 --> 00:01:27.520]  我也想跟祂一樣。」
[00:01:27.520 --> 00:01:33.680]  高手旁邊的人說「凡是謝恩」。
[00:01:33.680 --> 00:01:36.760]  是的,我們要來感謝我們身邊
[00:01:36.760 --> 00:01:38.240]  服侍我們、伴助我們的人,
[00:01:38.240 --> 00:01:41.760]  不論是你的牧師、你的驅牧、你的小組長,
[00:01:41.760 --> 00:01:44.440]  或者你的配偶、你的家人、你的父母親,
[00:01:44.440 --> 00:01:46.560]  我們都要感謝他們。
[00:01:46.560 --> 00:01:48.120]  不論你喜歡他們與否,
[00:01:48.120 --> 00:01:49.600]  在這感恩的季節裡面,
[00:01:49.600 --> 00:01:51.560]  我們就是要來感謝他們,
[00:01:51.560 --> 00:01:53.640]  因為這是神的旨意,
[00:01:53.640 --> 00:01:57.240]  要我們凡是謝恩,阿門!
[00:01:57.240 --> 00:01:58.240]  在今天早上,
[00:01:58.240 --> 00:01:59.880]  在這個感恩的季節裡面,
[00:01:59.880 --> 00:02:01.000]  要與大家分享,
[00:02:01.000 --> 00:02:05.960]  神為什麼要我們凡是都要來感謝祂呢?
[00:02:05.960 --> 00:02:08.320]  我們先來看路加奧福音第十七章,
[00:02:08.320 --> 00:02:11.080]  從第十一節到第十九節,
[00:02:11.080 --> 00:02:14.880]  耶穌醫好十個長大麻瘋的病人。
[00:02:14.880 --> 00:02:15.960]  這裡第十一節說,
[00:02:15.960 --> 00:02:17.800]  「耶穌往耶路撒冷去,
[00:02:17.800 --> 00:02:20.280]  經過撒瑪利亞和加利利,
[00:02:20.280 --> 00:02:21.480]  進入一個村子,
[00:02:21.480 --> 00:02:24.200]  有十個長大麻瘋的,
[00:02:24.200 --> 00:02:25.360]  迎面而來,
[00:02:25.360 --> 00:02:28.000]  遠遠的站著高聲說,
[00:02:28.000 --> 00:02:31.600]  耶穌,父子,可憐我們吧!」
[00:02:31.600 --> 00:02:33.000]  耶穌看見,
[00:02:33.000 --> 00:02:33.840]  就對他們說,
[00:02:33.840 --> 00:02:37.080]  「你們去把身體給祭司看,
[00:02:37.080 --> 00:02:40.840]  他們去的時候就潔淨了。」
[00:02:40.840 --> 00:02:42.800]  那中有一個見自己已經好了,
[00:02:42.800 --> 00:02:44.280]  就回來大聲,
[00:02:44.280 --> 00:02:45.560]  歸榮耀於神,
[00:02:45.560 --> 00:02:49.160]  又俯伏在耶穌腳前感謝祂,
[00:02:49.160 --> 00:02:52.520]  這人是撒瑪利亞人。
[00:02:52.520 --> 00:02:53.360]  耶穌說,
[00:02:53.360 --> 00:02:56.000]  「潔淨了的不是十個人嗎?
[00:02:56.000 --> 00:02:57.760]  那九個在哪裡呢?
[00:02:57.760 --> 00:02:58.880]  除了這外族人,
[00:02:58.880 --> 00:03:00.360]  再沒有別人回來,
[00:03:00.360 --> 00:03:02.360]  歸榮耀於神嗎?」
[00:03:02.360 --> 00:03:03.640]  就對那人說,
[00:03:03.640 --> 00:03:05.640]  「起來,走吧!
[00:03:05.640 --> 00:03:08.080]  你的性救了你了!」
[00:03:08.080 --> 00:03:08.960]  就對那人說,
[00:03:08.960 --> 00:03:10.720]  「起來,走吧!
[00:03:10.720 --> 00:03:13.160]  你的性救了你了!」
[00:03:13.160 --> 00:03:16.480]  我們先來看看這個故事發生的地點。
[00:03:16.480 --> 00:03:17.640]  先看看第十一節,
[00:03:17.640 --> 00:03:21.080]  這裡說耶穌要往耶路撒冷去。
[00:03:21.080 --> 00:03:25.000]  這還是路加一生寫《路加福音》的一個特別重點,
[00:03:25.000 --> 00:03:27.000]  強調耶穌基督是完全人,
[00:03:27.000 --> 00:03:28.280]  祂來到世上,
[00:03:28.280 --> 00:03:30.080]  是代替我們人所有的罪,
[00:03:30.080 --> 00:03:31.600]  釘死在十字架上,
[00:03:31.600 --> 00:03:33.360]  所以祂要往耶路撒冷去。
[00:03:33.360 --> 00:03:36.240]  因此在《路加福音》第十九章二十八節說,
[00:03:36.240 --> 00:03:38.080]  耶穌進到耶路撒冷去的時候,
[00:03:38.080 --> 00:03:39.840]  許多驢居進入耶路撒冷,
[00:03:39.840 --> 00:03:42.040]  大家夾道來歡迎祂。
[00:03:42.040 --> 00:03:42.800]  其實,
[00:03:42.800 --> 00:03:44.560]  耶穌要到耶路撒冷的目的,
[00:03:44.560 --> 00:03:46.360]  並不是要接受人的歡迎,
[00:03:46.360 --> 00:03:49.520]  那是要完成救贖世人的使命,
[00:03:49.520 --> 00:03:52.000]  最終是要被釘死在十字架上,
[00:03:52.000 --> 00:03:56.400]  完成天父拯救我們世人偉大的使命。
[00:03:56.400 --> 00:04:01.720]  然後這裡說祂經過撒瑪利亞和加利利。
[00:04:01.720 --> 00:04:04.920]  這兩個地方可以說是他們互相不來往的民族。
[00:04:04.920 --> 00:04:09.600]  撒瑪利亞人被猶太人和加利利人覺得是完全不潔淨的人,
[00:04:09.600 --> 00:04:11.640]  因為他們是跟異族通婚,
[00:04:11.640 --> 00:04:14.720]  但是加利利卻居住了很多猶太人。
[00:04:14.720 --> 00:04:16.400]  所以從這我們可以想像說,
[00:04:16.400 --> 00:04:18.120]  在這十個麻風病人裡面,
[00:04:18.120 --> 00:04:22.280]  可能當中也參雜了撒瑪利亞人,
[00:04:22.280 --> 00:04:25.600]  還有猶太人和加利利人。
[00:04:25.600 --> 00:04:26.800]  我們可以想像,
[00:04:26.800 --> 00:04:28.160]  在這樣一個當中,
[00:04:28.160 --> 00:04:29.720]  他們來求耶穌的時候,
[00:04:29.720 --> 00:04:31.720]  他們是遠遠地站坐,
[00:04:31.720 --> 00:04:34.240]  因為他們不能夠接近耶穌,
[00:04:34.240 --> 00:04:35.440]  因為他們是不潔淨的。
[00:04:35.440 --> 00:04:36.680]  大喊著說:
[00:04:36.680 --> 00:04:38.360]  「耶穌父子,可憐我們吧!」
