
[00:00:00.000 --> 00:00:05.000]  好,大家家裡像不像這幅圖畫呢?
[00:00:05.000 --> 00:00:07.000]  還是你的現況不是這樣的呢?
[00:00:07.000 --> 00:00:13.000]  大家是否希望像這個影片裡的家庭是這樣的呢?
[00:00:13.000 --> 00:00:17.000]  爸爸很愛媽媽,兄弟姐妹也很好相親
[00:00:17.000 --> 00:00:20.000]  雖然沒有三千呎,只剩下三百呎
[00:00:20.000 --> 00:00:22.000]  仍然很享福的
[00:00:22.000 --> 00:00:24.000]  因為看到我們的社會裡
[00:00:24.000 --> 00:00:26.000]  當我預備這篇講章的時候
[00:00:26.000 --> 00:00:28.000]  看到我們這個城市
[00:00:28.000 --> 00:00:30.000]  爸爸抱著兒子一起死
[00:00:30.000 --> 00:00:32.000]  媽媽又抱著兩個女兒
[00:00:32.000 --> 00:00:34.000]  不知道做什麼,又一起死
[00:00:34.000 --> 00:00:37.000]  這首歌的原作者,Melody
[00:00:37.000 --> 00:00:40.000]  是一位叫Sir Henry Rory Bishop
[00:00:40.000 --> 00:00:42.000]  他是十八歲幾的一個人
[00:00:42.000 --> 00:00:44.000]  其實他家庭也不是很幸福
[00:00:44.000 --> 00:00:46.000]  所以他作了這首歌
[00:00:46.000 --> 00:00:48.000]  他希望靠這首歌
[00:00:48.000 --> 00:00:50.000]  告訴我們我們的家庭
[00:00:50.000 --> 00:00:52.000]  原本應該是這樣的
[00:00:52.000 --> 00:00:56.000]  這首歌的原版,英文版叫 Home Sweet Home
[00:00:56.000 --> 00:00:59.000]  中文版叫甜蜜的家庭
[00:00:59.000 --> 00:01:01.000]  這首歌是我十蚊仔的時候很喜歡聽的
[00:01:01.000 --> 00:01:03.000]  不知道大家聽過沒有
[00:01:03.000 --> 00:01:05.000]  詩篇一二七篇和一二八篇
[00:01:05.000 --> 00:01:08.000]  是一篇兩篇都是上行之詩
[00:01:08.000 --> 00:01:10.000]  什麼叫上行之詩呢?
[00:01:10.000 --> 00:01:15.000]  原來當日猶太人要去耶路撒冷敬拜神
[00:01:15.000 --> 00:01:18.000]  大家以為是敬拜神
[00:01:18.000 --> 00:01:20.000]  其實他是一家大小
[00:01:20.000 --> 00:01:24.000]  上到聖殿裡去敬拜神
[00:01:24.000 --> 00:01:27.000]  雖然一二七篇是所羅門王的作品
