
[00:00:00.000 --> 00:00:02.000]  靖姐妹平安
[00:00:02.000 --> 00:00:07.000]  我們一起有個很短的祈禱好嗎
[00:00:07.000 --> 00:00:16.000]  天父在你的聖日
[00:00:16.000 --> 00:00:20.000]  我們的心所設歸你為聖
[00:00:20.000 --> 00:00:24.000]  願天父你的靈
[00:00:25.000 --> 00:00:30.000]  引導我們去明白屬靈的事
[00:00:30.000 --> 00:00:33.000]  在你面前恭敬的等候
[00:00:33.000 --> 00:00:36.000]  奉耶穌基督聖名
[00:00:36.000 --> 00:00:37.000]  阿們
[00:00:37.000 --> 00:00:41.000]  我今天跟大家分享一個題目
[00:00:41.000 --> 00:00:43.000]  就叫做起來
[00:00:43.000 --> 00:00:45.000]  很簡單兩個字而已
[00:00:45.000 --> 00:00:47.000]  就是起來
[00:00:47.000 --> 00:00:52.000]  我們的人生無論在過往
[00:00:52.000 --> 00:00:54.000]  或者現在
[00:00:55.000 --> 00:00:57.000]  可能都發生一些事
[00:00:57.000 --> 00:01:00.000]  令到我們是會低沉
[00:01:00.000 --> 00:01:02.000]  不容易起來
[00:01:02.000 --> 00:01:06.000]  我今天會跟大家從聖經裡面
[00:01:06.000 --> 00:01:08.000]  看幾位的人物
[00:01:08.000 --> 00:01:13.000]  他們在不同的情況之下能夠起來
[00:01:13.000 --> 00:01:15.000]  讓神的話
[00:01:15.000 --> 00:01:19.000]  今天都能夠去鼓勵你和我一下
[00:01:19.000 --> 00:01:22.000]  我們先看
[00:01:23.000 --> 00:01:26.000]  大衛從失去中起來
[00:01:26.000 --> 00:01:28.000]  有一段聖經
[00:01:28.000 --> 00:01:31.000]  我邀請大家跟我一起讀好嗎
[00:01:31.000 --> 00:01:33.000]  一段聖經從
[00:01:33.000 --> 00:01:37.000]  3號以下12章13節開始
[00:01:37.000 --> 00:01:39.000]  請讀
[00:01:39.000 --> 00:01:40.000]  大衛對那丹說
[00:01:40.000 --> 00:01:43.000]  我得罪耶和華了
[00:01:43.000 --> 00:01:45.000]  那丹說
[00:01:45.000 --> 00:01:47.000]  耶和華已經除掉你的罪
[00:01:47.000 --> 00:01:50.000]  你必不至於死
[00:01:51.000 --> 00:01:53.000]  只是你行這事
[00:01:53.000 --> 00:01:55.000]  要耶和華的仇敵
[00:01:55.000 --> 00:01:57.000]  帶得褻瀆的機會
[00:01:57.000 --> 00:01:59.000]  故此
[00:01:59.000 --> 00:02:01.000]  你所得的孩子
[00:02:01.000 --> 00:02:02.000]  必定要死
[00:02:02.000 --> 00:02:05.000]  那丹就回家去了
[00:02:05.000 --> 00:02:08.000]  耶和華擊打烏尼亞妻
[00:02:08.000 --> 00:02:11.000]  給大衛所生的孩子
[00:02:11.000 --> 00:02:13.000]  此打得重病
[00:02:13.000 --> 00:02:15.000]  所以
[00:02:15.000 --> 00:02:18.000]  大衛為這孩子懇求神
[00:02:18.000 --> 00:02:19.000]  而且禁食
[00:02:20.000 --> 00:02:21.000]  進入內室
[00:02:21.000 --> 00:02:23.000]  中夜躺在地上
[00:02:23.000 --> 00:02:25.000]  他家中的老神
[00:02:25.000 --> 00:02:27.000]  來到他旁邊
[00:02:27.000 --> 00:02:30.000]  要把他從地上扶起來
[00:02:30.000 --> 00:02:33.000]  他卻不肯起來
[00:02:33.000 --> 00:02:35.000]  也不和他們吃飯
[00:02:35.000 --> 00:02:37.000]  到第七天
[00:02:37.000 --> 00:02:39.000]  孩子死了
[00:02:39.000 --> 00:02:43.000]  大衛的神僕不敢告訴他孩子死了
