
[00:00:00.000 --> 00:00:02.420]  好 鼎姐妹平安
[00:00:02.420 --> 00:00:05.620]  剛才聽報告的時候 挺有趣的
[00:00:05.620 --> 00:00:09.980]  2026 接著就是ELECT26
[00:00:09.980 --> 00:00:12.840]  很有趣的口號
[00:00:12.840 --> 00:00:17.500]  在我們今年的裏面 已經變成2026年了
[00:00:17.500 --> 00:00:22.820]  今天的主日已經是2026年第幾週
[00:00:22.820 --> 00:00:27.860]  第三週 但仍然是一個新的一年的開始
[00:00:27.860 --> 00:00:33.820]  在新一年的開始 我就想有什麼可以跟大家分享
[00:00:33.820 --> 00:00:37.780]  然後我想起 原來很多時候
[00:00:37.780 --> 00:00:42.220]  用電腦或者在辦公室工作的時候
[00:00:42.220 --> 00:00:45.580]  想到一件事 要重新再開機
[00:00:45.580 --> 00:00:49.720]  是什麼時間呢 手機變輕了
[00:00:49.720 --> 00:00:53.340]  然後影印機又失了紙
[00:00:53.340 --> 00:00:56.140]  然後很想再重新來過
[00:00:56.140 --> 00:00:58.780]  有這個概念 要再重新來過
[00:00:58.780 --> 00:01:01.140]  其實在新一年裏面
[00:01:01.140 --> 00:01:04.220]  我在長青裏面有祈禱會
[00:01:04.220 --> 00:01:07.680]  在《牧者心聲》 今期剛好是我寫《牧者心聲》
[00:01:07.680 --> 00:01:10.180]  裏面也有分享了祈禱會
[00:01:10.180 --> 00:01:15.460]  很多事情 長者 特別是長者
[00:01:15.460 --> 00:01:18.860]  連日經過很多歲月裏面
[00:01:18.860 --> 00:01:21.580]  有很多很多生命的故事
[00:01:21.580 --> 00:01:25.900]  其實在生命的故事裏面 是有好的東西的
[00:01:25.900 --> 00:01:27.180]  是有很多好的東西
[00:01:27.180 --> 00:01:31.300]  但亦有些不是太好的東西
[00:01:31.300 --> 00:01:37.300]  很多事情 我們再重新經歷人生的時候
[00:01:37.300 --> 00:01:40.180]  有些東西可以刪除
[00:01:40.180 --> 00:01:42.220]  有些可以再保留
[00:01:42.220 --> 00:01:46.020]  很想今天一起去經驗
[00:01:46.020 --> 00:01:49.860]  我們的人生 有沒有180度的人生
[00:01:49.860 --> 00:01:52.780]  我們已經有 信了耶穌 已經是了
[00:01:52.780 --> 00:01:55.980]  但仍然有些東西黏著 像上星期
[00:01:55.980 --> 00:01:59.300]  岩木師傅所分享 是否有老鵝
[00:01:59.300 --> 00:02:02.460]  其實老鵝是其中一樣東西
[00:02:02.460 --> 00:02:04.620]  我們要去拿走
[00:02:04.620 --> 00:02:07.620]  但我們自己上帝創造
[00:02:07.620 --> 00:02:09.940]  我們有很多很多好的東西要保留
[00:02:09.940 --> 00:02:13.500]  180度是怎樣的
[00:02:13.500 --> 00:02:17.100]  三百六十度呢
[00:02:17.100 --> 00:02:20.660]  大家要搞清楚這個倒數
[00:02:20.660 --> 00:02:24.420]  我們一起祈禱 主耶穌我們去到祢的面前
[00:02:24.420 --> 00:02:26.540]  來感恩
[00:02:26.540 --> 00:02:30.620]  因為祢給了我們很多豐盛的恩典在我們生命裏面
[00:02:30.620 --> 00:02:33.180]  亦給了我們很多資源在我們裏面
[00:02:33.180 --> 00:02:37.140]  讓我們好好運用祢所給我們的
[00:02:37.140 --> 00:02:40.620]  而我們生命當中 亦有一些不合神心意的
[00:02:40.620 --> 00:02:42.340]  或者拖著我們的腳
[00:02:42.340 --> 00:02:44.900]  不能夠去經歷更豐盛的人生的
[00:02:44.900 --> 00:02:46.460]  主耶穌要光照我們
[00:02:46.460 --> 00:02:48.900]  主耶穌藉著今天的經文
[00:02:48.900 --> 00:02:51.180]  去光照 提醒我們
[00:02:51.180 --> 00:02:56.660]  讓我們活在祢所賜的180度的人生當中
[00:02:56.660 --> 00:02:58.980]  願今日去講 去聽
[00:02:58.980 --> 00:03:00.380]  都蒙祢賜福
[00:03:00.380 --> 00:03:03.460]  願真理的聖靈來帶動我們以下時間
[00:03:03.460 --> 00:03:06.420]  奉主耶穌基督 得聖命自祈求
[00:03:06.420 --> 00:03:07.460]  阿門
[00:03:07.460 --> 00:03:10.620]  好了 今日講詩篇 十六篇
[00:03:10.620 --> 00:03:14.220]  原來這個十六篇是一個經典的詩篇
[00:03:14.220 --> 00:03:15.500]  叫大衛的金詩
[00:03:15.500 --> 00:03:18.820]  原來在詩篇裏面有六篇的大衛金詩
[00:03:18.820 --> 00:03:20.460]  我們選擇了十六篇
[00:03:20.460 --> 00:03:23.660]  還有五十六篇 五十七篇 五十八篇
[00:03:23.660 --> 00:03:25.580]  五十九篇和六十篇
