
[00:00:00.000 --> 00:00:02.700]  在上一次我記得我和大家講到甚麼
[00:00:02.700 --> 00:00:04.700]  就是神的國
[00:00:04.700 --> 00:00:06.700]  神的國
[00:00:06.700 --> 00:00:09.360]  那個神的國是already
[00:00:09.360 --> 00:00:11.360]  如果大家看過《廣道大綱》
[00:00:11.360 --> 00:00:13.120]  就是耶穌基督說
[00:00:13.120 --> 00:00:15.600]  我一個靠上帝的靈趕鬼
[00:00:15.600 --> 00:00:17.600]  那麼上帝的國
[00:00:17.600 --> 00:00:19.960]  就已臨到你們了
[00:00:19.960 --> 00:00:21.960]  就已的已字即是已經
[00:00:21.960 --> 00:00:25.160]  即是我們用英文的表達就是already
[00:00:25.160 --> 00:00:28.000]  上帝的國已經臨到的了
[00:00:28.000 --> 00:00:31.500]  但是在盧家森十七章第21節
[00:00:31.500 --> 00:00:33.500]  他說人也不能說看在這裡
[00:00:33.500 --> 00:00:35.500]  或說看在那裡
[00:00:35.500 --> 00:00:39.000]  因為上帝的國就在你們心裏
[00:00:39.000 --> 00:00:43.500]  重點就是我們想見神的國
[00:00:43.500 --> 00:00:46.000]  甚麼意思呢?甚麼叫神的國?
[00:00:46.000 --> 00:00:49.000]  一般輿論我們說甚麼國?美國
[00:00:49.000 --> 00:00:51.000]  美國在哪裏?當然是美國在哪裏
[00:00:51.000 --> 00:00:53.000]  美國在香港
[00:00:53.000 --> 00:00:56.000]  坐飛機去東岸西岸
[00:00:56.000 --> 00:00:58.000]  可能要十多個小時也說不定
[00:00:58.000 --> 00:01:00.500]  這個呢就是有個國家在那裏的
[00:01:00.500 --> 00:01:02.000]  中國我們知道了
[00:01:02.000 --> 00:01:04.000]  我們過了羅湖或者甚麼甚麼
[00:01:04.000 --> 00:01:06.000]  就去到中國的國土了
[00:01:06.000 --> 00:01:08.000]  日本我們就知道在哪裏了
[00:01:08.000 --> 00:01:11.000]  但是神的國不是這樣的
[00:01:11.000 --> 00:01:15.000]  神的國不是用這種定義的方式
[00:01:15.000 --> 00:01:16.000]  神的國就是甚麼?
[00:01:16.000 --> 00:01:18.000]  其實就是好像主耶穌說的
[00:01:18.000 --> 00:01:20.000]  主禱文裏面這樣說
[00:01:20.000 --> 00:01:22.000]  主耶穌在主禱文裏面說甚麼?
[00:01:22.000 --> 00:01:28.000]  「願祢的國降臨,願祢的子兒行在地上,如同行在天上」
[00:01:28.000 --> 00:01:30.000]  耶穌也說「願祢的國降臨」
[00:01:30.000 --> 00:01:33.000]  即是降了沒有?降了沒有?
[00:01:33.000 --> 00:01:34.000]  國名「願」嘛
[00:01:34.000 --> 00:01:37.000]  我但願能夠有一天見到你
[00:01:37.000 --> 00:01:39.000]  即是還沒見到 是不是?
[00:01:39.000 --> 00:01:42.000]  所以在耶穌的主禱文裏面
[00:01:42.000 --> 00:01:44.000]  所說到神的國
[00:01:44.000 --> 00:01:45.000]  祂就告訴我們
[00:01:45.000 --> 00:01:50.000]  「願祢的國降臨,願祢的子兒行在地上,如同行在天上」一樣
[00:01:50.000 --> 00:01:52.000]  即是換言之
[00:01:52.000 --> 00:01:54.000]  我們可以說神的國是甚麼意思呢?
[00:01:54.000 --> 00:01:59.000]  就是說神的子兒能夠可以摸爛了地運行的時候
[00:01:59.000 --> 00:02:01.000]  其實神的國已經在這裏
[00:02:01.000 --> 00:02:04.000]  所以當一個人如果已經接受了耶穌成為他的救主
[00:02:04.000 --> 00:02:07.000]  已經接受了耶穌成為他的救主
[00:02:07.000 --> 00:02:11.000]  其實理論上當我們接受耶穌成為我們的主
[00:02:11.000 --> 00:02:13.000]  成為我們的救主的時候的意思是甚麼?
[00:02:13.000 --> 00:02:15.000]  即是說祂是我們的主人
[00:02:15.000 --> 00:02:17.000]  祂是我們的主人的時候
[00:02:17.000 --> 00:02:19.000]  主人的意思就是我的意思
[00:02:19.000 --> 00:02:22.000]  我不可以去抗拒這個主人的意思
[00:02:22.000 --> 00:02:25.000]  哇!很霸道而已
[00:02:25.000 --> 00:02:27.000]  你一定是對的
[00:02:27.000 --> 00:02:28.000]  你現在是對的
[00:02:28.000 --> 00:02:29.000]  你是老闆
[00:02:29.000 --> 00:02:30.000]  你是我老闆
[00:02:30.000 --> 00:02:31.000]  你是我老闆
[00:02:31.000 --> 00:02:32.000]  那你說的都是對的嗎?
[00:02:32.000 --> 00:02:34.000]  你不想聽聽我的意見嗎?
[00:02:34.000 --> 00:02:36.000]  當然可以啦
[00:02:36.000 --> 00:02:38.000]  因為你老闆也是人來的嘛
[00:02:38.000 --> 00:02:39.000]  是不是?
[00:02:39.000 --> 00:02:40.000]  可能你比你老闆厲害
[00:02:40.000 --> 00:02:42.000]  在某些事情上是對的
[00:02:42.000 --> 00:02:43.000]  所以老闆你要聽聽
[00:02:43.000 --> 00:02:45.000]  那些夥計也好
[00:02:45.000 --> 00:02:46.000]  同事也好
[00:02:46.000 --> 00:02:48.000]  都是同一個字而已
[00:02:48.000 --> 00:02:50.000]  聽聽他們的意見
[00:02:50.000 --> 00:02:53.000]  但是如果祂是神的兒子
[00:02:53.000 --> 00:02:54.000]  是主耶穌
[00:02:54.000 --> 00:02:56.000]  就完全不同了
[00:02:56.000 --> 00:02:58.000]  我們可不可以說
[00:02:58.000 --> 00:02:59.000]  神啊
[00:02:59.000 --> 00:03:01.000]  主耶穌啊
[00:03:01.000 --> 00:03:03.000]  你的意見一般般而已
[00:03:03.000 --> 00:03:06.000]  你好像有點疏忽了一些東西
[00:03:06.000 --> 00:03:08.000]  你都不看全面的
[00:03:08.000 --> 00:03:09.000]  你都不顧全大局的
[00:03:09.000 --> 00:03:10.000]  我們可不可以這樣說?
[00:03:10.000 --> 00:03:12.000]  是不可以的嘛
[00:03:12.000 --> 00:03:14.000]  因為祂是神的兒子
[00:03:14.000 --> 00:03:16.000]  祂的智慧高於我們的智慧
