
[00:00:00.000 --> 00:00:03.400]  剛纔兩個星期我們學習的是什麼呢?
[00:00:03.400 --> 00:00:06.900]  我們要對上帝有一個最美最好的盼望
[00:00:06.900 --> 00:00:08.700]  因爲知道上帝愛我們
[00:00:08.700 --> 00:00:13.300]  無論我們所經歷的高低起伏如意不如意也好
[00:00:13.300 --> 00:00:15.800]  其實我們知道有上帝一個最美的計劃
[00:00:15.800 --> 00:00:17.000]  有好的心意存在
[00:00:17.000 --> 00:00:18.800]  我們要信得過上帝
[00:00:18.800 --> 00:00:20.200]  信得過最美
[00:00:20.200 --> 00:00:25.600]  將上帝的盼望放在我們的生命當中
[00:00:25.600 --> 00:00:27.900]  我們的生命就能夠榮耀上帝
[00:00:27.900 --> 00:00:30.100]  上個星期我們講到
[00:00:30.100 --> 00:00:32.800]  如果我們要培養我們的信心
[00:00:32.800 --> 00:00:35.900]  上個星期我們講什麼呢?
[00:00:35.900 --> 00:00:38.500]  求上帝改變我們的思想
[00:00:38.500 --> 00:00:40.600]  因爲思想主導着我們的態度
[00:00:40.600 --> 00:00:43.200]  我們的態度主導着我們的行爲
[00:00:43.200 --> 00:00:44.500]  你改變你的思想
[00:00:44.500 --> 00:00:45.800]  很多事情你都能夠改變
[00:00:45.800 --> 00:00:48.000]  但有時我們不想改也改不了
[00:00:48.000 --> 00:00:49.300]  靠上帝
[00:00:49.300 --> 00:00:50.500]  不僅改變我們的思想
[00:00:50.500 --> 00:00:52.800]  而且讓我們能夠可以
[00:00:52.800 --> 00:00:56.300]  學習憑信心要走出我們的舒適區
[00:00:56.300 --> 00:00:58.800]  擴展我們的想象力
[00:00:58.800 --> 00:00:59.900]  剛纔有人提過
[00:00:59.900 --> 00:01:01.400]  穆斯提過
[00:01:01.400 --> 00:01:04.500]  原來我們每個人都可以有我們的夢想
[00:01:04.500 --> 00:01:06.800]  夢想很多時候不是我們覺得
[00:01:06.800 --> 00:01:07.800]  現在可以做到的
[00:01:07.800 --> 00:01:11.200]  但是有一個很大的夢想放在我們前面
[00:01:11.200 --> 00:01:13.200]  這個夢想是來自上帝
[00:01:13.200 --> 00:01:15.400]  然後你覺得要去
[00:01:15.400 --> 00:01:18.400]  完成這個理想這個夢想其實不簡單
[00:01:18.400 --> 00:01:20.900]  但如果你連想都不想
[00:01:20.900 --> 00:01:23.400]  只想我現在能夠做些什麼的話
[00:01:23.400 --> 00:01:25.600]  你是沒有辦法可以經歷到
[00:01:25.600 --> 00:01:31.700]  信心帶你去成就大事的經歷
[00:01:31.700 --> 00:01:34.200]  今天要講的題目比較挑戰
[00:01:34.200 --> 00:01:35.400]  爲什麼呢
[00:01:35.400 --> 00:01:37.300]  今天要講禁滅文
[00:01:37.300 --> 00:01:39.300]  講毀身
[00:01:39.300 --> 00:01:41.200]  講承諾
[00:01:41.200 --> 00:01:44.000]  爲什麼我覺得今天這個題目很難講呢
[00:01:44.000 --> 00:01:45.000]  原因是
[00:01:45.000 --> 00:01:48.100]  因爲講到毀身和承諾的時候
[00:01:48.100 --> 00:01:50.800]  其實今天美國社會里面
[00:01:50.800 --> 00:01:53.400]  可能全世界都有這樣的傾向
[00:01:53.400 --> 00:01:56.500]  是越來越多人覺得
[00:01:56.500 --> 00:01:58.700]  我做不到的事情
[00:01:58.700 --> 00:02:00.000]  現在我們的承諾
[00:02:00.000 --> 00:02:01.900]  講毀身 講承諾
[00:02:01.900 --> 00:02:04.500]  很多時候都是答應着先
[00:02:04.500 --> 00:02:08.600]  做不做得到我們不知道的
[00:02:08.600 --> 00:02:10.200]  但是其實
[00:02:10.200 --> 00:02:11.800]  當你來到一個地方
[00:02:11.800 --> 00:02:13.200]  或者你做人做到現在
[00:02:13.200 --> 00:02:15.200]  我相信
[00:02:15.200 --> 00:02:17.800]  會發覺如果我們不能夠對人對事
[00:02:17.800 --> 00:02:19.500]  作出一定的承諾
[00:02:19.500 --> 00:02:21.000]  沒有承諾
[00:02:21.000 --> 00:02:23.400]  我們不肯投身下去的時候
[00:02:23.400 --> 00:02:26.000]  其實很多事情是做不到的
[00:02:26.000 --> 00:02:29.600]  很多事情是做不到的
[00:02:29.600 --> 00:02:31.200]  你想買一間房子
[00:02:31.200 --> 00:02:33.200]  現在買房子不容易
[00:02:33.200 --> 00:02:34.400]  你想買一間房子
[00:02:34.400 --> 00:02:35.600]  或者想買一輛新車
[00:02:35.600 --> 00:02:37.700]  Tesla也好Whatever
