
[00:00:00.000 --> 00:00:03.000]  在上星期我們同工的分享裡
[00:00:03.000 --> 00:00:05.720]  亦都看到上次自己
[00:00:05.720 --> 00:00:10.560]  看回羅馬書由第一章第八節到第十七節
[00:00:10.560 --> 00:00:13.080]  當然兩位同工的分享當中
[00:00:13.080 --> 00:00:17.360]  縱然可能思維不是同一個進程
[00:00:17.360 --> 00:00:19.280]  但裡面所說的內容
[00:00:19.280 --> 00:00:22.240]  其實都不會離開聖經的教導
[00:00:22.240 --> 00:00:24.040]  特別我們都提到
[00:00:24.040 --> 00:00:27.960]  在第一章十六節到第十七節裡
[00:00:27.960 --> 00:00:31.840]  我們所看到的福音是榮耀的福音
[00:00:31.840 --> 00:00:36.240]  以致我們不應該以福音為恥
[00:00:36.240 --> 00:00:37.520]  大家記不記得上星期
[00:00:37.520 --> 00:00:41.280]  我們絕對不能以榮耀的福音為恥
[00:00:41.280 --> 00:00:44.840]  因為我們深信福音是神的大銀
[00:00:44.840 --> 00:00:47.240]  所以去到第十七節的時候
[00:00:47.240 --> 00:00:49.360]  亦提出了一句經文
[00:00:49.360 --> 00:00:52.800]  本於信以至於順
[00:00:52.800 --> 00:00:56.560]  這亦是我們同福神學院的緣分
[00:00:56.560 --> 00:00:59.360]  本於信以至於順
[00:00:59.360 --> 00:01:02.520]  縱然在《解經家》解釋這一節聖經
[00:01:02.520 --> 00:01:06.040]  亦有不同的重點
[00:01:06.040 --> 00:01:09.360]  特別第一個信和第二個信的關係
[00:01:09.360 --> 00:01:11.440]  有些《解經家》說第一個信
[00:01:11.440 --> 00:01:14.240]  是指向上帝的信實
[00:01:14.240 --> 00:01:15.520]  因著祂的信實
[00:01:15.520 --> 00:01:18.760]  我們可以去信靠這位信實的上帝
[00:01:18.760 --> 00:01:20.560]  有些《解經家》說第一個信
[00:01:20.560 --> 00:01:22.400]  都是指向我們的信心
[00:01:22.400 --> 00:01:24.000]  即是今天我們信耶穌
[00:01:24.000 --> 00:01:26.000]  必須要有第一步
[00:01:26.000 --> 00:01:27.000]  我們要信
[00:01:27.000 --> 00:01:30.160]  然後我們的信心就慢慢地成長
[00:01:30.160 --> 00:01:32.080]  所以不同的學者
[00:01:32.080 --> 00:01:34.480]  不同的悉經的看法
[00:01:34.480 --> 00:01:38.480]  就有不同的進程或者不同的方向
[00:01:38.480 --> 00:01:40.520]  但亦不能否定
[00:01:40.520 --> 00:01:45.040]  都是帶我們去對上帝有更多的信心
[00:01:45.040 --> 00:01:46.800]  今日我的題目就是
[00:01:46.800 --> 00:01:48.920]  和第十七節這句說話
[00:01:48.920 --> 00:01:51.320]  好像有些關係
[00:01:51.320 --> 00:01:54.000]  那裏說「本於信以至於順」
[00:01:54.000 --> 00:01:56.440]  而今日我的題目就是
[00:01:56.440 --> 00:02:00.320]  「罪所帶來的懲罰就是罪」
[00:02:00.320 --> 00:02:04.840]  你會說何牧師好像開始有少少哲學味道
[00:02:04.840 --> 00:02:05.840]  都不知道要說甚麼
[00:02:05.840 --> 00:02:06.920]  其實我不是哲學家
[00:02:06.920 --> 00:02:08.080]  我絕對不是神學家
[00:02:08.080 --> 00:02:08.840]  我甚麼都不是
[00:02:08.840 --> 00:02:10.040]  我只是一個牧者
