
[00:00:00.000 --> 00:00:01.800]  我們先祈禱
[00:00:01.800 --> 00:00:03.840]  沿著耶穌基督所差派的聖靈
[00:00:03.840 --> 00:00:07.760]  幫助我們去見到福音是神的大能
[00:00:07.760 --> 00:00:10.800]  能夠去粉碎人堅硬的心
[00:00:10.800 --> 00:00:13.760]  甚至撒旦的詭計
[00:00:13.760 --> 00:00:15.840]  讓我們得到福音成性
[00:00:15.840 --> 00:00:16.800]  回應你自己
[00:00:16.800 --> 00:00:17.640]  奉耶穌的聖名
[00:00:17.640 --> 00:00:18.520]  阿們
[00:00:30.000 --> 00:00:34.160]  差不多是十六章的經文去講述這個福音
[00:00:34.160 --> 00:00:37.160]  講到在羅馬教裡面
[00:00:37.160 --> 00:00:39.600]  猶太人和外邦人這兩個群體
[00:00:39.600 --> 00:00:41.080]  都因著這個福音
[00:00:41.080 --> 00:00:43.040]  可以去合而為一
[00:00:43.040 --> 00:00:44.920]  但是為什麼去到第十六章
[00:00:44.920 --> 00:00:47.800]  就去叫我們去防備
[00:00:47.800 --> 00:00:50.520]  去遠離一些人
[00:00:50.520 --> 00:00:52.120]  所以甚至有些聖家認為
[00:00:52.120 --> 00:00:54.400]  根本這一段不是保羅寫的
[00:00:54.400 --> 00:00:56.840]  都是保羅寫完羅馬書之後
[00:00:56.840 --> 00:00:59.000]  之後有人再加上去
[00:00:59.000 --> 00:01:01.560]  在學術界通常都見慣
[00:01:01.560 --> 00:01:03.440]  通常這些聖家解釋不了的東西
[00:01:03.440 --> 00:01:05.120]  就說不是原作者的
[00:01:05.120 --> 00:01:06.520]  後來有人再加上去
[00:01:06.520 --> 00:01:10.040]  我們其實可以有一個很說服到我們的理由
[00:01:10.040 --> 00:01:13.720]  去明白這段聖經的確是保羅所寫
[00:01:13.720 --> 00:01:19.960]  因為其實是貫徹了保羅對福音的緊張
[00:01:19.960 --> 00:01:22.080]  保羅從剛才我們所講
[00:01:22.080 --> 00:01:25.160]  羅馬書頭十五章、十六章的經文
[00:01:25.160 --> 00:01:27.200]  已經講到福音的寶貴
[00:01:27.200 --> 00:01:29.440]  是因為這個福音這麼重要
[00:01:29.440 --> 00:01:33.360]  所以用很多筆墨去寫出這個福音的憲章
[00:01:33.360 --> 00:01:35.200]  讓我們今天二千年之後
[00:01:35.200 --> 00:01:37.600]  仍然知道我們可以恩信稱義
[00:01:37.600 --> 00:01:41.400]  可以透過聖靈繼續去承聖
[00:01:41.400 --> 00:01:45.040]  而保羅的年代就是第一世紀
[00:01:45.040 --> 00:01:46.920]  使徒還在的時候
[00:01:46.920 --> 00:01:49.040]  異端已經出現
[00:01:49.040 --> 00:01:50.800]  去混亂福音
[00:01:50.800 --> 00:01:54.080]  去離間聖徒的群體
[00:01:54.080 --> 00:01:55.360]  所以保羅知道
[00:01:55.360 --> 00:01:58.120]  其實教會什麼都沒有
[00:01:58.120 --> 00:02:02.040]  尤其是當時教會根本沒有什麼叫做教堂
[00:02:02.040 --> 00:02:05.440]  沒有什麼我們今天有師父要看著錢
[00:02:05.440 --> 00:02:07.080]  要看著國內的物業
[00:02:07.080 --> 00:02:08.680]  不是
[00:02:08.680 --> 00:02:10.640]  保羅很清楚知道
[00:02:10.640 --> 00:02:14.720]  教會唯一的資產就是福音
[00:02:14.720 --> 00:02:18.440]  如果教會的福音被混亂
