
[00:00:00.000 --> 00:00:04.600]  剛才主席所讀的《路加福音》四章十六至三十節
[00:00:04.600 --> 00:00:10.360]  可以說是路加筆下舉足輕重的一篇記載
[00:00:10.360 --> 00:00:15.120]  在三章二十二節說到耶穌受聖靈的浸
[00:00:15.120 --> 00:00:20.840]  也跟著四章十四節說到耶穌是滿有聖靈的能力
[00:00:20.840 --> 00:00:26.760]  也可以說耶穌在四章十六至三十節裏面
[00:00:26.760 --> 00:00:29.280]  很清楚地表明祂自己的身份
[00:00:29.280 --> 00:00:31.960]  也可以公開地說明
[00:00:31.960 --> 00:00:35.440]  去宣告尼賽亞的時代已經來臨
[00:00:35.440 --> 00:00:38.320]  這個終極的欺凌也出現了
[00:00:38.320 --> 00:00:42.800]  可以說是使人從罪的捆綁裏面得著釋放
[00:00:42.800 --> 00:00:45.960]  但是耶穌也在這段經文裏面告訴我們
[00:00:45.960 --> 00:00:49.960]  這個救恩不單單是給猶太人
[00:00:49.960 --> 00:00:54.840]  而是給所有不同種種情況的人
[00:00:54.840 --> 00:00:59.600]  包括那個寡婦代表著低下階層的貧窮人
[00:00:59.600 --> 00:01:01.920]  那個不潔淨長大麻瘋
[00:01:01.920 --> 00:01:07.320]  不是猶太族裔的一個外邦人都能夠得著
[00:01:07.320 --> 00:01:11.240]  耶穌在這個會堂說到的內容
[00:01:11.240 --> 00:01:14.520]  是用這個外邦人撒勒法的寡婦
[00:01:14.520 --> 00:01:18.320]  和敘利亞的奶媽來做主角
[00:01:18.320 --> 00:01:20.480]  祂要告訴猶太人
[00:01:20.480 --> 00:01:23.320]  神不單止是以色列人的神
[00:01:23.320 --> 00:01:26.520]  更加是外邦人的神
[00:01:26.520 --> 00:01:29.440]  耶穌這個宣告
[00:01:29.440 --> 00:01:33.720]  對當時會堂裏面的人是無法忍受和接受
[00:01:33.720 --> 00:01:39.880]  也不符合他們當時對尼賽亞的觀念和期望
[00:01:39.880 --> 00:01:42.320]  他們明白耶穌所說
[00:01:42.320 --> 00:01:47.200]  「今天這經應驗在你們意中」的意思
[00:01:47.200 --> 00:01:52.960]  耶穌在說祂自己就是尼賽亞的身份
[00:01:52.960 --> 00:01:56.040]  那些人就認為耶穌所說的
[00:01:56.040 --> 00:01:58.080]  是代表祂是假先知
[00:01:58.080 --> 00:01:59.280]  去拒絕耶穌
