
[00:00:00.000 --> 00:00:08.360]  今天我選擇了這一段聖經作為今天唐慶川講的經文
[00:00:08.360 --> 00:00:11.520]  這段聖經很熟悉的
[00:00:11.520 --> 00:00:12.760]  因為也是很出名的
[00:00:12.760 --> 00:00:17.800]  「看那弟兄和睦同住,是何等的善,何等的美?」
[00:00:17.800 --> 00:00:20.720]  然後詩人就用了兩個對比
[00:00:20.720 --> 00:00:21.880]  一個就是
[00:00:21.880 --> 00:00:26.880]  好像阿倫的高柔飄向頭上一路流到鬍鬚
[00:00:26.880 --> 00:00:29.960]  我們中國人就比較少流鬍鬚的
[00:00:29.960 --> 00:00:34.400]  但是中東那邊的男人就一定要有鬍鬚的
[00:00:34.400 --> 00:00:37.160]  如果沒有鬍鬚就不能出街的
[00:00:37.160 --> 00:00:38.480]  真的沒有鬍鬚就不能出街的
[00:00:38.480 --> 00:00:41.080]  所以舊約記載有一次
[00:00:41.080 --> 00:00:46.960]  大衛他們的人抓了那些敵人剃光那些鬍鬚
[00:00:46.960 --> 00:00:48.800]  就放在那裡他們就不能出去了
[00:00:48.800 --> 00:00:50.600]  就像脫光衣服一樣
[00:00:50.600 --> 00:00:51.400]  不能出去
[00:00:51.400 --> 00:00:53.400]  要等那些鬍鬚出來才敢走出去
[00:00:53.400 --> 00:00:55.960]  所以他們有鬍鬚的
[00:00:55.960 --> 00:00:58.240]  流到鬍鬚就是有頭殼
[00:00:58.240 --> 00:01:00.240]  然後用了另外一個對比就是
[00:01:00.240 --> 00:01:05.680]  黑門的甘露流到石灘山
[00:01:05.680 --> 00:01:10.880]  這首詩是將屬靈的福分和大自然的恩賜
[00:01:10.880 --> 00:01:13.160]  結合的一首重讚詩
[00:01:13.160 --> 00:01:17.440]  也是一首願望詩或者憤慶詩
[00:01:17.440 --> 00:01:18.760]  因為開頭第一句就說
[00:01:18.760 --> 00:01:23.120]  「看吶,看吓,你看吓
[00:01:23.120 --> 00:01:26.920]  弟兄和睦同住,幾咁美麗呢?」
[00:01:26.920 --> 00:01:31.280]  儲了宣告告訴別人
[00:01:31.280 --> 00:01:33.200]  其實詩篇的詩
[00:01:33.200 --> 00:01:39.160]  多數都是在節慶的時候一起頌唱的
[00:01:39.160 --> 00:01:42.960]  就像我們今天唱詩一樣一起頌唱的
[00:01:42.960 --> 00:01:46.160]  過節的時候很多不在耶路撒冷住的人
[00:01:46.160 --> 00:01:50.040]  都會來到耶路撒冷聚在一起
[00:01:50.040 --> 00:01:53.720]  「看吓,看吓我們住在耶路撒冷的人
[00:01:53.720 --> 00:01:56.080]  幾咁蒙福呢?」
[00:01:56.080 --> 00:02:02.040]  一個是呼籲,一個是告訴別人
[00:02:02.040 --> 00:02:04.800]  這裡有兩種的對比
[00:02:04.800 --> 00:02:08.960]  前者是經由阿倫祭司傳統
[00:02:08.960 --> 00:02:11.000]  即是屬靈的傳統
