
[00:00:00.000 --> 00:00:02.940]  我們一起來做一個簡單的祈禱
[00:00:02.940 --> 00:00:07.300]  主 祢的話語幫助我們去領受
[00:00:07.300 --> 00:00:09.700]  幫助我們去降服在祢的話語當中
[00:00:09.700 --> 00:00:13.040]  幫助我們知道我們需要祢的話語
[00:00:13.040 --> 00:00:16.840]  因為祢的話語是我們的生命
[00:00:16.840 --> 00:00:21.340]  幫助我們在祝福祢的話語
[00:00:21.340 --> 00:00:25.540]  苦福 敬拜 回應
[00:00:25.540 --> 00:00:27.540]  祝福我們以下這段時間的祈禱
[00:00:27.540 --> 00:00:32.140]  我是奉GSO基督明求 阿門
[00:00:32.140 --> 00:00:33.300]  兩個禮拜之前
[00:00:33.300 --> 00:00:36.700]  我們一起來思想初期教會
[00:00:36.700 --> 00:00:40.840]  在《釋路行傳》中教會的DNA
[00:00:40.840 --> 00:00:44.600]  他們都專注於使徒的教導
[00:00:44.600 --> 00:00:48.840]  彼此的團契 抹餅和祈禱
[00:00:48.840 --> 00:00:52.100]  我們很想我們的教會有五個核心的價值
[00:00:52.100 --> 00:00:57.500]  就是專注教導 團契 抹餅
[00:00:57.500 --> 00:00:58.840]  和祈禱
[00:00:58.840 --> 00:01:03.000]  首先我們看到初期教會是一個專注的群體
[00:01:03.000 --> 00:01:05.340]  一個專注的教會
[00:01:05.340 --> 00:01:08.700]  他們全心投入
[00:01:08.700 --> 00:01:12.540]  他們全心投入去背負耶穌基督的十字架
[00:01:12.540 --> 00:01:15.460]  他們全心投入去跟隨主耶穌基督
[00:01:15.460 --> 00:01:20.140]  他們專注上帝的國 上帝的義
[00:01:20.140 --> 00:01:23.300]  有趣的是他們之所以這麼專注
[00:01:23.300 --> 00:01:24.300]  如果上個禮拜在這裡
[00:01:24.300 --> 00:01:28.100]  你知道是因為使徒的教導
[00:01:28.100 --> 00:01:29.940]  他們的專注是因為
[00:01:29.940 --> 00:01:31.940]  彼得講了一篇道
[00:01:31.940 --> 00:01:36.300]  在五巡節裡面 聖靈充滿的道
[00:01:36.300 --> 00:01:37.800]  入心入肺的道
[00:01:37.800 --> 00:01:42.260]  暴露人性 審判罪惡
[00:01:42.260 --> 00:01:44.000]  高舉十字架的道
[00:01:44.000 --> 00:01:46.340]  令人擇心 令人悔改
[00:01:46.340 --> 00:01:49.340]  令人信靠 令人跟隨的道
[00:01:49.340 --> 00:01:51.860]  聽完之後
[00:01:51.860 --> 00:01:54.400]  這群人沒有速速的回家
[00:01:54.400 --> 00:01:57.000]  他們沒有快快的散兵
[00:01:57.000 --> 00:01:58.500]  他們需要更多的
[00:01:58.500 --> 00:02:02.400]  於是他們渴望更多的使徒的教導
[00:02:02.400 --> 00:02:05.340]  他們專注於使徒的教導
[00:02:05.340 --> 00:02:08.240]  甚至到了一個地步
[00:02:08.240 --> 00:02:12.500]  他們開始建立一個彼此的團契
[00:02:12.500 --> 00:02:13.500]  彼此的團契
[00:02:13.500 --> 00:02:17.700]  聖經說他們專注彼此的團契
[00:02:17.700 --> 00:02:19.700]  什麼意思?
[00:02:19.700 --> 00:02:23.700]  當一群人他們專注彼此的團契
[00:02:23.700 --> 00:02:26.700]  什麼意思?
[00:02:26.700 --> 00:02:29.500]  如果你有機會去北美的一些教會
[00:02:29.500 --> 00:02:30.400]  華人的教會
[00:02:30.400 --> 00:02:32.540]  問他們什麼叫團契的時候
[00:02:32.540 --> 00:02:33.500]  很多時候
[00:02:33.500 --> 00:02:36.200]  我想當中一定會有人跟你說
[00:02:36.200 --> 00:02:40.000]  團契不就是食物 睡覺和合作嗎?
[00:02:40.000 --> 00:02:41.360]  什麼叫團契?
[00:02:41.360 --> 00:02:44.440]  吃東西 玩遊戲 唱歌
[00:02:44.440 --> 00:02:48.040]  少少茶經 速速祈禱結束
[00:02:48.040 --> 00:02:51.560]  再敬食一頓 再敬打機 再去唱卡拉OK
[00:02:51.560 --> 00:02:54.200]  那就叫團契
[00:02:54.200 --> 00:02:57.360]  或者這真是我們在這個世界裡面
[00:02:57.360 --> 00:02:58.800]  一些團契的經驗
[00:02:58.800 --> 00:03:01.100]  但不代表這個團契的經驗
[00:03:01.100 --> 00:03:04.340]  是聖經裡面所說的團契
[00:03:04.340 --> 00:03:05.560]  甚至可以這麼說
[00:03:05.560 --> 00:03:07.800]  如果耶穌今天來到教會裡面的團契
[00:03:07.800 --> 00:03:11.240]  他很有可能進來反枱
[00:03:11.240 --> 00:03:12.600]  他可能破口大罵
[00:03:12.600 --> 00:03:15.560]  然後叫我們散兵
[00:03:15.560 --> 00:03:17.360]  不過其實都沒有什麼所謂
[00:03:17.360 --> 00:03:19.200]  因為今天的團契
[00:03:19.200 --> 00:03:21.940]  其實真的不多需要耶穌
[00:03:21.940 --> 00:03:23.840]  有分 有闊就有友誼
[00:03:23.840 --> 00:03:25.040]  沒有分 沒有闊
[00:03:25.040 --> 00:03:27.040]  當然沒有友誼
[00:03:27.040 --> 00:03:28.700]  我們的團契
[00:03:28.700 --> 00:03:31.440]  已經再不需要
[00:03:31.440 --> 00:03:32.400]  主耶穌基督
[00:03:32.400 --> 00:03:36.800]  是何等悲哀的一件事
[00:03:36.800 --> 00:03:38.160]  Rosebeth Cantor
[00:03:38.160 --> 00:03:42.260]  是哈佛商學院裡面的一個升級教授
[00:03:42.260 --> 00:03:44.360]  她的專長是領袖學
[00:03:44.360 --> 00:03:46.040]  不過她出道的時候
[00:03:46.040 --> 00:03:48.140]  她所學的是社會學
[00:03:48.140 --> 00:03:50.060]  她曾經做過一個研究
[00:03:50.060 --> 00:03:54.340]  她說要成功的組織一班人
[00:03:54.340 --> 00:03:57.340]  要將一個群體成功的組織起來
[00:03:57.340 --> 00:04:00.160]  需要三個元素
[00:04:00.160 --> 00:04:01.300]  哪三個元素呢
[00:04:01.300 --> 00:04:01.900]  第一
