
[00:00:00.000 --> 00:00:03.000]  我們進到起事物第十九章
[00:00:03.000 --> 00:00:07.000]  十九章之前十八章發生什麼事情
[00:00:07.000 --> 00:00:11.000]  兩個禮拜也大概都忘掉了
[00:00:11.000 --> 00:00:14.000]  十八章發生什麼事情
[00:00:14.000 --> 00:00:18.000]  我現在先不用你回想起事物第一章
[00:00:18.000 --> 00:00:20.000]  先想想看十八章發生什麼事情
[00:00:20.000 --> 00:00:22.000]  十八章裡面我們講到說
[00:00:22.000 --> 00:00:24.000]  這個大銀庫怎麼樣
[00:00:24.000 --> 00:00:26.000]  這個大巴比倫城怎麼樣
[00:00:26.000 --> 00:00:28.000]  倒塌了
[00:00:28.000 --> 00:00:30.000]  是不是大巴比倫城倒塌了
[00:00:30.000 --> 00:00:33.000]  那麼這個大巴比倫城代表著
[00:00:33.000 --> 00:00:36.000]  代表著這所有一切權力
[00:00:36.000 --> 00:00:37.000]  money
[00:00:37.000 --> 00:00:39.000]  還有這些的power
[00:00:39.000 --> 00:00:40.000]  還有這些sex
[00:00:40.000 --> 00:00:44.000]  所有這一切抵擋神的這些的世界
[00:00:44.000 --> 00:00:47.000]  還有這些的迪基督先知
[00:00:47.000 --> 00:00:50.000]  通通在這一個大巴比倫城上
[00:00:50.000 --> 00:00:53.000]  這一個大巴比倫倒塌了
[00:00:53.000 --> 00:00:55.000]  親愛的優子們
[00:00:57.000 --> 00:01:00.000]  所以接下來就十九章
[00:01:00.000 --> 00:01:02.000]  第一節到第六節
[00:01:02.000 --> 00:01:06.000]  就帶來了啟示錄裡面最後的一次
[00:01:06.000 --> 00:01:09.000]  第七次的讚美
[00:01:09.000 --> 00:01:12.000]  啟示錄一共有七次的讚美
[00:01:12.000 --> 00:01:14.000]  七代表什麼
[00:01:14.000 --> 00:01:16.000]  代表完全
[00:01:16.000 --> 00:01:18.000]  你可以看見啟示錄裡面
[00:01:18.000 --> 00:01:20.000]  一再地講到敬拜讚美
[00:01:20.000 --> 00:01:21.000]  敬拜讚美
[00:01:21.000 --> 00:01:22.000]  敬拜讚美多麼重要
[00:01:22.000 --> 00:01:26.000]  跟你旁邊說敬拜讚美好重要
[00:01:28.000 --> 00:01:30.000]  唉
