
[00:00:00.000 --> 00:00:04.000]  約書亞記系列我們來到第十七篇取勝了
[00:00:04.000 --> 00:00:08.000]  十一章十六節開始到第十二章
[00:00:08.000 --> 00:00:14.000]  整整一個的紀錄講到我們在這個戰事裏面
[00:00:14.000 --> 00:00:17.000]  終於來到最後一個關頭
[00:00:17.000 --> 00:00:21.000]  在當中我們看見約書亞記十一章二十三節他這樣講
[00:00:21.000 --> 00:00:23.000]  我們一起讀出這段經文好嗎
[00:00:23.000 --> 00:00:26.000]  約書亞記十一章二十三節請讀
[00:00:26.000 --> 00:00:32.000]  這樣約書亞照著耶和華所吩咐摩西的一切華
[00:00:32.000 --> 00:00:34.000]  奪了那全地
[00:00:34.000 --> 00:00:37.000]  就按照以色列之派的宗族
[00:00:37.000 --> 00:00:39.000]  將地分給他們為業
[00:00:39.000 --> 00:00:43.000]  於是國中太平沒有爭戰了
[00:00:43.000 --> 00:00:47.000]  這裏講到約書亞奪了全地
[00:00:47.000 --> 00:00:50.000]  那個在多年來
[00:00:50.000 --> 00:00:54.000]  一直在這個地方去爭奪的事情
[00:00:54.000 --> 00:00:56.000]  將要一個的結束
[00:00:56.000 --> 00:01:00.000]  其實他們走過這一段打仗的旅程
[00:01:00.000 --> 00:01:02.000]  按照很多的計算
[00:01:02.000 --> 00:01:08.000]  特別用加勒的壽命或者歲數去計算
[00:01:08.000 --> 00:01:11.000]  大概是五至七年的時間
[00:01:11.000 --> 00:01:13.000]  這裏當中有不同的戰役
[00:01:13.000 --> 00:01:15.000]  有一些很簡單的
[00:01:15.000 --> 00:01:16.000]  一天就搞定了
[00:01:16.000 --> 00:01:18.000]  譬如艾成
[00:01:18.000 --> 00:01:19.000]  耶利哥也是
[00:01:19.000 --> 00:01:23.000]  雖然圍繞城走過了之前的六天
[00:01:23.000 --> 00:01:25.000]  但第七天當一催浩的時候
[00:01:25.000 --> 00:01:26.000]  整個城塌下來
[00:01:26.000 --> 00:01:29.000]  他們已經可以去入侵裏面
[00:01:29.000 --> 00:01:32.000]  很多時候好像一天就搞定
[00:01:32.000 --> 00:01:33.000]  但有些時候
[00:01:33.000 --> 00:01:38.000]  有些戰役要用很長的時間慢慢磨
[00:01:38.000 --> 00:01:42.000]  達致提供我們一些戰略策略的方法
