
[00:00:00.000 --> 00:00:06.500]  我們要跟弟兄姊妹一同來看詩篇第三十篇
[00:00:06.500 --> 00:00:14.000]  題目是恩典一生之久
[00:00:14.000 --> 00:00:17.500]  這篇詩篇一共有十二節
[00:00:17.500 --> 00:00:23.500]  我們就一起來讀前面的一到五節
[00:00:23.500 --> 00:00:27.500]  我們來讀第一節到第五節
[00:00:27.500 --> 00:00:33.500]  詩篇第三十篇一節到五節
[00:00:33.500 --> 00:00:38.500]  請我們搬到以後我們同聲來讀
[00:00:38.500 --> 00:00:40.500]  一起來
[00:00:40.500 --> 00:00:43.500]  耶和華 我要聽從你
[00:00:43.500 --> 00:00:45.500]  因為你曾提拔我
[00:00:45.500 --> 00:00:48.500]  不教仇敵向我發怨
[00:00:48.500 --> 00:00:50.500]  耶和華 我的神啊
[00:00:50.500 --> 00:00:52.500]  我臣服求你
[00:00:52.500 --> 00:00:54.500]  你抑制了我
[00:00:54.500 --> 00:00:57.500]  耶和華 你曾把我靈魂
[00:00:57.500 --> 00:00:59.500]  從一天救上來
[00:00:59.500 --> 00:01:03.500]  使我成佛不至於下坑
[00:01:03.500 --> 00:01:05.500]  耶和華的聖靈啊
[00:01:05.500 --> 00:01:07.500]  你們要歌頌祂
[00:01:07.500 --> 00:01:10.500]  稱讚祂和紀念祂的聖名
[00:01:10.500 --> 00:01:12.500]  因為祂的怒氣
[00:01:12.500 --> 00:01:15.500]  擴散成了傳言之間
[00:01:15.500 --> 00:01:18.500]  祂的恩典乃是一生之久
[00:01:18.500 --> 00:01:24.500]  一生雖然有哭泣造成遍地歡呼
[00:01:24.500 --> 00:01:35.500]  這篇詩篇的作者是大衛
[00:01:35.500 --> 00:01:39.500]  題目就是大衛在獻殿的時候
[00:01:39.500 --> 00:01:42.500]  作者詩和
[00:01:42.500 --> 00:01:47.500]  這首是一首萌生憐憫
[00:01:47.500 --> 00:01:52.500]  把大衛從極大的災禍中間救出來的
[00:01:52.500 --> 00:01:56.500]  而有的感恩的詩歌
[00:01:56.500 --> 00:02:03.500]  這個題目上說的是大衛作者詩歌
[00:02:03.500 --> 00:02:06.500]  我們在詩篇裡頭常看到
[00:02:06.500 --> 00:02:08.500]  有一些詩的話的標題
[00:02:08.500 --> 00:02:11.500]  就有有的時候說大衛的詩
[00:02:11.500 --> 00:02:13.500]  或者是可拉厚伊的詩
[00:02:13.500 --> 00:02:16.500]  有的時候說訓慧詩
[00:02:16.500 --> 00:02:18.500]  有各樣的內容
[00:02:18.500 --> 00:02:21.500]  這地方特別的是叫做詩歌
[00:02:21.500 --> 00:02:25.500]  詩歌的意思就是
[00:02:25.500 --> 00:02:29.500]  唱詩的時候要配上樂曲的聲音
[00:02:29.500 --> 00:02:33.500]  又是詩又是歌
[00:02:33.500 --> 00:02:40.500]  這個詩歌的時機是在獻殿的時候
