
[00:00:00.000 --> 00:00:04.600]  很高興再一次在這個港台和大家見面
[00:00:04.600 --> 00:00:10.400]  大家都知道今期我的一個系列的講道
[00:00:10.400 --> 00:00:14.800]  就是耶穌基督所講的七個「我」時
[00:00:14.800 --> 00:00:18.000]  先後講了有四個
[00:00:18.000 --> 00:00:21.800]  就是耶穌說祂是生命的糧
[00:00:21.800 --> 00:00:24.200]  亦都是世界的缸
[00:00:24.200 --> 00:00:26.800]  亦都是羊的門
[00:00:26.800 --> 00:00:28.600]  亦都是好牧人
[00:00:28.600 --> 00:00:31.200]  今日我們所講的題目就是
[00:00:31.200 --> 00:00:35.200]  耶穌說我是道路、真理和生命
[00:00:35.200 --> 00:00:39.200]  相信這個話題大家都是聽過
[00:00:39.200 --> 00:00:41.200]  這節金句都懂得唸
[00:00:41.200 --> 00:00:44.200]  因為耶穌說如果不是藉著我
[00:00:44.200 --> 00:00:47.400]  這條道路、這個真理和這個生命
[00:00:47.400 --> 00:00:51.600]  是沒有人可以去到天父那裏
[00:00:51.600 --> 00:00:54.600]  此道行傳亦都很清楚告訴我們
[00:00:54.600 --> 00:00:58.800]  除他以外,除了耶穌基督之外,別無拯救
[00:00:58.800 --> 00:01:01.400]  所以這條路是很真實的
[00:01:01.400 --> 00:01:03.200]  亦都是很活潑的
[00:01:03.200 --> 00:01:06.600]  是真的充滿生命
[00:01:06.600 --> 00:01:08.000]  講到道路
[00:01:08.000 --> 00:01:10.600]  其實之前講到世界的缸
[00:01:10.600 --> 00:01:13.600]  和羊的門和好牧人
[00:01:13.600 --> 00:01:17.200]  已經講了很多關於耶穌這條道路
[00:01:17.200 --> 00:01:18.800]  而講到生命
[00:01:18.800 --> 00:01:21.800]  之後我將會講到耶穌是復活的主
[00:01:21.800 --> 00:01:26.000]  亦都會將會強調耶穌賜給我們新生命
[00:01:26.000 --> 00:01:31.200]  所以今日我反而會強調一個真理
[00:01:31.200 --> 00:01:34.800]  耶穌就是真理
[00:01:34.800 --> 00:01:37.200]  真理是甚麼呢?
[00:01:37.200 --> 00:01:41.800]  尤其是今日我們在網上的一個資訊世界
[00:01:41.800 --> 00:01:45.800]  一個虛擬世界,我們叫做Virtual World
[00:01:45.800 --> 00:01:50.400]  其實有時我們真的不知道甚麼是真、甚麼是假
[00:01:50.400 --> 00:01:53.400]  很多東西是分不清楚
[00:01:53.400 --> 00:01:55.000]  以前的人說那些是真的
[00:01:55.000 --> 00:01:57.000]  今日的人又說不是了
[00:01:57.000 --> 00:02:01.000]  阿革說是真的,阿悅說是假的
[00:02:01.000 --> 00:02:04.200]  誰說的才是對呢?
[00:02:04.200 --> 00:02:06.600]  我想起一首粵語的流行曲
