
[00:00:00.000 --> 00:00:03.520]  「有仇不報,被困之」
[00:00:03.520 --> 00:00:08.760]  原來以前中國其中一個美德就是報仇雪恨
[00:00:08.760 --> 00:00:10.760]  君子報仇十年未晚
[00:00:10.760 --> 00:00:16.240]  人家對你有仇你就要記住他
[00:00:16.240 --> 00:00:19.120]  你怎樣對我,我就怎樣對你
[00:00:19.120 --> 00:00:21.120]  四字成語
[00:00:21.120 --> 00:00:24.880]  以牙還牙
[00:00:24.880 --> 00:00:30.200]  第四是比較現代的口頭禪
[00:00:30.200 --> 00:00:31.200]  是什麼呢?
[00:00:31.200 --> 00:00:33.200]  「你好嘢,我」
[00:00:33.200 --> 00:00:36.000]  「我實會記住你」
[00:00:36.000 --> 00:00:40.120]  這個是現代的口頭禪
[00:00:40.120 --> 00:00:44.120]  會不會呀?弟兄姊妹
[00:00:44.120 --> 00:00:50.880]  人呢,我們真的記別人的好事都有
[00:00:50.880 --> 00:00:54.120]  不過總是別人有少少得罪了我們的事
[00:00:54.120 --> 00:00:58.120]  不要說記他多少世,我們不相信這些
[00:00:58.120 --> 00:01:03.120]  我們記他,一輩子記住他都會的
[00:01:03.120 --> 00:01:05.120]  有時別人得罪了我們少少的地方
[00:01:05.120 --> 00:01:07.120]  或者傷害了我們一些東西
[00:01:07.120 --> 00:01:11.120]  可能我們心裏會不舒服很久
[00:01:11.120 --> 00:01:14.120]  在十加七言裏面
[00:01:14.120 --> 00:01:17.120]  第一句
[00:01:17.120 --> 00:01:20.120]  我們一起再讀一次,預備,一二三
[00:01:20.120 --> 00:01:26.120]  父啊赦免他們,因為他們所作的,他們不曉得
[00:01:26.120 --> 00:01:28.120]  在最後的日子裏面
[00:01:28.120 --> 00:01:30.120]  耶穌基督掛在十加上面去說了
[00:01:30.120 --> 00:01:35.120]  聖經裏面分別在四個福音書記錄了七句的說話
[00:01:35.120 --> 00:01:37.120]  第一句就是
[00:01:37.120 --> 00:01:41.120]  父啊赦免他們,因為他們所作的,他們不曉得
[00:01:41.120 --> 00:01:43.120]  耶穌在臨終之前
[00:01:43.120 --> 00:01:45.120]  最傷心的時候
[00:01:45.120 --> 00:01:47.120]  他繼續去愛
[00:01:47.120 --> 00:01:52.120]  繼續去擁抱一班什麼人,不是對他好的人
[00:01:52.120 --> 00:01:53.120]  耶穌在臨死的時候
[00:01:53.120 --> 00:01:56.120]  仍然對一班之前背叛耶穌
[00:01:56.120 --> 00:01:59.120]  不喜歡耶穌,將耶穌釘在十字架的人
[00:01:59.120 --> 00:02:04.120]  耶穌都是這樣去愛他們,擁抱他們
[00:02:04.120 --> 00:02:06.120]  所以弟兄姊妹
[00:02:06.120 --> 00:02:09.120]  今天在我們的環境裏面
[00:02:09.120 --> 00:02:14.120]  可能我們覺得前面的路都有點難走
[00:02:14.120 --> 00:02:17.120]  但是比起神要走十字架的路
[00:02:17.120 --> 00:02:19.120]  真的差很遠
[00:02:19.120 --> 00:02:21.120]  所以今天我們求神去幫助我們
[00:02:21.120 --> 00:02:22.120]  透過這段經文
[00:02:22.120 --> 00:02:24.120]  我們如何面對我們現在
[00:02:24.120 --> 00:02:26.120]  可能我們生活上面面對的挑戰
[00:02:26.120 --> 00:02:27.120]  一些困難
[00:02:27.120 --> 00:02:31.120]  又或者我們正正受著很多不同的傷害
[00:02:31.120 --> 00:02:34.120]  心裏面有很多的不開心
[00:02:34.120 --> 00:02:35.120]  一些的怨憤
[00:02:35.120 --> 00:02:37.120]  我們如何去處理呢
[00:02:37.120 --> 00:02:39.120]  我們低頭去祈禱
[00:02:41.120 --> 00:02:46.120]  親愛的天父,求祢差派祢的聖靈
[00:02:46.120 --> 00:02:48.120]  光照我們
