
[00:00:00.000 --> 00:00:03.520]  我們一起低頭,在上帝的懷念面前,我們先做個祈禱
[00:00:03.520 --> 00:00:07.240]  天父感謝祢,因為由歲首到年終
[00:00:07.240 --> 00:00:11.480]  祢都在當中保佑、保守、看顧、賜福給我們
[00:00:11.480 --> 00:00:14.080]  以致我們今天能夠有著生命氣息的來到祢面前
[00:00:14.080 --> 00:00:17.320]  不單止一齊的去敬拜祢
[00:00:17.320 --> 00:00:20.120]  一齊的去將奉獻交給祢
[00:00:20.120 --> 00:00:24.440]  更加我們能夠一齊的有機會去領受上帝祢的說話
[00:00:24.440 --> 00:00:30.520]  主不單止求主祢幫助我們,祢的說話能夠幫我們明白主祢的真道
[00:00:30.520 --> 00:00:34.240]  並且能夠激勵我們怎樣行出祢的道
[00:00:34.240 --> 00:00:39.880]  讓我們能夠明白祈禱的意義,更加怎樣實踐祈禱的功課
[00:00:39.880 --> 00:00:44.800]  上帝我們禱告、交託,是奉耶穌祢的聖名,阿們
[00:00:44.800 --> 00:00:47.840]  我想問一下大家一些問題
[00:00:47.840 --> 00:00:53.040]  你舉舉就行了,我不會叫你上台說話的,不用怕
[00:00:53.040 --> 00:00:54.720]  那就做一些統計吧
[00:00:54.720 --> 00:00:56.880]  如果你是一個基督徒
[00:00:56.880 --> 00:01:00.240]  如果你是一個基督徒,你覺得祈禱
[00:01:00.240 --> 00:01:03.200]  你知道基督徒有很多事情的
[00:01:03.200 --> 00:01:08.000]  信主之前只是告訴你上天堂而已
[00:01:08.000 --> 00:01:10.520]  信主之後就有很多事情要做的
[00:01:10.520 --> 00:01:14.360]  又要做見證,又要受到奉獻,又要祈禱
[00:01:14.360 --> 00:01:18.800]  又要回團契小祖,又要敬拜
[00:01:18.800 --> 00:01:21.840]  那麼多事情裡面,哪個基督徒你覺得呢?
[00:01:21.840 --> 00:01:26.680]  祈禱在基督徒生命裡面是十分之重要的
[00:01:26.680 --> 00:01:28.520]  請舉手
[00:01:28.520 --> 00:01:30.080]  大部分都是,是不是?
[00:01:30.080 --> 00:01:31.400]  第二個問題
[00:01:31.400 --> 00:01:32.960]  我想問一下
[00:01:32.960 --> 00:01:36.640]  在座當中,如果你是基督徒,你曾經經歷過
[00:01:36.640 --> 00:01:38.240]  禱告蒙英雲
[00:01:38.240 --> 00:01:41.680]  就是說祈禱是蒙神回應你的
[00:01:41.680 --> 00:01:43.840]  經歷過的,請舉手
[00:01:43.840 --> 00:01:46.040]  又舉手了,是不是?
[00:01:46.040 --> 00:01:48.440]  大家都知道這些是引導性問題
[00:01:48.440 --> 00:01:51.880]  好了,我又再問一下
[00:01:51.880 --> 00:01:53.640]  有誰每天都祈禱的?
[00:01:53.640 --> 00:01:55.280]  請舉手,每天都祈禱
[00:01:55.280 --> 00:01:58.080]  已經少了一點了,請放下
[00:01:58.080 --> 00:02:00.400]  每天祈禱的頂子妹呢?
[00:02:00.400 --> 00:02:04.400]  有誰每天祈禱至少三次的?
[00:02:04.400 --> 00:02:05.920]  請舉手
[00:02:05.920 --> 00:02:07.800]  又少一點了,至少三次
[00:02:07.800 --> 00:02:11.920]  就是早餐、午餐、晚餐,是不是?
[00:02:11.920 --> 00:02:14.840]  就是飯前祈禱不是三次的次數,是不是?
[00:02:14.840 --> 00:02:19.760]  有誰祈禱每天加起來超過十分鐘的?
[00:02:19.760 --> 00:02:21.040]  請舉手
[00:02:21.040 --> 00:02:22.320]  超過十分鐘
[00:02:22.320 --> 00:02:24.280]  嘩,少這麼多
[00:02:24.280 --> 00:02:29.840]  我想問一下,有誰每天用你的手提電話
[00:02:29.840 --> 00:02:32.880]  text、whatsapp、facebook
[00:02:32.880 --> 00:02:35.360]  用你的手提電話加起來超過十分鐘的?
[00:02:35.360 --> 00:02:36.480]  請舉手
