
[00:00:00.000 --> 00:00:03.000]  聖經都是神所物是的
[00:00:03.000 --> 00:00:08.000]  於教訓督澤使人歸正教導人學義
[00:00:08.000 --> 00:00:10.000]  都是有益的
[00:00:10.000 --> 00:00:15.000]  教屬神的人得以完全預備行各樣的善事
[00:00:15.000 --> 00:00:19.000]  感謝主,今天我會透過聖經和大家分享一個題目
[00:00:19.000 --> 00:00:22.000]  心靜自然良
[00:00:22.000 --> 00:00:29.000]  我們每一個人都喜歡給良善和美好的一面給人看
[00:00:29.000 --> 00:00:32.000]  今天早上起床的時候
[00:00:32.000 --> 00:00:35.000]  你不會一起床就回來教會
[00:00:35.000 --> 00:00:38.000]  你會刷牙洗臉梳頭更衣
[00:00:38.000 --> 00:00:43.000]  然後盡量給一個好的面貌給人看,是不是?
[00:00:43.000 --> 00:00:45.000]  這是很自然的事
[00:00:45.000 --> 00:00:49.000]  給人看美好的一面是沒有問題的
[00:00:49.000 --> 00:00:54.000]  不過有時候我們時時掛念給人看美好的一面的時候
[00:00:54.000 --> 00:00:58.000]  自己內在真實的世界是怎樣?
[00:00:58.000 --> 00:01:02.000]  有時候反而隱藏起來
[00:01:02.000 --> 00:01:05.000]  聖經這裏那段經文說
[00:01:05.000 --> 00:01:07.000]  假冒為善的人
[00:01:07.000 --> 00:01:14.000]  現代中文聖經本譯他們是偽善的偽君子
[00:01:14.000 --> 00:01:20.000]  有人竟然在禱告這件那麼淑寧的事上做偽君子
[00:01:20.000 --> 00:01:22.000]  他們走去會堂
[00:01:22.000 --> 00:01:24.000]  走去十字路口
[00:01:24.000 --> 00:01:27.000]  在那裏禱告
[00:01:27.000 --> 00:01:33.000]  目的禱告就是登臺表演
[00:01:33.000 --> 00:01:38.000]  整個禱告只不過是表演一場
[00:01:38.000 --> 00:01:45.000]  禱告裏面的對象上帝並不是他所關注
[00:01:45.000 --> 00:01:48.000]  人有時候很可怕的地方
[00:01:48.000 --> 00:01:55.000]  就是在淑寧的事上去擁有私利
[00:01:55.000 --> 00:02:01.000]  我們每一個人如果是要探索自己內在世界的話
[00:02:01.000 --> 00:02:08.000]  我們發覺到我們內在世界經常都陷在戰爭裏面
[00:02:08.000 --> 00:02:12.000]  我們的心境並不是平靜如鏡
[00:02:12.000 --> 00:02:16.000]  我們很多時候都會惹起很多風暴
[00:02:16.000 --> 00:02:19.000]  但是內心怎樣
[00:02:19.000 --> 00:02:23.000]  就會影響到我們外在的表現
[00:02:23.000 --> 00:02:26.000]  內心不平靜
[00:02:26.000 --> 00:02:30.000]  人生就很難快樂和幸福
[00:02:30.000 --> 00:02:38.000]  禱告是一個叫好不叫座的一個淑寧的活動
[00:02:38.000 --> 00:02:41.000]  人人都說禱告很重要
[00:02:41.000 --> 00:02:46.000]  但事實上進入禱告的人卻是很少的
[00:02:46.000 --> 00:02:49.000]  為什麼會有這樣的情況呢?
[00:02:49.000 --> 00:02:53.000]  禱告意義的地方是因為只要你閉上雙眼
[00:02:53.000 --> 00:02:57.000]  甚至不閉上眼都可以禱告
[00:02:57.000 --> 00:02:59.000]  煮飯可以禱告
[00:02:59.000 --> 00:03:01.000]  逛街可以禱告
[00:03:01.000 --> 00:03:05.000]  隨時隨地都可以禱告
[00:03:05.000 --> 00:03:08.000]  禱告意義的地方就在這裏
[00:03:08.000 --> 00:03:12.000]  但禱告困難的地方在哪裏呢?
[00:03:12.000 --> 00:03:20.000]  聖經說要進入內室去見天父
