
[00:00:00.000 --> 00:00:01.600]  好,丁姐妹,早晨
[00:00:01.600 --> 00:00:09.400]  好,感恩可以再次在「窩福」跟大家一起學習神的話語
[00:00:09.400 --> 00:00:12.000]  我們最重要也是有一個謙卑的心去學習
[00:00:12.000 --> 00:00:13.400]  我們同心禱告
[00:00:13.400 --> 00:00:18.680]  親愛的主,我們來到你面前
[00:00:18.680 --> 00:00:22.720]  求你賜我們一個謙卑受教的心
[00:00:22.720 --> 00:00:24.440]  在你的真理面前
[00:00:24.440 --> 00:00:27.720]  我們去傳言的去信服
[00:00:27.720 --> 00:00:30.240]  我們願意能夠活出真道
[00:00:30.240 --> 00:00:32.960]  願意我們的生命討你喜悅
[00:00:32.960 --> 00:00:35.720]  今天你要提醒我們的
[00:00:35.720 --> 00:00:38.120]  求你放進我們心裡面
[00:00:38.120 --> 00:00:41.360]  我們仰望你奉耶穌基督的聖名
[00:00:41.360 --> 00:00:43.720]  阿們
[00:00:43.720 --> 00:00:46.160]  在幾年前,應該是五年前
[00:00:46.160 --> 00:00:49.440]  我想大部份的丁姐妹都知道
[00:00:49.440 --> 00:00:52.480]  我的左眼出了事
[00:00:52.480 --> 00:00:54.560]  視網膜脫落
[00:00:54.560 --> 00:01:01.040]  令到黃斑區的功能有點損傷
[00:01:01.040 --> 00:01:02.760]  現在我的左眼
[00:01:02.760 --> 00:01:04.960]  如果只看東西
[00:01:04.960 --> 00:01:07.200]  看一條直線是看不到的
[00:01:07.200 --> 00:01:09.680]  變成了曲線
[00:01:09.680 --> 00:01:15.080]  而且黃斑區是一個很感光的區域
[00:01:15.080 --> 00:01:18.800]  所以看不到很多顏色
[00:01:18.800 --> 00:01:20.320]  深色都變淺色
[00:01:20.320 --> 00:01:22.640]  有時候我看不到一盞燈
[00:01:22.640 --> 00:01:24.360]  其實那盞燈是開著的
[00:01:24.360 --> 00:01:25.760]  其實我以為它關掉了
[00:01:25.760 --> 00:01:26.800]  好像還沒開燈
[00:01:26.800 --> 00:01:28.840]  因為全都暗了
[00:01:28.840 --> 00:01:30.200]  這個對我來說
[00:01:30.200 --> 00:01:33.160]  每一次我用左眼
[00:01:33.160 --> 00:01:34.680]  這樣看
[00:01:34.680 --> 00:01:36.960]  看出來的影像都提醒我
[00:01:36.960 --> 00:01:40.120]  我的左眼出了事
[00:01:40.120 --> 00:01:44.160]  這是我身體的一個記號
[00:01:44.160 --> 00:01:46.360]  但這個記號每次提醒我
[00:01:46.360 --> 00:01:49.920]  其實是一個感恩的記號
[00:01:49.920 --> 00:01:51.440]  因為當我想起
[00:01:51.440 --> 00:01:53.880]  或者我感覺到
[00:01:53.880 --> 00:01:55.280]  我這隻眼有事
[00:01:55.280 --> 00:01:57.640]  但我現在還看到東西
[00:01:57.640 --> 00:01:59.360]  我還可以看書
[00:01:59.360 --> 00:02:01.440]  我還可以看聖經
[00:02:01.440 --> 00:02:04.720]  我想起我還可以說話
[00:02:04.720 --> 00:02:07.520]  我可以和別人一起分享聖經
[00:02:07.520 --> 00:02:09.560]  我可以唱試歌
[00:02:09.560 --> 00:02:10.920]  我還可以走路
[00:02:10.920 --> 00:02:13.040]  我可以做到事
[00:02:13.040 --> 00:02:14.040]  很感恩
[00:02:14.040 --> 00:02:17.120]  這是一個記號
[00:02:17.120 --> 00:02:19.040]  雖然身體是一個疤痕
[00:02:19.040 --> 00:02:20.760]  但都是一個標記
[00:02:20.760 --> 00:02:24.120]  讓我記得上帝在我的生命裡
[00:02:24.120 --> 00:02:25.480]  在我的身體裡
[00:02:25.480 --> 00:02:27.520]  在這些工作
[00:02:27.520 --> 00:02:29.160]  我猜我們人身上
[00:02:29.160 --> 00:02:31.560]  多少都有記號
[00:02:31.560 --> 00:02:33.160]  或者疤痕
[00:02:33.160 --> 00:02:35.120]  多數都有
[00:02:35.120 --> 00:02:36.840]  特別我們一段年紀之後
[00:02:36.840 --> 00:02:38.960]  肯定有些疤痕
[00:02:38.960 --> 00:02:40.960]  我不知道這些疤痕對你來說
[00:02:40.960 --> 00:02:43.560]  是一個什麼的標記
[00:02:43.560 --> 00:02:46.720]  上帝令你經歷一些事
[00:02:46.720 --> 00:02:47.920]  有這個疤痕
[00:02:47.920 --> 00:02:50.480]  是一個什麼的標記
[00:02:50.480 --> 00:02:55.240]  我相信我想我們最重要
[00:02:55.240 --> 00:02:56.680]  或者我們自己
[00:02:56.680 --> 00:02:57.720]  或者每一個信徒
[00:02:57.720 --> 00:02:59.760]  覺得最重要的疤痕
[00:02:59.760 --> 00:03:01.880]  應該都是在這裡
[00:03:01.880 --> 00:03:05.000]  就是耶穌基督手上的釘痕
[00:03:05.000 --> 00:03:07.400]  我相信應該都是
[00:03:07.400 --> 00:03:08.600]  接下來復活節
[00:03:08.600 --> 00:03:10.720]  我們都是紀念耶穌基督
[00:03:10.720 --> 00:03:13.200]  為我們去死
[00:03:13.200 --> 00:03:16.560]  你想想有沒有一個神會這樣
[00:03:16.560 --> 00:03:18.720]  我覺得很奇妙
[00:03:18.720 --> 00:03:20.080]  沒有一個宗教
[00:03:20.080 --> 00:03:21.600]  如果他那位真神
[00:03:21.600 --> 00:03:25.360]  竟然來到這個世界死了
