
[00:00:00.000 --> 00:00:07.000]  好,等姐妹早晨,我們在聆聽主的說話以先一起同心低頭禱告
[00:00:07.000 --> 00:00:16.000]  護神,多謝祢給我們回到祢寶貴的說話面前的學習
[00:00:16.000 --> 00:00:20.000]  求祢的聖靈給我們有五性
[00:00:20.000 --> 00:00:29.000]  不只是聽到,而是能夠在生命裡面栽種主祢的道理在其中
[00:00:30.000 --> 00:00:39.000]  並且藉著聖靈的引導,將所栽種的種子逐漸地在裡面成長起來
[00:00:39.000 --> 00:00:43.000]  求祢的帶領和幫助
[00:00:43.000 --> 00:00:50.000]  當我們在新天新地裡面再遇見面的時候
[00:00:50.000 --> 00:00:56.000]  不是面對一個陌生的世界,不是面對一個陌生的神
[00:00:57.000 --> 00:01:05.000]  而是面對一個可以早已認識的主,與祢在天國裡面一同永遠活著
[00:01:05.000 --> 00:01:11.000]  多謝祢給我們這段寶貴的時間,同心禱告,奉靠主耶穌的德性的名字
[00:01:11.000 --> 00:01:23.000]  很多人對於信耶穌的看法,其實都是帶著一種傳統宗教觀去相信的
[00:01:24.000 --> 00:01:33.000]  是信耶穌只不過是一種類同於得到一個護身符的信仰模式
[00:01:33.000 --> 00:01:38.000]  護身符的意思是什麼?就是有事的時候就可以用
[00:01:38.000 --> 00:01:45.000]  就好像以前大家有沒有看過一些武俠的電影
[00:01:45.000 --> 00:01:53.000]  通常武俠電影對於那些徒弟都會跟他說,你已經學師完成了
[00:01:54.000 --> 00:02:01.000]  現在要下山去闖蕩江湖,不只是在師父身邊
[00:02:01.000 --> 00:02:05.000]  師父就沒有辦法再跟你一起
[00:02:05.000 --> 00:02:09.000]  因此師父就賜你一道錦囊
[00:02:09.000 --> 00:02:13.000]  這道錦囊什麼時候用呢?不要隨便開
[00:02:13.000 --> 00:02:20.000]  是當你有搞不定,危急到一個地步,不開不行的時候
[00:02:21.000 --> 00:02:27.000]  你打開錦囊,你就能夠知道有什麼方法去面對
[00:02:27.000 --> 00:02:33.000]  笑話說,通常這些錦囊真的要打開的時候
[00:02:33.000 --> 00:02:38.000]  裡面師父只有一句說話,寫著「死定了」
[00:02:38.000 --> 00:02:44.000]  我們的上帝是這樣的,不過很多信徒都是這樣信耶穌的
[00:02:44.000 --> 00:02:50.000]  相信耶穌是一道護身符一樣
[00:02:51.000 --> 00:02:53.000]  不是的牧師,我們教會不是這樣的
[00:02:53.000 --> 00:02:56.000]  我們作為信徒是很清楚信主的
[00:02:56.000 --> 00:03:00.000]  不過是不是呢?只需要問一條問題就知道了
[00:03:00.000 --> 00:03:05.000]  你會不會經常留意到你自己去跟別人傳說這個上帝的時候
[00:03:05.000 --> 00:03:08.000]  你都一定不斷地重複又重複說
[00:03:08.000 --> 00:03:14.000]  我這個上帝是無所不能,全行的主,大能大力
[00:03:14.000 --> 00:03:18.000]  如果你在這樣的思想栽培之下,我不怪
[00:03:19.000 --> 00:03:21.000]  因為我在教會生活了三十多年
[00:03:21.000 --> 00:03:25.000]  我也發覺教會很喜歡傳揚這件事
[00:03:25.000 --> 00:03:29.000]  用上帝我們所相信的耶和華神
[00:03:29.000 --> 00:03:32.000]  是這個世界唯一最有能力的主
[00:03:32.000 --> 00:03:35.000]  有需要他一定幫你
[00:03:35.000 --> 00:03:38.000]  如果我們是用這種思想去傳導
[00:03:38.000 --> 00:03:41.000]  甚至連我們自己都是這樣相信的時候
[00:03:41.000 --> 00:03:44.000]  很自然你會走進去剛才我所說
[00:03:44.000 --> 00:03:47.000]  當上帝只不過是一個護身符一樣
[00:03:48.000 --> 00:03:50.000]  如果你不是認為祂最厲害那個
[00:03:50.000 --> 00:03:53.000]  那你有什麼作用呢?你相信祂
[00:03:53.000 --> 00:03:57.000]  你只是相信這個上帝在危急存亡的時候
[00:03:57.000 --> 00:03:59.000]  祂才發揮祂的功用
[00:03:59.000 --> 00:04:01.000]  簡單一點這麼說
[00:04:01.000 --> 00:04:04.000]  我們視上帝只不過是一個功能
[00:04:04.000 --> 00:04:08.000]  我沒有視上帝是一個我們的主
[00:04:08.000 --> 00:04:10.000]  上帝是我們的主
[00:04:10.000 --> 00:04:15.000]  和上帝只不過是一個拯救你離開患難的一個功能
[00:04:15.000 --> 00:04:17.000]  是兩回事
[00:04:18.000 --> 00:04:20.000]  今天實在太多信徒是用這種思想
[00:04:20.000 --> 00:04:23.000]  在教會裡面去生活
[00:04:23.000 --> 00:04:26.000]  你猜耶穌的十二個門徒
[00:04:26.000 --> 00:04:29.000]  會不會都可能是這樣的狀態呢?
[00:04:29.000 --> 00:04:34.000]  當一個人視上帝是祂的主的時候
[00:04:34.000 --> 00:04:39.000]  就很自然有一種叫做不離不棄的態度
[00:04:39.000 --> 00:04:41.000]  就好像一段婚姻一樣
[00:04:41.000 --> 00:04:44.000]  如果你視你的配偶為你真正的配偶
[00:04:45.000 --> 00:04:48.000]  他就算怎樣問題都好你都不會離開他
[00:04:48.000 --> 00:04:50.000]  怎樣危險都好你都會奮身去幫他
[00:04:50.000 --> 00:04:53.000]  所以曾經在過去我說過一堂道
[00:04:53.000 --> 00:04:59.000]  信耶穌的人是會全程投入在上帝這份關係裡面
[00:04:59.000 --> 00:05:02.000]  那怎樣全程投入呢?
[00:05:02.000 --> 00:05:05.000]  什麼時候全程投入呢?
[00:05:05.000 --> 00:05:08.000]  今天這段聖經很短而已
[00:05:08.000 --> 00:05:11.000]  不過帶來了的信息
[00:05:11.000 --> 00:05:13.000]  我給了一個標題給他
[00:05:14.000 --> 00:05:19.000]  信耶穌到了禮珍的時刻了
[00:05:19.000 --> 00:05:25.000]  禮珍的意思不只是風花樹來講而已
[00:05:25.000 --> 00:05:28.000]  是真的來了的了
[00:05:28.000 --> 00:05:31.000]  那你那時候怎樣面對呢?
[00:05:31.000 --> 00:05:33.000]  我們看看吧
[00:05:33.000 --> 00:05:36.000]  經文不是很長我們一起讀多一次好嗎?
[00:05:36.000 --> 00:05:38.000]  我們讀多一次和合本的版本
[00:05:38.000 --> 00:05:43.000]  然後我為大家讀出New English Translation的版本
[00:05:44.000 --> 00:05:46.000]  那我們熟悉一下吧很短而已
[00:05:46.000 --> 00:05:51.000]  好 萬太福音 第20章17至19節
[00:05:51.000 --> 00:05:55.000]  耶穌上耶路撒冷去的時候
[00:05:55.000 --> 00:05:59.000]  在路上把十二個門徒帶到一邊
[00:05:59.000 --> 00:06:04.000]  對他們說 看啊 我們上耶路撒冷去
[00:06:04.000 --> 00:06:08.000]  人只要被交給祭司長和民事
[00:06:08.000 --> 00:06:11.000]  他們要定他死罪
[00:06:12.000 --> 00:06:16.000]  由交給外邦人 將他氣弄 鞭打
[00:06:16.000 --> 00:06:21.000]  釘在十字架上 第三日他要復活
[00:06:21.000 --> 00:06:25.000]  As Jesus was going up to Jerusalem
[00:06:25.000 --> 00:06:30.000]  He took the twelve aside privately
[00:06:30.000 --> 00:06:32.000]  and said to them on the way
[00:06:32.000 --> 00:06:37.000]  Look! We are going up to Jerusalem
[00:06:38.000 --> 00:06:43.000]  and the son of man will be handed over to the chief priest
