
[00:00:00.000 --> 00:00:05.600]  感謝神下透過剛才詩班唱出這首很好的詩歌《I Believe》
[00:00:05.600 --> 00:00:10.300]  我們深信在黑夜裏面就算是一個很細小的蠟燭
[00:00:10.300 --> 00:00:14.200]  都可以發光而亮別人的心靈
[00:00:14.200 --> 00:00:17.400]  我們要深信一個人走迷失的路
[00:00:17.400 --> 00:00:21.800]  仍然相信有人可以將他帶回這個正路
[00:00:21.800 --> 00:00:25.000]  這些是甚麼人呢?其實這些就是你和我
[00:00:25.000 --> 00:00:26.700]  作為神的兒女
[00:00:26.700 --> 00:00:30.200]  我們在任何一個時代 任何一個環境
[00:00:30.200 --> 00:00:34.600]  我們都需要原諒別人 認識我們的主耶穌基督
[00:00:34.600 --> 00:00:37.100]  所以當我們聽到這首詩歌
[00:00:37.100 --> 00:00:43.000]  它在中段解釋我們仍然相信一個最微小的
[00:00:43.000 --> 00:00:46.300]  好像人聽不到的一個呼求
[00:00:46.300 --> 00:00:49.300]  向上主懇求的一個禱告
[00:00:49.300 --> 00:00:54.300]  只要你出自真心 誠意 向上帝樂意
[00:00:54.300 --> 00:00:56.300]  去親近我們每一個
[00:00:56.300 --> 00:00:59.900]  願意我們今天帶著這一份信心
[00:00:59.900 --> 00:01:04.500]  我們除掉我們一切的受煩或者重擔
[00:01:04.500 --> 00:01:07.300]  包括一切牽連我們的罪
[00:01:07.300 --> 00:01:09.700]  我們去到上主的施恩座前
[00:01:09.700 --> 00:01:13.100]  我們蒙恩慰 求憐恤得隨時的幫助
[00:01:13.100 --> 00:01:14.800]  我們一起先有個祈禱
[00:01:14.800 --> 00:01:18.300]  天父上帝當我們要聆聽你的說話之先
[00:01:18.300 --> 00:01:21.200]  讓你再一次預備我們眾人的心
[00:01:21.200 --> 00:01:24.500]  我們感謝主透過崇拜每一個環節
[00:01:24.500 --> 00:01:27.700]  都來激發我們要貼近祢
[00:01:27.700 --> 00:01:30.700]  因為唯有我們在基督耶穌裏面的時候
[00:01:30.700 --> 00:01:35.700]  我們才明白祢自己的心意就是何等的美善
[00:01:35.700 --> 00:01:39.700]  凡投靠祢的人是真正的蒙恩和蒙福
[00:01:39.700 --> 00:01:42.500]  願上主藉著今天的訊息
[00:01:42.500 --> 00:01:44.900]  叫講的聽的我們同感一靈
[00:01:44.900 --> 00:01:46.100]  同德造就
[00:01:46.100 --> 00:01:48.300]  同心祈禱 奉主明求
[00:01:48.300 --> 00:01:50.300]  阿們
[00:01:50.300 --> 00:01:53.500]  最近我看到一個資料
[00:01:53.500 --> 00:01:55.500]  我心裏很震撼
[00:01:55.500 --> 00:01:57.900]  這個資料告訴我們
[00:01:57.900 --> 00:02:03.900]  就是在2029年的時候
[00:02:03.900 --> 00:02:05.900]  4月13日
[00:02:05.900 --> 00:02:09.300]  你說好像很遙遠 還有一段時間
[00:02:09.300 --> 00:02:14.500]  他說有一個370公尺那麼闊的隕石
[00:02:14.500 --> 00:02:16.100]  已經定明了
[00:02:16.100 --> 00:02:19.900]  天文學家已經定明了這個隕石叫Apophis
[00:02:19.900 --> 00:02:24.700]  Apophis這個字其實就是埃及的一個死神的意思
[00:02:24.700 --> 00:02:33.100]  他說這個隕石將會在我們地球19000英里以外掠過
[00:02:33.100 --> 00:02:36.700]  嘩 你說這樣的新聞有什麼大件事呢
