
[00:00:00.000 --> 00:00:05.200]  我們說天堂的系列已經說了幾個訊息
[00:00:05.200 --> 00:00:08.700]  我們說了天堂究竟在那裡
[00:00:08.700 --> 00:00:11.400]  我們也說了新天新地
[00:00:11.400 --> 00:00:13.840]  天堂的樣貌會是怎樣
[00:00:13.840 --> 00:00:16.840]  今天要跟大家說的是一個城
[00:00:16.840 --> 00:00:18.680]  是天堂之城
[00:00:18.680 --> 00:00:22.040]  是新耶路撒冷城
[00:00:22.040 --> 00:00:27.800]  這個城和我們現在世上的城市都很相似
[00:00:27.800 --> 00:00:33.240]  我們知道我們世上最大的城市是東京市
[00:00:33.240 --> 00:00:36.280]  有3700萬人口
[00:00:36.280 --> 00:00:38.600]  這個已經是幾年前的數字
[00:00:38.600 --> 00:00:43.000]  所以現在可能已經去到3800萬 3900萬
[00:00:43.000 --> 00:00:46.400]  而第二大城市是印度的德里
[00:00:46.400 --> 00:00:48.400]  有3000萬人
[00:00:48.400 --> 00:00:51.360]  中國的上海才是排第三
[00:00:51.360 --> 00:00:54.640]  2600萬人口
[00:00:54.640 --> 00:00:58.480]  如果我們看整個面積的話
[00:00:58.480 --> 00:01:02.480]  最大的可能都是大東京地區
[00:01:02.480 --> 00:01:06.440]  一共有5200平方里
[00:01:06.440 --> 00:01:07.680]  是很大
[00:01:07.680 --> 00:01:10.840]  也有人說美國的紐約市很大
[00:01:10.840 --> 00:01:15.480]  我們如果說紐約市就要說大紐約市的地區
[00:01:15.480 --> 00:01:19.480]  包括紐約市 包括加拿大
[00:01:19.480 --> 00:01:23.720]  才去到4669平方里
[00:01:23.720 --> 00:01:27.160]  將來我們會見到新耶路撒冷城
[00:01:27.160 --> 00:01:30.360]  無論在人口 無論在面積
[00:01:30.360 --> 00:01:34.680]  都會大過所有這些城市
[00:01:34.680 --> 00:01:39.640]  耶穌基督在約翰福音14:1-3
[00:01:39.640 --> 00:01:42.480]  「你們心裡不要憂愁
[00:01:42.480 --> 00:01:45.440]  你們信神也當信我
[00:01:45.440 --> 00:01:48.840]  在我父的家裡有許多住處
[00:01:48.840 --> 00:01:52.760]  若是沒有我就早已告訴你們了
[00:01:52.760 --> 00:01:56.480]  我去完事為你們預備地方去
[00:01:56.480 --> 00:01:59.120]  我若去為你們預備了地方
[00:01:59.120 --> 00:02:02.440]  就必再來接你們到我那裡去
[00:02:02.440 --> 00:02:06.080]  我在那裡叫你們也在那裡」
[00:02:06.080 --> 00:02:10.920]  很明顯門徒是不明白耶穌基督所說的話
[00:02:10.920 --> 00:02:14.200]  當耶穌基督告訴門徒
[00:02:14.200 --> 00:02:16.960]  他自己是會受難受苦
[00:02:16.960 --> 00:02:19.160]  是會釘十字架
[00:02:19.160 --> 00:02:21.640]  被埋葬復活之後
[00:02:21.640 --> 00:02:25.040]  是會回到他父那裡
[00:02:25.040 --> 00:02:27.280]  相信門徒是很傷心
[00:02:27.280 --> 00:02:29.800]  但耶穌基督安慰他們說
[00:02:29.800 --> 00:02:32.600]  「我去為你們預備地方
[00:02:32.600 --> 00:02:35.200]  我還會來迎接你們」
[00:02:35.200 --> 00:02:36.760]  門徒不明白
[00:02:36.760 --> 00:02:39.880]  在約翰福音第十四章第五節
[00:02:39.880 --> 00:02:42.080]  多瑪和耶穌基督說
[00:02:42.080 --> 00:02:46.200]  「主啊 我們不知道祢往那裡去
[00:02:46.200 --> 00:02:49.200]  怎樣知道那條路呢?」
[00:02:49.200 --> 00:02:50.880]  他們以為耶穌基督說
[00:02:50.880 --> 00:02:52.280]  「我現在離開了
[00:02:52.280 --> 00:02:54.600]  你們將來要來找我」
[00:02:54.600 --> 00:02:57.880]  多瑪說「我也不知道這條路怎樣來找你」
[00:02:57.880 --> 00:02:59.760]  原來耶穌基督說
[00:02:59.760 --> 00:03:02.640]  祂在天堂預備了地方
[00:03:02.640 --> 00:03:05.480]  祂是會回來迎接我們
[00:03:05.480 --> 00:03:08.280]  這番話是耶穌基督和門徒說的
[00:03:08.280 --> 00:03:11.000]  但也是和我們說的
[00:03:11.000 --> 00:03:14.000]  這個天堂其中一個地方
[00:03:14.000 --> 00:03:16.400]  就是新耶路撒冷城
[00:03:16.400 --> 00:03:19.760]  是一個實實在在的地方
[00:03:19.760 --> 00:03:24.480]  其實聖經裡有說到三個耶路撒冷城
[00:03:24.480 --> 00:03:27.720]  我們最熟悉的就是大衛之城
[00:03:27.720 --> 00:03:31.920]  我們知道大衛趕出了耶布斯人
[00:03:31.920 --> 00:03:34.640]  他征服了耶路撒冷城
[00:03:34.640 --> 00:03:36.960]  叫它做大衛之城
[00:03:36.960 --> 00:03:40.880]  這個大衛之城在新約舊約都有提及
[00:03:40.880 --> 00:03:42.800]  是我們最熟悉的
[00:03:42.800 --> 00:03:44.800]  第二個耶路撒冷城
[00:03:44.800 --> 00:03:47.000]  是在千禧年的國度
[00:03:47.000 --> 00:03:49.680]  將會有一個耶路撒冷城
[00:03:49.680 --> 00:03:55.080]  在以西傑書的四十章和四十八章
[00:03:55.080 --> 00:03:57.920]  都有提及這個城
[00:03:57.920 --> 00:03:59.920]  而我們今天所要說的
[00:03:59.920 --> 00:04:03.320]  就是在啟示錄二十一章和二十二章
[00:04:03.320 --> 00:04:07.520]  所說的天堂之城新耶路撒冷
[00:04:07.520 --> 00:04:10.520]  在啟示錄的二十一、二十二章
[00:04:10.520 --> 00:04:14.720]  十一次提到「城」這個字
[00:04:14.720 --> 00:04:17.320]  我們將來會有榮耀的身體
[00:04:17.320 --> 00:04:21.080]  會永遠地與神住在天堂
[00:04:21.080 --> 00:04:24.840]  其中一個城就是新耶路撒冷城
[00:04:24.840 --> 00:04:27.200]  早在亞伯拉罕的時候
[00:04:27.200 --> 00:04:31.320]  他就在等待一座有根基的城
[00:04:31.320 --> 00:04:32.840]  等一會兒我們就會見到
[00:04:32.840 --> 00:04:35.560]  這座城真是有根有基
[00:04:35.560 --> 00:04:38.160]  這座城是神所經營
[00:04:38.160 --> 00:04:39.960]  是神所創造的
[00:04:39.960 --> 00:04:44.040]  希伯來書十一章第十節告訴我們
[00:04:44.040 --> 00:04:49.360]  希伯來書的作者亦都在希伯來書十二章二十二節
[00:04:49.360 --> 00:04:51.840]  比較兩座山
[00:04:51.840 --> 00:04:53.280]  哪兩座山?
[00:04:53.280 --> 00:04:55.440]  第一座是西乃山
[00:04:55.440 --> 00:04:59.960]  昔日神就在西乃山頒律法給摩西
[00:04:59.960 --> 00:05:03.000]  頒律法的時候有雷軍閃電
[00:05:03.000 --> 00:05:05.200]  令人膽戰心驚
[00:05:05.200 --> 00:05:09.000]  所頒的律法亦都是沒有人能夠守得到
[00:05:09.000 --> 00:05:11.880]  但是將來在石安山的上高
[00:05:11.880 --> 00:05:14.120]  將會有新耶路撒冷城
[00:05:14.120 --> 00:05:17.120]  是充滿了神的恩典
[00:05:17.120 --> 00:05:19.160]  每一個接受耶穌基督的人
[00:05:19.160 --> 00:05:23.080]  都能夠永遠地在這座城裏
