
[00:00:00.000 --> 00:00:02.240]  有一張PowerPoint提醒我一件事
[00:00:02.240 --> 00:00:04.240]  關於教和學的
[00:00:04.240 --> 00:00:08.240]  很久以前 我都不知道很久到何時了
[00:00:08.240 --> 00:00:10.240]  有一個叫做萬母
[00:00:10.240 --> 00:00:11.240]  知不知道
[00:00:11.240 --> 00:00:13.240]  萬子的媽叫萬母
[00:00:13.240 --> 00:00:15.240]  萬母有一個故事很出名的
[00:00:15.240 --> 00:00:17.240]  其實三字經叫做
[00:00:17.240 --> 00:00:18.740]  「識萬母」
[00:00:18.740 --> 00:00:20.740]  甚麼千這樣
[00:00:20.740 --> 00:00:22.040]  就告訴我們
[00:00:22.040 --> 00:00:24.040]  萬母有個兒子叫做甚麼
[00:00:24.040 --> 00:00:25.540]  (萬母的兒子叫萬子)
[00:00:25.540 --> 00:00:26.740]  當然啦 是不是
[00:00:26.740 --> 00:00:29.240]  萬母的兒子叫做萬子
[00:00:29.240 --> 00:00:33.240]  她很小的時候就和我們所有的少年一樣
[00:00:33.240 --> 00:00:34.240]  都很好學的
[00:00:34.240 --> 00:00:36.240]  看到甚麼就學到甚麼
[00:00:36.240 --> 00:00:38.240]  我最近見到一個
[00:00:38.240 --> 00:00:40.240]  我們不知道是一次開會
[00:00:40.240 --> 00:00:41.740]  她就說她兒子很打機
[00:00:41.740 --> 00:00:43.740]  求主幫助他不要打機
[00:00:43.740 --> 00:00:45.240]  我是這樣祈禱
[00:00:45.240 --> 00:00:47.240]  教會有甚麼幫助這個小朋友
[00:00:47.240 --> 00:00:49.240]  不打機之餘做些甚麼呢
[00:00:49.240 --> 00:00:50.740]  有沒有打球呀
[00:00:50.740 --> 00:00:52.240]  有沒有給他一些遊戲
[00:00:52.240 --> 00:00:54.240]  有沒有和他一起玩露營呀
[00:00:54.240 --> 00:00:55.740]  不可以的嘛
[00:00:55.740 --> 00:00:57.740]  拿了一樣東西要給他一樣東西
[00:00:57.740 --> 00:00:58.740]  所以萬母很厲害
[00:00:58.740 --> 00:01:00.740]  當她兒子第一次住的時候
[00:01:00.740 --> 00:01:03.740]  在殯儀的旁邊
[00:01:03.740 --> 00:01:05.240]  所以萬子就學甚麼呀
[00:01:05.240 --> 00:01:07.240]  嘀嘀嗒嗒 啪啪啪啪
[00:01:07.240 --> 00:01:08.740]  找些東西去撞他
[00:01:08.740 --> 00:01:09.740]  她媽媽就想
[00:01:09.740 --> 00:01:12.240]  這樣搞法我兒子以後就做殯儀了
[00:01:12.240 --> 00:01:13.740]  她不想她兒子這樣做
[00:01:13.740 --> 00:01:14.740]  接著怎樣呀
[00:01:14.740 --> 00:01:15.740]  搬去市場
[00:01:15.740 --> 00:01:16.740]  接著搬去市場
[00:01:16.740 --> 00:01:18.240]  萬子又怎樣呀
[00:01:18.240 --> 00:01:19.740]  就學買賣了
[00:01:19.740 --> 00:01:21.740]  一斤多少錢 怎樣怎樣
[00:01:21.740 --> 00:01:22.740]  很開心
[00:01:22.740 --> 00:01:24.240]  她很開心 萬子
[00:01:24.240 --> 00:01:25.240]  不過萬母很憂傷
[00:01:25.240 --> 00:01:26.740]  最後萬母再搬
[00:01:26.740 --> 00:01:28.740]  搬去一個地方就是甚麼呀
[00:01:28.740 --> 00:01:29.740]  學校
[00:01:29.740 --> 00:01:30.740]  見到兒子回來寫字呀
[00:01:30.740 --> 00:01:31.740]  學讀書
[00:01:31.740 --> 00:01:34.740]  她覺得這個就是我想要的
[00:01:34.740 --> 00:01:35.740]  這個故事
[00:01:35.740 --> 00:01:37.740]  這個中國的典型
[00:01:37.740 --> 00:01:38.740]  其實
[00:01:38.740 --> 00:01:39.740]  回到聖經
[00:01:39.740 --> 00:01:40.740]  回到我們的生命
[00:01:40.740 --> 00:01:41.740]  都很相似
[00:01:41.740 --> 00:01:44.740]  同樣上帝親自
[00:01:44.740 --> 00:01:45.740]  帶領
[00:01:45.740 --> 00:01:47.740]  就好像萬母那樣
[00:01:47.740 --> 00:01:48.740]  去那班子民
[00:01:48.740 --> 00:01:49.740]  用甚麼呢
[00:01:49.740 --> 00:01:50.740]  漠世誤敬
[00:01:50.740 --> 00:01:52.740]  用各國的先知
[00:01:52.740 --> 00:01:53.740]  甚至我們詩篇
[00:01:53.740 --> 00:01:55.740]  所謂詩歌的智慧書
[00:01:55.740 --> 00:01:56.740]  做一件事
[00:01:56.740 --> 00:01:57.740]  告訴鄰居
[00:01:57.740 --> 00:02:00.740]  去建立神大能的子民
[00:02:00.740 --> 00:02:03.740]  去建立神的大能子民
