
[00:00:00.000 --> 00:00:02.000]  電影節目業主 耐平安
[00:00:02.000 --> 00:00:05.380]  我相信大家在座的
[00:00:05.380 --> 00:00:08.980]  有很多都是持有特區護照的 是不是
[00:00:08.980 --> 00:00:12.420]  你不需要去舉手 這個是私隱來的
[00:00:12.420 --> 00:00:15.680]  不過呢 你對於特區護照呢
[00:00:15.680 --> 00:00:18.720]  有很多種防偽的功能 你知不知道呢
[00:00:18.720 --> 00:00:20.720]  我想沒什麼人知道的
[00:00:20.720 --> 00:00:24.260]  我特別拍了一條短片 我們看看有什麼防偽功能 好不好
[00:00:30.000 --> 00:00:39.840]  (音樂)
[00:00:39.840 --> 00:00:43.640]  第一個防偽功能呢 就是你揭開那個蓆的時候呢
[00:00:43.640 --> 00:00:45.640]  一邊呢 你翻開它呢
[00:00:45.640 --> 00:00:48.180]  那裡就成了一個HK的字
[00:00:48.180 --> 00:00:51.880]  但當你反過來的時候呢 就變成了香港的字
[00:00:51.880 --> 00:00:55.480]  有沒有留意過 看你的樣子都是沒有了
[00:00:55.480 --> 00:00:57.480]  看看第二樣了
[00:00:57.480 --> 00:01:06.600]  (音樂)
[00:01:06.600 --> 00:01:08.940]  第二樣呢 就是用你的英文名呢
[00:01:08.940 --> 00:01:12.260]  去拼湊出呢 這個人的樣子來的
[00:01:12.260 --> 00:01:15.160]  大家從 你冰雪聰明一定會知道
[00:01:15.160 --> 00:01:18.240]  這個帽子的樣子 一定不是陳牧師了 是不是
[00:01:18.240 --> 00:01:21.200]  第三樣 我們看看那個防偽功能
[00:01:21.200 --> 00:01:29.900]  (音樂)
[00:01:29.900 --> 00:01:32.200]  每一頁都有一個中華的華字
[00:01:32.200 --> 00:01:35.580]  但每一頁的華字都是用不同的字體來寫出來的
[00:01:35.580 --> 00:01:38.380]  然後當你揭開的時候 那個對頁呢
[00:01:38.380 --> 00:01:43.360]  那朵花呢 是拼湊得呢 是天衣無縫的
[00:01:43.360 --> 00:01:46.700]  這個呢 就是特區護照呢 其中幾樣呢
[00:01:46.700 --> 00:01:49.780]  很重要的防偽功能
[00:01:49.780 --> 00:01:51.560]  為甚麼要有防偽功能呢
[00:01:51.560 --> 00:01:55.600]  防偽功能就是保障呢 當你拿著這個護照
