
[00:00:00.000 --> 00:00:05.240]  《生命說書》的網絡又跟大家一起看《聖經》的人與故事
[00:00:05.240 --> 00:00:08.360]  認識背後不停地工作
[00:00:08.360 --> 00:00:11.200]  在這裡是掌管著上帝
[00:00:11.200 --> 00:00:13.320]  今次講另一個人的故事
[00:00:13.320 --> 00:00:15.640]  從水裡拉上來
[00:00:15.640 --> 00:00:18.240]  從水裡拉上來即是誰呢?
[00:00:18.240 --> 00:00:20.440]  從水裡拉上來
[00:00:20.440 --> 00:00:21.800]  摩世
[00:00:21.800 --> 00:00:22.920]  我們來看看
[00:00:22.920 --> 00:00:26.080]  《昌合記》第二章第一節
[00:00:26.080 --> 00:00:30.680]  有一個利未家的人娶了一個利未女子為妻
[00:00:30.680 --> 00:00:33.880]  即是利未人生的利未人
[00:00:33.880 --> 00:00:35.280]  如果她生兒子的話
[00:00:35.280 --> 00:00:38.680]  那女人懷孕生一個兒子
[00:00:38.680 --> 00:00:42.400]  見她盡美就藏了她三個月
[00:00:42.400 --> 00:00:47.120]  後來不能再藏就娶了一個蒲草箱
[00:00:47.120 --> 00:00:50.120]  抹上石漆和石油
[00:00:50.120 --> 00:00:52.880]  將孩子放在裡頭
[00:00:52.880 --> 00:00:56.960]  把箱子擱在河邊的蘆笛中
[00:00:56.960 --> 00:00:59.280]  看看這三節
[00:00:59.280 --> 00:01:05.000]  有一個純種的利未家的嬰兒出生
[00:01:05.000 --> 00:01:11.600]  出生後發現孩子很靚仔
[00:01:11.600 --> 00:01:14.280]  多數嬰兒出生都靚仔
[00:01:14.280 --> 00:01:16.000]  其實這裡是在說
[00:01:16.000 --> 00:01:19.320]  見到她很疼她
[00:01:19.320 --> 00:01:22.120]  就藏了她三個月
[00:01:22.120 --> 00:01:24.680]  特別留意的是藏了
[00:01:24.680 --> 00:01:25.960]  藏起來
[00:01:25.960 --> 00:01:28.640]  不是擺白日宴
[00:01:28.640 --> 00:01:32.280]  不是拿出來大家見下滿月酒嗎?
[00:01:32.280 --> 00:01:33.200]  不是
[00:01:33.200 --> 00:01:35.840]  藏了三個月
[00:01:35.840 --> 00:01:38.640]  主要原因就是當時
[00:01:38.640 --> 00:01:43.480]  在《昌合記》第一章一開始
[00:01:43.480 --> 00:01:48.280]  《創世紀》最尾是約瑟做宰相
[00:01:48.280 --> 00:01:51.840]  到《昌合記》第一章就不是了
[00:01:51.840 --> 00:01:56.640]  是有不認識約瑟的新王起來
[00:01:56.640 --> 00:02:00.280]  就是說舊的政權被推翻了
[00:02:00.280 --> 00:02:07.400]  新的埃及有另一族人上來做埃及的皇帝
[00:02:07.400 --> 00:02:11.000]  他們是不認識約瑟的
