
[00:00:00.000 --> 00:00:02.000]  讓我們一同聽道以先了
[00:00:02.000 --> 00:00:04.000]  讓我們一同以禱告
[00:00:04.000 --> 00:00:05.000]  預備我們心思意念
[00:00:05.000 --> 00:00:07.000]  一同將主的道理
[00:00:07.000 --> 00:00:09.000]  不單止是聽進去
[00:00:09.000 --> 00:00:11.000]  並且是成為我們生命的一部分
[00:00:11.000 --> 00:00:13.000]  我們同心禱告
[00:00:13.000 --> 00:00:14.000]  真是主多謝你
[00:00:14.000 --> 00:00:16.000]  讓我們能夠再次回到
[00:00:16.000 --> 00:00:18.000]  在祢的說話的面前
[00:00:18.000 --> 00:00:19.000]  同心去學習
[00:00:19.000 --> 00:00:21.000]  再次透過祢的說話
[00:00:21.000 --> 00:00:23.000]  鼓動我們每一個
[00:00:23.000 --> 00:00:25.000]  能夠追隨主道的心智
[00:00:25.000 --> 00:00:27.000]  讓我們能夠真是在
[00:00:27.000 --> 00:00:29.000]  以下下來的時間
[00:00:29.000 --> 00:00:31.000]  所聽進的道理
[00:00:31.000 --> 00:00:33.000]  不只是一堆的言語
[00:00:33.000 --> 00:00:35.000]  而是真真正正成為我們
[00:00:35.000 --> 00:00:37.000]  生命的一部分
[00:00:37.000 --> 00:00:39.000]  是神理的教訓
[00:00:39.000 --> 00:00:41.000]  藏於我們的心裡面
[00:00:41.000 --> 00:00:43.000]  並且活在我們每一天的生活當中
[00:00:43.000 --> 00:00:45.000]  求祢與我們同在
[00:00:45.000 --> 00:00:46.000]  無論聽的說的
[00:00:46.000 --> 00:00:48.000]  都在主祢的恩典之下
[00:00:48.000 --> 00:00:50.000]  能夠蒙更大的恩典
[00:00:50.000 --> 00:00:52.000]  我們誠心所願
[00:00:52.000 --> 00:00:56.000]  今天和大家分享的經文
[00:00:56.000 --> 00:00:59.000]  是在《創世紀》的第45章題目
[00:00:59.000 --> 00:01:01.000]  叫做「心有千千結」
[00:01:01.000 --> 00:01:03.000]  還是「滿心感恩」
[00:01:03.000 --> 00:01:06.000]  當我收到田牧師
[00:01:06.000 --> 00:01:08.000]  發電郵來邀請我
[00:01:08.000 --> 00:01:10.000]  來講這個主日的時候
[00:01:10.000 --> 00:01:12.000]  他就說這個主日
[00:01:12.000 --> 00:01:14.000]  是一個對長者的
[00:01:14.000 --> 00:01:16.000]  一個的
[00:01:16.000 --> 00:01:17.000]  appreciation
[00:01:17.000 --> 00:01:18.000]  一個的
[00:01:18.000 --> 00:01:20.000]  感恩的日子
[00:01:20.000 --> 00:01:22.000]  希望我透過在神的說話上
[00:01:22.000 --> 00:01:24.000]  去和大家分享
[00:01:24.000 --> 00:01:26.000]  我就想了很久
[00:01:26.000 --> 00:01:28.000]  究竟這個題目
[00:01:28.000 --> 00:01:30.000]  在聖經裡面
[00:01:30.000 --> 00:01:33.000]  在哪裡是一個最好的教導呢?
[00:01:33.000 --> 00:01:34.000]  很多時候
[00:01:34.000 --> 00:01:36.000]  這些主日的題目
[00:01:36.000 --> 00:01:38.000]  如果只是
[00:01:38.000 --> 00:01:39.000]  唱
[00:01:39.000 --> 00:01:40.000]  叫弟兄姊妹
[00:01:40.000 --> 00:01:42.000]  特別是年輕的那些
[00:01:42.000 --> 00:01:44.000]  台下很多都很年輕的那些
[00:01:44.000 --> 00:01:46.000]  去對長者
[00:01:46.000 --> 00:01:48.000]  要多一些的欣賞
[00:01:48.000 --> 00:01:49.000]  多一些的敬重
[00:01:49.000 --> 00:01:50.000]  我覺得
[00:01:50.000 --> 00:01:51.000]  這個沒錯
[00:01:51.000 --> 00:01:52.000]  其中一個方面
[00:01:52.000 --> 00:01:53.000]  我都會和大家分享
[00:01:53.000 --> 00:01:55.000]  在我們還沒講這一部分之前
[00:01:55.000 --> 00:01:57.000]  我先想和大家去
[00:01:57.000 --> 00:01:58.000]  去看一下
