
[00:00:00.000 --> 00:00:03.600]  你們姐妹早 平安
[00:00:03.600 --> 00:00:07.040]  神就帶了幾個年輕人來到我們教會
[00:00:07.040 --> 00:00:11.840]  那教會就很快的就成立了青少年小組
[00:00:11.840 --> 00:00:13.480]  那這個青年小組呢
[00:00:13.480 --> 00:00:16.440]  他們就是利用每個禮拜五下午
[00:00:16.440 --> 00:00:19.960]  從五點到八點之間 孩子們就過來
[00:00:19.960 --> 00:00:22.200]  那過來之後呢 他們就吃飯
[00:00:22.200 --> 00:00:28.480]  吃完飯之後呢 他們就會有一些簡短神話語的時間
[00:00:28.480 --> 00:00:32.320]  那非常感謝主在這段時間裡面
[00:00:32.320 --> 00:00:36.520]  有一個美國的弟兄 叫白榮吉Robert
[00:00:36.520 --> 00:00:40.200]  那Robert呢 就來幫助我們
[00:00:40.200 --> 00:00:42.120]  那他非常有趣
[00:00:42.120 --> 00:00:43.840]  他第一次來的時候呢
[00:00:43.840 --> 00:00:49.360]  他就買了一大堆的玩具來給小朋友
[00:00:49.360 --> 00:00:54.000]  而且他也非常的熱誠的來服侍這群孩子
[00:00:54.000 --> 00:00:59.560]  所以就在這個期間呢 我本來就想說
[00:00:59.560 --> 00:01:04.280]  哎呀 這群孩子們來 只要吃吃喝喝就好了啦
[00:01:04.280 --> 00:01:08.280]  但是神就忽然間拆派了一個姐妹
[00:01:08.280 --> 00:01:11.240]  她這個姐妹呢 也沒有什麼無緣無故的
[00:01:11.240 --> 00:01:12.920]  她就給我打電話
[00:01:12.920 --> 00:01:15.480]  那打電話的時候 她就主動告訴我說
[00:01:15.480 --> 00:01:18.960]  她說她最近也在服侍一群年輕人
[00:01:18.960 --> 00:01:22.720]  而且這群年輕人呢 都快要受洗了
[00:01:22.720 --> 00:01:25.320]  那我的靈敏 就很靈敏的就趕快問她
[00:01:25.320 --> 00:01:27.560]  我說 那你是怎麼帶的
[00:01:27.560 --> 00:01:30.480]  那她就告訴我 她說
[00:01:30.480 --> 00:01:32.480]  我們就是 也是吃飯啊
[00:01:32.480 --> 00:01:35.280]  然後吃完飯以後 我們就叫孩子們讀經啊
[00:01:35.280 --> 00:01:37.880]  讀完經以後 我就一個一個的問說
[00:01:37.880 --> 00:01:42.560]  那你對這段經文中 最受感動的是哪一句
[00:01:42.560 --> 00:01:44.800]  她說就是這樣子 沒有多久
[00:01:44.800 --> 00:01:48.160]  這群孩子們就一個一個都絕痔了
[00:01:48.160 --> 00:01:50.560]  而且很快就要受洗了
[00:01:50.560 --> 00:01:52.800]  那我聽到這些話的時候 我其實
[00:01:52.800 --> 00:01:54.440]  我心裡面非常的感動
[00:01:54.440 --> 00:01:58.480]  因為我覺得這個是 神的工作
[00:01:58.480 --> 00:01:59.920]  這是神的工作 而且
[00:01:59.920 --> 00:02:02.120]  我也看到這群孩子的潛力
[00:02:02.120 --> 00:02:04.320]  這群孩子是有潛力的
[00:02:04.320 --> 00:02:06.320]  那
[00:02:06.320 --> 00:02:08.600]  所以我就提醒自己 一定要有信心
[00:02:08.600 --> 00:02:10.920]  做這個神工作 一定要有信心
[00:02:10.920 --> 00:02:14.240]  那最近呢 我們成年人在讀
[00:02:14.240 --> 00:02:15.880]  正好也在讀 路加福音
[00:02:15.880 --> 00:02:18.160]  大家的 每一個小組都在讀 路加福音
[00:02:18.160 --> 00:02:21.920]  那有一段呢 就讀到說 耶穌呢
[00:02:21.920 --> 00:02:25.000]  被聖靈引到曠野
[00:02:25.000 --> 00:02:28.280]  那就有魔鬼來試探他
[00:02:28.280 --> 00:02:32.560]  當下 我自己就做了一個 很大膽的嘗試
[00:02:32.560 --> 00:02:35.560]  就說
[00:02:35.560 --> 00:02:40.320]  讓這一群 根本就還不是 很認識主的孩子
[00:02:40.320 --> 00:02:43.680]  先來看看 撒旦的作為
[00:02:43.680 --> 00:02:45.360]  那
[00:02:45.360 --> 00:02:47.080]  所以呢 我就照著講義
[00:02:47.080 --> 00:02:50.520]  就開始 跟爭取孩子們 談一談
[00:02:50.520 --> 00:02:54.520]  就說 魔鬼有什麼不同的稱號
[00:02:54.520 --> 00:02:58.000]  當然我們都知道 魔鬼又叫做撒旦
[00:02:58.000 --> 00:03:00.440]  啟示錄十二章第九節裡面說到
[00:03:00.440 --> 00:03:03.840]  魔鬼是 魔鬼撒旦是試探人的
[00:03:03.840 --> 00:03:06.520]  剛才小遠做見證的時候 也說了
[00:03:06.520 --> 00:03:09.080]  有時候撒旦用各種不同的方法
[00:03:09.080 --> 00:03:12.160]  來試探我們 來迷惑天下
[00:03:12.160 --> 00:03:14.800]  他是迷惑天下的
[00:03:14.800 --> 00:03:17.120]  好像 對的事情
[00:03:17.120 --> 00:03:20.680]  其實裡面 這是撒旦最厲害的事情
[00:03:20.680 --> 00:03:23.240]  他讓你看到 好像是對的
[00:03:23.240 --> 00:03:25.880]  好像是好的 是愛你的
[00:03:25.880 --> 00:03:30.760]  那耶穌形容魔鬼 是喜歡按著私欲行事的
[00:03:30.760 --> 00:03:34.040]  那魔鬼從起初 就是殺人的兇手
[00:03:34.040 --> 00:03:35.080]  不守真理
[00:03:35.080 --> 00:03:38.560]  因為在他的心裡面 沒有真理
[00:03:38.560 --> 00:03:40.840]  那他本來就是撒謊的
[00:03:40.840 --> 00:03:43.080]  而且是撒謊之人的父
[00:03:43.080 --> 00:03:46.280]  在馬太福音十二章二十節裡面也講到說
[00:03:46.280 --> 00:03:48.880]  魔鬼還有另外一個名字叫別西普
[00:03:48.880 --> 00:03:51.480]  那他們呢 是世界的王
[00:03:51.480 --> 00:03:53.280]  也是世界的神
[00:03:53.280 --> 00:03:57.000]  魔鬼撒旦是管轄黑暗世界的
[00:03:57.000 --> 00:04:00.120]  而且是天空中的邪靈
[00:04:00.120 --> 00:04:03.920]  那彼得前書五章八節也跟我們講到說
[00:04:03.920 --> 00:04:06.360]  要謹守 謹行
[00:04:06.360 --> 00:04:08.840]  因為魔鬼 因為你的仇敵魔鬼
[00:04:08.840 --> 00:04:12.040]  如吼叫的獅子 遍地遊行
[00:04:12.040 --> 00:04:14.720]  要尋找可吞吃的人
[00:04:14.720 --> 00:04:17.120]  那這個月 就是六月六號呢
[00:04:17.120 --> 00:04:18.640]  為兒女禱告
[00:04:18.640 --> 00:04:20.440]  那個禱告文裡面也是這麼說的
[00:04:20.440 --> 00:04:23.480]  他說求天父幫助我們的孩子
[00:04:23.480 --> 00:04:25.160]  從小就明白
[00:04:25.160 --> 00:04:30.080]  我們是同時處在兩個不同的世界
[00:04:30.080 --> 00:04:32.240]  我們一個是處在地上的
[00:04:32.240 --> 00:04:33.880]  一個是在天上的
[00:04:33.880 --> 00:04:35.320]  所以每一次當我
[00:04:35.320 --> 00:04:36.920]  而且我們是有權柄的
[00:04:36.920 --> 00:04:39.960]  我們是有權利要奉耶穌的名
[00:04:39.960 --> 00:04:42.080]  去捆綁黑暗全世
[00:04:42.080 --> 00:04:45.200]  釋放光明到我們的生活裡面來的
[00:04:45.200 --> 00:04:48.800]  所以當你感覺到不安的時候
[00:04:48.800 --> 00:04:51.640]  當你有這種不安的情緒來的時候呢
[00:04:51.640 --> 00:04:54.120]  他說你要立刻在你的心裡面
[00:04:54.120 --> 00:04:55.400]  或你的嘴巴上
[00:04:55.400 --> 00:04:56.480]  你要宣告
[00:04:56.480 --> 00:04:59.080]  說主耶穌的寶血遮蓋這地
[00:04:59.080 --> 00:05:01.400]  奉主耶穌的名捆綁黑暗
[00:05:01.400 --> 00:05:02.920]  命令黑暗離開
[00:05:02.920 --> 00:05:05.960]  奉耶穌的名釋放平安的靈
[00:05:05.960 --> 00:05:08.280]  進到這個地方來
[00:05:08.280 --> 00:05:11.080]  所以弟兄姊妹不論我們是基督徒
[00:05:11.080 --> 00:05:14.160]  還是我們是剛剛到教會裡頭來的
[00:05:14.160 --> 00:05:16.400]  我們都應該要認識
[00:05:16.400 --> 00:05:18.760]  在屬靈的領域裡面
[00:05:18.760 --> 00:05:24.160]  認識屬靈的領域是非常重要的
[00:05:24.160 --> 00:05:26.160]  所以我今天的感動呢
[00:05:26.160 --> 00:05:28.080]  就是要跟大家來分享
[00:05:28.080 --> 00:05:31.360]  一些在屬靈方面的事情
[00:05:31.360 --> 00:05:32.880]  求主耶穌的寶血
[00:05:32.880 --> 00:05:34.360]  潔淨我們的聖殿
[00:05:34.360 --> 00:05:35.560]  好讓我們在這個時候
[00:05:35.560 --> 00:05:37.560]  能夠把我們的心打開來
[00:05:37.560 --> 00:05:40.520]  我們能夠有智慧的來掌握
[00:05:40.520 --> 00:05:43.720]  而且提升我們跟聖靈之間的關係
[00:05:43.720 --> 00:05:47.240]  我們所信的聖父、聖子、聖靈
[00:05:47.240 --> 00:05:49.840]  我們通常認識聖父
[00:05:49.840 --> 00:05:51.640]  我們認識耶穌
[00:05:51.640 --> 00:05:55.680]  但是我們對聖靈的認識和理解非常的少
[00:05:55.680 --> 00:05:59.280]  但是聖靈卻是在主耶穌離世之前
[00:05:59.280 --> 00:06:01.240]  賜給我們最好的寶貝
[00:06:01.240 --> 00:06:04.360]  所以我們要跟聖靈有很強的關係
[00:06:04.360 --> 00:06:07.200]  我們才能夠在這個充滿挑戰
[00:06:07.200 --> 00:06:10.280]  是非不明的這個混亂的世代中
[00:06:10.280 --> 00:06:14.000]  能夠知道怎麼樣的保護好我們自己
[00:06:14.000 --> 00:06:18.080]  又能夠對付仇敵的攻擊
[00:06:18.080 --> 00:06:20.280]  奪回神的祝福
[00:06:20.280 --> 00:06:21.800]  這是很重要的
[00:06:21.800 --> 00:06:25.440]  所以我們要學習認識撒旦的作為
[00:06:25.440 --> 00:06:27.000]  更要培養自己
[00:06:27.000 --> 00:06:29.800]  做一個神所喜悅的得勝者
[00:06:29.800 --> 00:06:30.440]  Hallelujah
[00:06:30.440 --> 00:06:32.280]  謝謝小允剛才的分享
[00:06:32.280 --> 00:06:33.800]  是一個得勝者的作為
[00:06:33.800 --> 00:06:36.880]  讓我們低頭禱告
[00:06:36.880 --> 00:06:38.200]  天父主耶穌生於法師
[00:06:38.200 --> 00:06:40.160]  我們感謝讚美祢
[00:06:40.160 --> 00:06:41.720]  主這是祢的日子
[00:06:41.720 --> 00:06:44.400]  主啊祢愛祢的孩子們聚集在一起
[00:06:44.400 --> 00:06:45.960]  為了要來榮耀祢
[00:06:45.960 --> 00:06:47.560]  為了要來認識祢
[00:06:47.560 --> 00:06:50.840]  為了要讓我們的生命更加的豐盛
[00:06:50.840 --> 00:06:53.800]  主耶穌我們求祢今天在我們的中間
[00:06:53.800 --> 00:06:55.880]  保守我們的心思意念
[00:06:55.880 --> 00:06:57.520]  打開我們的智慧
[00:06:57.520 --> 00:07:00.680]  好讓我們能夠藉著主祢自己的話語
[00:07:00.680 --> 00:07:01.800]  來認識祢
