
[00:00:00.000 --> 00:00:04.580]  好,讓我們在聽神的話語之前,我們先低頭禱告。
[00:00:04.580 --> 00:00:06.660]  親愛的天父聖弟,我們來到你面前,
[00:00:06.660 --> 00:00:10.580]  我們要靜聽主你親自對我們說話,
[00:00:10.580 --> 00:00:12.500]  就讓你透過你僕人的口,
[00:00:12.500 --> 00:00:15.240]  你把你的信息來向我們彰顯,
[00:00:15.240 --> 00:00:17.340]  好,這樣我們能夠明白,
[00:00:17.340 --> 00:00:21.820]  能夠把它來實現出來。
[00:00:21.820 --> 00:00:24.280]  天父我們願你與我們同在,
[00:00:24.280 --> 00:00:25.700]  帶領我們以下時間,
[00:00:25.700 --> 00:00:26.900]  安靜我們的心,
[00:00:26.900 --> 00:00:28.380]  也使用你的僕人,
[00:00:28.380 --> 00:00:32.520]  奉耶穌基督的聖名禱告,Amen。
[00:00:32.520 --> 00:00:37.020]  在舊約聖經裡面,剛才我們讀到雅各這個名字,
[00:00:37.020 --> 00:00:39.900]  其實他是舊約聖經裡面的一個人物,
[00:00:39.900 --> 00:00:43.980]  這個人物他非常喜歡抓,
[00:00:43.980 --> 00:00:45.440]  他很喜歡抓,
[00:00:45.440 --> 00:00:51.500]  從他一出世就開始在那邊有抓的表現,
[00:00:51.500 --> 00:00:54.820]  他和姨嫂是孿生子,
[00:00:54.820 --> 00:00:57.140]  他們是雙生的,
[00:00:57.140 --> 00:00:58.540]  姨嫂是哥哥,
[00:00:58.540 --> 00:01:02.820]  姨嫂先出來的時候,雅各隨後就出世,
[00:01:02.820 --> 00:01:07.820]  出世的時候,就手緊緊的抓住姨嫂的腳,
[00:01:07.820 --> 00:01:11.780]  一開始就看到他這種抓的本能,
[00:01:11.780 --> 00:01:15.580]  所以父母看到他有這種抓的本能的時候,
[00:01:15.580 --> 00:01:18.540]  就把他取名叫抓,
[00:01:18.540 --> 00:01:22.740]  因為雅各這個名字就是抓的意思,
[00:01:22.740 --> 00:01:26.260]  雅各在他一生裡面都在抓,
[00:01:26.260 --> 00:01:29.580]  你看不止他出世的時候抓住哥哥的腳,
[00:01:29.580 --> 00:01:34.540]  他也從哥哥那裡想要抓取長子的名分,
[00:01:34.540 --> 00:01:37.180]  所以他欺騙了哥哥,
[00:01:37.180 --> 00:01:42.180]  用紅豆湯來換取哥哥的長子的名分,
[00:01:42.180 --> 00:01:46.380]  因為在以色列人,長子這個名分是很重要的,
[00:01:46.380 --> 00:01:52.500]  長子代表著是家庭裡面非常重要的一個地位,一個身份,
[00:01:52.500 --> 00:01:55.260]  其實在我們中國人也是這樣的,
[00:01:55.260 --> 00:01:57.780]  但是在以色列人當中,
[00:01:57.780 --> 00:02:01.900]  他們竟然可以把長子的名分出賣的,
