
[00:00:00.000 --> 00:00:02.440]  今天我會繼續跟各位來講
[00:00:02.440 --> 00:00:06.540]  我在去年的十月月份的時候
[00:00:06.540 --> 00:00:07.540]  我講過的題目
[00:00:07.540 --> 00:00:09.540]  我真懂得禱告嗎
[00:00:09.540 --> 00:00:11.820]  上次我講到第一章
[00:00:11.820 --> 00:00:14.180]  現在我今天講第二章
[00:00:14.180 --> 00:00:17.120]  這個我跟各位來複習一下
[00:00:17.120 --> 00:00:19.460]  我們上次來講過的經文
[00:00:19.460 --> 00:00:21.320]  最主要是在路加福音的
[00:00:21.320 --> 00:00:25.700]  這十八章的第九到十四節
[00:00:25.700 --> 00:00:27.000]  這裡是講到什麼呢
[00:00:27.000 --> 00:00:30.600]  講到一個法律賽人跟一個
[00:00:30.600 --> 00:00:34.540]  瑞麗的禱告 有印象嗎
[00:00:34.540 --> 00:00:35.940]  十一月份的時候
[00:00:35.940 --> 00:00:39.600]  我們一起來去學禱告的功課
[00:00:39.600 --> 00:00:40.840]  一個是法律賽人的禱告
[00:00:40.840 --> 00:00:43.180]  一個是瑞麗的禱告
[00:00:43.180 --> 00:00:47.380]  重點是什麼呢 還記得嗎
[00:00:47.380 --> 00:00:48.620]  兩個比較的時候
[00:00:48.620 --> 00:00:52.220]  在他們的禱告裡面
[00:00:52.220 --> 00:00:55.660]  所以剛好就是真的要複習一下
[00:00:55.660 --> 00:01:00.100]  在我們的禱告裡面
[00:01:00.100 --> 00:01:02.360]  這個來到神面前
[00:01:02.360 --> 00:01:04.460]  他們的禱告是這樣子的
[00:01:04.460 --> 00:01:05.460]  有一個法律賽人
[00:01:05.460 --> 00:01:09.700]  他在聖殿裡面禱告
[00:01:09.700 --> 00:01:13.980]  他是站著自言自語的禱告
[00:01:13.980 --> 00:01:15.440]  然後他跟神怎麼樣說
[00:01:15.440 --> 00:01:16.880]  神啊我感謝你
[00:01:16.880 --> 00:01:18.920]  不上別人的勒索
[00:01:18.920 --> 00:01:22.080]  不義兼營 也不上這個瑞麗
[00:01:22.080 --> 00:01:24.180]  就是跟那個瑞麗來比較
[00:01:24.180 --> 00:01:25.680]  這個法律賽人的禱告
[00:01:25.680 --> 00:01:28.960]  其實說他一個禮拜禁食兩次
[00:01:28.960 --> 00:01:32.420]  通常禁食就是跟禱告連在一起
[00:01:32.420 --> 00:01:34.860]  他有這樣子的禁食禱告
[00:01:34.860 --> 00:01:37.800]  然後他所得的君上十分之一
[00:01:37.800 --> 00:01:39.500]  這是他的在禱告裡面
[00:01:39.500 --> 00:01:41.340]  他跟神說的
[00:01:41.340 --> 00:01:43.680]  然後這個比較瑞麗的禱告
[00:01:43.680 --> 00:01:45.180]  是怎麼樣
[00:01:45.180 --> 00:01:47.080]  他遠遠的站著
[00:01:47.080 --> 00:01:49.580]  連舉目望天也不敢
[00:01:49.580 --> 00:01:52.180]  以上神說了一句很簡單的說話
[00:01:52.180 --> 00:01:54.280]  神啊 怎麼樣
[00:01:54.280 --> 00:01:58.360]  開恩可憐我這個罪人
[00:01:58.360 --> 00:02:02.620]  所以耶穌就是說這個瑞麗的禱告
[00:02:02.620 --> 00:02:05.100]  是神所在神的眼中
[00:02:05.100 --> 00:02:08.260]  是看為一個義人的禱告
[00:02:08.260 --> 00:02:10.900]  然後就是他提醒我們
[00:02:10.900 --> 00:02:12.560]  就是這個瑞麗的禱告
[00:02:12.560 --> 00:02:15.300]  就是得到耶穌的讚賞
[00:02:15.300 --> 00:02:18.940]  所以我上次講到一個重點是什麼
[00:02:18.940 --> 00:02:22.820]  就是聖人他覺得他是一個怎麼樣
[00:02:22.820 --> 00:02:24.820]  有禱告的人
[00:02:24.820 --> 00:02:28.920]  他是一個好像有很多的禱告
[00:02:28.920 --> 00:02:30.420]  他也禁食禱告
[00:02:30.420 --> 00:02:33.600]  他也捐奉獻十分之一
[00:02:33.600 --> 00:02:34.460]  他有
