
[00:00:00.000 --> 00:00:03.000]  今日的講題叫做「人算什麼」
[00:00:03.000 --> 00:00:08.000]  分題叫做「人的墮落」和「上帝的拯救」
[00:00:08.000 --> 00:00:10.000]  當我預備這篇信息的時候
[00:00:10.000 --> 00:00:12.000]  可以看這個羅馬書
[00:00:12.000 --> 00:00:14.000]  羅馬書給我三個的體會
[00:00:14.000 --> 00:00:15.000]  剛才好好
[00:00:15.000 --> 00:00:17.000]  Worship Leader Ian 幫我們帶了一首 Above All
[00:00:17.000 --> 00:00:19.000]  也是我很喜歡的詩歌
[00:00:19.000 --> 00:00:22.000]  我和太太認識的時候一起唱這首詩歌
[00:00:22.000 --> 00:00:23.000]  上帝真的很愛我們
[00:00:23.000 --> 00:00:27.000]  祂真的把我們放在一切之上
[00:00:27.000 --> 00:00:29.000]  當我們回到天間的時候
[00:00:29.000 --> 00:00:32.000]  我們看到耶穌基督的手是戴著釘痕的手
[00:00:32.000 --> 00:00:33.000]  祂很愛我們
[00:00:33.000 --> 00:00:35.000]  人雖然渺小
[00:00:35.000 --> 00:00:37.000]  但是上帝很偉大
[00:00:37.000 --> 00:00:41.000]  但是人因著離開了上帝的緣故墮落
[00:00:41.000 --> 00:00:44.000]  但是上帝親自的施行拯救
[00:00:44.000 --> 00:00:45.000]  而上帝施行拯救
[00:00:45.000 --> 00:00:48.000]  不只是單單讓我們能夠得救
[00:00:48.000 --> 00:00:50.000]  回到天堂的當中永遠和祂一起
[00:00:50.000 --> 00:00:52.000]  原來神放我們在地上
[00:00:52.000 --> 00:00:55.000]  是讓我們成為祂一個的見證人
[00:00:55.000 --> 00:00:57.000]  成為黑暗中的光
[00:00:57.000 --> 00:01:01.000]  成為在地上很多人認識主的一個關鍵人物
[00:01:01.000 --> 00:01:03.000]  以至上帝因召我們
[00:01:03.000 --> 00:01:04.000]  The Call
[00:01:04.000 --> 00:01:05.000]  人算甚麼
[00:01:05.000 --> 00:01:07.000]  神竟然因召我們
[00:01:07.000 --> 00:01:11.000]  所以我們在預備羅馬書的時候
[00:01:11.000 --> 00:01:15.000]  我們不單止一方面看到人的罪的嚴重性
[00:01:15.000 --> 00:01:17.000]  也看到福音的重要性
[00:01:17.000 --> 00:01:19.000]  所以求主也幫助我們
[00:01:19.000 --> 00:01:21.000]  能夠去認識這個罪的本質
[00:01:21.000 --> 00:01:22.000]  並且去想
[00:01:22.000 --> 00:01:25.000]  究竟上帝當下有什麼訊息給我們呢
[00:01:25.000 --> 00:01:27.000]  有沒有一些情況
[00:01:27.000 --> 00:01:28.000]  一些困難
[00:01:28.000 --> 00:01:30.000]  或者一些罪神要我們離開
[00:01:30.000 --> 00:01:31.000]  又或者有沒有一些生命
[00:01:31.000 --> 00:01:34.000]  神要感動我們和祂傳福音呢
[00:01:34.000 --> 00:01:35.000]  預備這篇訊息的時候
[00:01:35.000 --> 00:01:37.000]  其實我這幾天做夢也夢見
[00:01:37.000 --> 00:01:38.000]  有些親戚
[00:01:38.000 --> 00:01:41.000]  有些朋友還沒有認識耶穌基督
[00:01:41.000 --> 00:01:45.000]  昨晚我夢見自己被導彈襲擊
[00:01:45.000 --> 00:01:47.000]  將來我將會去一個地方
[00:01:47.000 --> 00:01:49.000]  我發現原來認識耶穌真的很好
[00:01:49.000 --> 00:01:51.000]  因為我知道我的盼望在哪裡
[00:01:51.000 --> 00:01:52.000]  Amen
[00:01:52.000 --> 00:01:54.000]  我知道自己要去哪裡
[00:01:54.000 --> 00:01:55.000]  好
[00:01:55.000 --> 00:01:56.000]  在羅馬書裡面
[00:01:56.000 --> 00:01:57.000]  一至三章
[00:01:57.000 --> 00:01:58.000]  今天我們去到第三章
[00:01:58.000 --> 00:02:00.000]  第一章裡面說到
[00:02:00.000 --> 00:02:03.000]  愛邦人沒有辦法能夠自救
[00:02:03.000 --> 00:02:04.000]  拜偶像有很多道德的敗位
[00:02:04.000 --> 00:02:06.000]  第二章說到猶太人
[00:02:06.000 --> 00:02:09.000]  猶太人是一個有上帝啟示的民族
[00:02:09.000 --> 00:02:14.000]  他們有上帝的寶貴律法
[00:02:14.000 --> 00:02:16.000]  但他們卻知法犯法
[00:02:16.000 --> 00:02:18.000]  都不能夠靠自己得救
[00:02:18.000 --> 00:02:20.000]  第三章也說到
[00:02:20.000 --> 00:02:22.000]  原來全人類都沒有辦法自救
[00:02:22.000 --> 00:02:25.000]  唯有靠耶穌基督才能夠得救
[00:02:25.000 --> 00:02:27.000]  在上星期的講道裡面
[00:02:27.000 --> 00:02:31.000]  是分享到猶太人身在福中不知福
[00:02:31.000 --> 00:02:33.000]  原來他們有上帝的恩賢
[00:02:33.000 --> 00:02:34.000]  能力越大
[00:02:34.000 --> 00:02:36.000]  理應是責任越大
[00:02:36.000 --> 00:02:37.000]  應該將這個福音傳揚
[00:02:37.000 --> 00:02:39.000]  但當時猶太人沒有這樣做
[00:02:39.000 --> 00:02:42.000]  因此保羅就和他們分享
[00:02:42.000 --> 00:02:44.000]  其實他們要將神的恩典傳揚開去
[00:02:44.000 --> 00:02:46.000]  今天的聖經
[00:02:46.000 --> 00:02:53.000]  分享到猶太人
[00:02:53.000 --> 00:02:55.000]  其實他們有上帝的律法
[00:02:55.000 --> 00:02:57.000]  起初他們覺得
[00:02:57.000 --> 00:02:59.000]  只是外邦人犯罪
[00:02:59.000 --> 00:03:02.000]  他們是一個屬於神的文弱群體
[00:03:02.000 --> 00:03:06.000]  他們基本上已經屬於上帝
[00:03:06.000 --> 00:03:09.000]  他們沒有被罪影響
[00:03:09.000 --> 00:03:11.000]  但保羅在這段聖經
[00:03:11.000 --> 00:03:13.000]  納瑪書三章九節至第二十節
[00:03:13.000 --> 00:03:15.000]  說到其實不是
