
[00:00:00.000 --> 00:00:06.600]  剛才領昌和主席跟我們提到今天是2025年開始
[00:00:06.600 --> 00:00:12.440]  正如領昌和主席說今天是2025年第一個主日
[00:00:12.440 --> 00:00:15.400]  提一提大家一件很重要的事
[00:00:15.400 --> 00:00:20.240]  看來大家是一個很重要的時刻
[00:00:20.240 --> 00:00:24.300]  奉獻寫支票要寫2025年
[00:00:24.300 --> 00:00:28.200]  奉獻寫支票要寫2025年
[00:00:28.200 --> 00:00:33.800]  今年的主題在程序表封面都已經印製出來了
[00:00:33.800 --> 00:00:37.600]  今年的主題在程序表的封面都印出來了
[00:00:37.600 --> 00:00:38.800]  我們一起讀出來好不好
[00:00:38.800 --> 00:00:40.300]  我們一起讀出來好不好
[00:00:40.300 --> 00:00:44.100]  彼此同心拓展神家
[00:00:44.100 --> 00:00:47.100]  神的家可以指每一間的地方教會
[00:00:47.100 --> 00:00:49.500]  神的家可以指每一間神的教會
[00:00:49.500 --> 00:00:51.600]  但是我們看得闊一點的話
[00:00:51.600 --> 00:00:53.100]  當我們看得寬一點的話
[00:00:53.100 --> 00:00:55.200]  就是天國神的國度
[00:00:55.200 --> 00:00:56.900]  就是天國神的國度
[00:00:56.900 --> 00:00:59.700]  我今年嘗試一整年
[00:00:59.700 --> 00:01:05.200]  我今天就嘗試整年在崇拜的講道裡面分享使徒行傳
[00:01:05.200 --> 00:01:08.500]  在這個講道裡面去分享使徒行傳
[00:01:08.500 --> 00:01:12.600]  我們從使徒行傳早期教會的發展裡面學習
[00:01:12.600 --> 00:01:15.400]  究竟怎樣可以拓展神的國度
[00:01:15.400 --> 00:01:21.600]  我們從使徒行傳早期他們的傳道裡面去分享怎麼去傳神的國度
[00:01:21.600 --> 00:01:26.100]  在主耶穌奉之後到升天這段時間有幾天
[00:01:26.100 --> 00:01:30.900]  在主耶穌死之後到他升天有多少日
[00:01:30.900 --> 00:01:33.300]  不是死後多少日復活
[00:01:33.300 --> 00:01:37.700]  是死了之後到升天之前這段時間多少日
[00:01:37.700 --> 00:01:41.100]  是死之後到升天之前是多少日
[00:01:41.100 --> 00:01:42.400]  三十日
[00:01:42.400 --> 00:01:44.300]  三十日
[00:01:44.300 --> 00:01:47.400]  中年人的開始是四十日
[00:01:47.400 --> 00:01:48.500]  中年人只要四十日
[00:01:48.500 --> 00:01:52.200]  在四十日裡面耶穌每天都和你們一起
[00:01:52.200 --> 00:01:55.100]  在四十天裡面耶穌天天都和民徒在一起
[00:01:55.100 --> 00:02:00.900]  想像一下如果奉會耶穌和我們在四十日一起睡覺一起吃東西多開心
[00:02:00.900 --> 00:02:05.900]  想想這個復活耶穌跟我們在一起四十天一起睡覺一起吃東西多麼開心
[00:02:05.900 --> 00:02:08.700]  如果是有聖經的話
[00:02:08.700 --> 00:02:12.100]  看回使徒行傳第一章第三節
[00:02:12.100 --> 00:02:15.200]  如果有聖經就看一下使徒行傳第一章第三節
[00:02:15.200 --> 00:02:17.100]  他提到一件很重要的事情
[00:02:17.100 --> 00:02:18.500]  提到一件很重要的事情
[00:02:18.500 --> 00:02:22.600]  耶穌在四十日裡面和門徒在談論天國的事情
[00:02:22.600 --> 00:02:26.200]  裡面講到很重要的事情就是和門徒討論天國的事
[00:02:26.200 --> 00:02:28.900]  以前和他們三年保安生活其實都講很多了
[00:02:28.900 --> 00:02:31.600]  以前和他們生活的三年半裡面講了很多了
[00:02:31.600 --> 00:02:35.000]  不過他們是很愚昧的
