
[00:00:00.000 --> 00:00:02.000]  在聽信息之前 我們再一次祈禱
[00:00:02.000 --> 00:00:11.120]  主耶穌基督 求祢憐憫 幫助我們每一個
[00:00:11.120 --> 00:00:16.160]  今天當我們要去讀祢 聖經上所記載的話語
[00:00:16.160 --> 00:00:22.040]  看起來好像是 我們簡單而且是明白的道理
[00:00:22.040 --> 00:00:26.040]  神啊 求祢幫助我們
[00:00:26.040 --> 00:00:29.440]  因為祢的話語是活潑 而且大有功效的
[00:00:30.840 --> 00:00:34.200]  求祢潔淨使用 祢僕人所講出口裡面的說話
[00:00:34.200 --> 00:00:39.880]  讓祢聖經的話語 成為真理的利劍
[00:00:39.880 --> 00:00:42.240]  剖開我們的內心
[00:00:42.240 --> 00:00:44.960]  使我們得到醫治和幫助
[00:00:44.960 --> 00:00:47.720]  願祢的靈引領我們
[00:00:47.720 --> 00:00:48.560]  多謝祢
[00:00:48.560 --> 00:00:51.360]  我們的祈禱 是奉主耶穌基督 聖名祈求
[00:00:51.360 --> 00:00:58.800]  或者祢也有過這樣的經驗
[00:01:00.560 --> 00:01:04.760]  考試那一天 打開了考卷
[00:01:04.760 --> 00:01:08.360]  發現自己什麼都沒有準備過
[00:01:08.360 --> 00:01:10.440]  每一條題目都不會答
[00:01:10.440 --> 00:01:12.720]  慘了 糟糕了 怎麼辦
[00:01:12.720 --> 00:01:14.880]  很心急 開始不斷流汗
[00:01:14.880 --> 00:01:18.560]  心裡心跳 覺得很難過 很辛苦
[00:01:18.560 --> 00:01:21.000]  就在那一刻 祢醒了
[00:01:21.000 --> 00:01:23.920]  原來是划牆的噩夢
[00:01:23.920 --> 00:01:27.920]  可能類似的經歷未必是考試
[00:01:27.920 --> 00:01:29.680]  回到以前一個工作的場景
[00:01:29.680 --> 00:01:33.800]  或者在家裡一個很大的家庭聚會
[00:01:33.800 --> 00:01:36.600]  祢要預備很多很多這樣的事情
[00:01:36.600 --> 00:01:40.280]  反映著可能近來祢的壓力很大
[00:01:40.280 --> 00:01:45.520]  因為有一些的期限將要來到
[00:01:45.520 --> 00:01:47.240]  總之是一些很大的事情
[00:01:47.240 --> 00:01:51.200]  其中有祢要走去的目標
[00:01:51.200 --> 00:01:54.680]  有一個時限 祢要做祢要做的事情
[00:01:54.680 --> 00:01:58.920]  在《路加福金》裡面
[00:01:58.920 --> 00:02:01.040]  我們在第九章已經讀過
[00:02:01.040 --> 00:02:04.040]  耶穌正是面朝耶路撒冷走過去
[00:02:04.040 --> 00:02:07.200]  這個是十架的路
[00:02:07.200 --> 00:02:09.200]  來到十三章的二十二節
[00:02:09.200 --> 00:02:14.320]  路加是再一次提及耶穌的目的地
[00:02:14.320 --> 00:02:15.640]  就是耶路撒冷
[00:02:15.640 --> 00:02:18.760]  而這短短的兩句說話
[00:02:18.760 --> 00:02:20.880]  給我們看到裡面有三件事情
[00:02:20.880 --> 00:02:26.040]  第一 目標很清晰的
[00:02:26.040 --> 00:02:29.160]  耶穌就是一路要走去耶路撒冷
[00:02:29.160 --> 00:02:30.760]  面向祂的死亡
[00:02:30.760 --> 00:02:33.960]  而這個事件的發生
[00:02:33.960 --> 00:02:35.240]  也是一個時限
[00:02:35.240 --> 00:02:36.480]  這是第二件事情
[00:02:36.480 --> 00:02:38.440]  時限即將來到了
[00:02:38.440 --> 00:02:40.680]  祂要在十字架上為世人受死
[00:02:40.680 --> 00:02:43.640]  完成祂來地上最重要的任務
[00:02:43.640 --> 00:02:47.120]  而在剩餘的這條路上
[00:02:47.120 --> 00:02:47.920]  祂一路走
[00:02:47.920 --> 00:02:52.240]  祂依然沒有放下祂最重要的工作
[00:02:52.240 --> 00:02:55.600]  祂進入各城各鄉
[00:02:55.600 --> 00:02:57.720]  去教導、去宣講、福音
[00:02:57.720 --> 00:03:02.040]  主耶穌離開伽利利之後
[00:03:02.040 --> 00:03:03.720]  我們這一季所讀的經文
[00:03:03.720 --> 00:03:05.880]  讀過祂去到撒瑪利亞
[00:03:05.880 --> 00:03:07.800]  亦都去到猶大地不同地方
[00:03:07.800 --> 00:03:09.440]  現在去到約旦河的另一邊
[00:03:09.440 --> 00:03:12.360]  東邊比利亞的地區
[00:03:12.360 --> 00:03:14.800]  不過耶穌無論去到哪個地方
[00:03:14.800 --> 00:03:16.240]  祂的目標依然清晰
[00:03:16.240 --> 00:03:18.160]  祂也都面對著那個時限
[00:03:18.160 --> 00:03:20.000]  也都努力去做祂的工作
[00:03:20.000 --> 00:03:22.560]  今天祂給我們的教導的經文
[00:03:22.560 --> 00:03:25.600]  同樣是對我們走在這條門徒之路
[00:03:25.600 --> 00:03:27.440]  十教之路的每一位
[00:03:27.440 --> 00:03:30.880]  目標、期限、要做的事
[00:03:30.880 --> 00:03:32.080]  都是很清晰的
[00:03:32.080 --> 00:03:36.600]  在路上有一個人問耶穌
[00:03:36.600 --> 00:03:39.360]  「主啊,得救的人很少吧?」
[00:03:39.360 --> 00:03:44.280]  一直以來耶穌的教導很清楚
[00:03:44.280 --> 00:03:45.240]  不含糊
[00:03:45.240 --> 00:03:47.600]  而祂說出來的說話
[00:03:47.600 --> 00:03:50.120]  往往令到一些三心兩意
[00:03:50.120 --> 00:03:52.280]  或者兩邊擺牆頭草的人
[00:03:52.280 --> 00:03:53.760]  會灰心
[00:03:53.760 --> 00:03:56.000]  在十三章一開頭
[00:03:56.000 --> 00:03:57.560]  第一節到第五節
[00:03:57.560 --> 00:04:00.320]  耶穌都說過一個結語
[00:04:00.320 --> 00:04:02.720]  祂警告說「你們若不悔改
[00:04:02.720 --> 00:04:04.800]  都照樣要滅亡」
[00:04:04.800 --> 00:04:05.800]  很清楚
[00:04:05.800 --> 00:04:06.960]  沒有灰色地帶
[00:04:06.960 --> 00:04:09.320]  但是這件事
[00:04:09.320 --> 00:04:12.360]  是和當時猶太人的信念是相反的
[00:04:12.360 --> 00:04:16.120]  他們認為除了一些稅吏
[00:04:16.120 --> 00:04:18.120]  和他們認為的罪人之外
[00:04:18.120 --> 00:04:20.040]  在末日
[00:04:20.040 --> 00:04:24.000]  神必會拯救以色列全民
[00:04:24.000 --> 00:04:26.080]  但是耶穌的教導一再強調
[00:04:26.080 --> 00:04:29.440]  人必須先悔改、迴轉
[00:04:29.440 --> 00:04:31.400]  才可以進入神的國
[00:04:31.400 --> 00:04:34.760]  因此
[00:04:34.760 --> 00:04:36.880]  來聽祂講道的人有很多
[00:04:36.880 --> 00:04:38.480]  前個星期我們講到
[00:04:38.480 --> 00:04:40.280]  幾萬人
[00:04:40.280 --> 00:04:41.880]  人疊人
[00:04:41.880 --> 00:04:46.000]  但是真正跟耶穌到底的
[00:04:46.000 --> 00:04:46.520]  不多
[00:04:46.520 --> 00:04:49.800]  在耶穌復活之後
[00:04:49.800 --> 00:04:51.080]  只有一百二十位門徒
[00:04:51.080 --> 00:04:53.600]  在耶路撒冷的樓房聚集
[00:04:53.600 --> 00:04:56.120]  另外有五百人在加利利等待
[00:04:56.120 --> 00:05:00.040]  幾萬人跟著祂
[00:05:00.040 --> 00:05:03.080]  更多更多人聽過祂講天國的道理
[00:05:03.080 --> 00:05:06.160]  但是真正在那一刻決定跟的
[00:05:06.160 --> 00:05:06.760]  幾百人
[00:05:06.760 --> 00:05:11.320]  所以這裡這個人問的是有這個背景
