
[00:00:00.000 --> 00:00:02.000]  謝謝 我們再一次低頭禱告
[00:00:30.000 --> 00:00:32.000]  (陳振英) 其實對我來說他是一個「足星」來的
[00:00:32.000 --> 00:00:38.000]  他可能是在書山城或波斯其中一個城出生的
[00:00:38.000 --> 00:00:42.000]  因為第一批人回歸已經是接近100年前了
[00:00:42.000 --> 00:00:47.000]  所以他一定是不可能見過耶路撒冷的
[00:00:47.000 --> 00:00:51.000]  他絕對是一個土生土長
[00:00:51.000 --> 00:00:56.000]  是講波斯語在波斯帝國長大的一個人
[00:00:56.000 --> 00:01:01.000]  你知道我們的僑民有時都很聰明
[00:01:01.000 --> 00:01:05.000]  長大後就在政府一邊做一邊做
[00:01:05.000 --> 00:01:07.000]  做到高官了
[00:01:07.000 --> 00:01:10.000]  而李希敏就是這樣做到高官做到走證
[00:01:10.000 --> 00:01:15.000]  所以基本上對於耶路撒冷的事情
[00:01:15.000 --> 00:01:19.000]  如果他要陌生可以很陌生
[00:01:19.000 --> 00:01:22.000]  如果他不關心就絕對可以很陌生
[00:01:22.000 --> 00:01:29.000]  不需要有任何感情上的聯繫都可以
[00:01:29.000 --> 00:01:31.000]  但是你上一次就看到
[00:01:31.000 --> 00:01:33.000]  其實他絕對不是這樣一個人
[00:01:33.000 --> 00:01:35.000]  他是非常關心
[00:01:35.000 --> 00:01:40.000]  而他聽到耶路撒冷遭遇大的困難的時候
[00:01:40.000 --> 00:01:43.000]  他上一次就講到他的禱告
[00:01:43.000 --> 00:01:47.000]  他怎樣感同身受的將自己帶入去
[00:01:47.000 --> 00:01:49.000]  他沒有看自己是一個國外人
[00:01:49.000 --> 00:01:53.000]  他是神家的一份子怎能夠置身事外
[00:01:53.000 --> 00:01:54.000]  於是他就禱告
[00:01:54.000 --> 00:01:56.000]  上一次講到在他禱告當中
[00:01:56.000 --> 00:02:00.000]  他已經暗示他要為神做一些事
[00:02:00.000 --> 00:02:05.000]  但其實很明顯是不知道做什麼的
[00:02:05.000 --> 00:02:08.000]  因為他已經新官要職
[00:02:08.000 --> 00:02:11.000]  捐錢都還可以
[00:02:11.000 --> 00:02:14.000]  或者在感情上支持
[00:02:14.000 --> 00:02:17.000]  或者emotional support都可以
[00:02:17.000 --> 00:02:19.000]  再可以做些什麼
[00:02:19.000 --> 00:02:22.000]  可能其實都是一些比較遙遠
[00:02:22.000 --> 00:02:24.000]  今天我們看第二章
[00:02:24.000 --> 00:02:28.000]  就看到接下來發展的時候的計劃是怎樣
[00:02:28.000 --> 00:02:30.000]  這裡一開始讀的時候
[00:02:30.000 --> 00:02:31.000]  他講到
[00:02:31.000 --> 00:02:34.000]  亞特薩西王二十年離散
[00:02:34.000 --> 00:02:35.000]  月在王面前擺酒
[00:02:35.000 --> 00:02:38.000]  我拿起酒來奉給王
[00:02:38.000 --> 00:02:40.000]  我素來在王面前沒有愁容
[00:02:40.000 --> 00:02:41.000]  王對我說
[00:02:41.000 --> 00:02:42.000]  你既沒有病
[00:02:42.000 --> 00:02:44.000]  為什麼面帶愁容呢
[00:02:44.000 --> 00:02:45.000]  這不是別的
[00:02:45.000 --> 00:02:46.000]  必是你心中愁煩
[00:02:46.000 --> 00:02:47.000]  於是我甚懼怕
[00:02:47.000 --> 00:02:48.000]  我對王說
[00:02:48.000 --> 00:02:52.000]  願王萬歲我列祖墳墓所在的那城荒涼
[00:02:52.000 --> 00:02:53.000]  城門被火焚燒
[00:02:53.000 --> 00:02:56.000]  我豈能面無愁容呢
[00:02:56.000 --> 00:02:57.000]  這裡
[00:02:57.000 --> 00:02:59.000]  尼希米基其實上一次講過
[00:02:59.000 --> 00:03:01.000]  其實是很有趣的
[00:03:01.000 --> 00:03:06.000]  他有點像一些個人的日誌
[00:03:06.000 --> 00:03:08.000]  個人回憶錄的日誌
[00:03:08.000 --> 00:03:11.000]  所以他有些日子是很仔細
[00:03:11.000 --> 00:03:16.000]  上一次講他聽到耶路撒冷的事情
[00:03:16.000 --> 00:03:17.000]  那個日子
[00:03:17.000 --> 00:03:18.000]  然後對比今天
[00:03:18.000 --> 00:03:20.000]  今次所講的第二章
[00:03:20.000 --> 00:03:23.000]  是亞特薩西王二十年離散月
[00:03:23.000 --> 00:03:25.000]  是同年離散月
[00:03:25.000 --> 00:03:29.000]  回顧那個日子
[00:03:29.000 --> 00:03:32.000]  其實應該現在所發生的事
[00:03:32.000 --> 00:03:38.000]  就是四個月之後
[00:03:38.000 --> 00:03:40.000]  可以這樣說
[00:03:40.000 --> 00:03:42.000]  你可以想像
[00:03:42.000 --> 00:03:44.000]  他上一次的土告
[00:03:44.000 --> 00:03:46.000]  上一次的記載
[00:03:46.000 --> 00:03:48.000]  是四個月之前
[00:03:48.000 --> 00:03:49.000]  上一次的土告
[00:03:49.000 --> 00:03:50.000]  也可以這樣說
[00:03:50.000 --> 00:03:53.000]  是肝腸寸斷地去土告
[00:03:53.000 --> 00:03:55.000]  流眼淚
[00:03:55.000 --> 00:03:59.000]  在神面前哭泣
[00:03:59.000 --> 00:04:02.000]  但是
[00:04:02.000 --> 00:04:03.000]  接下來
[00:04:03.000 --> 00:04:08.000]  好像就回歸於平淡了四個月
