
[00:00:00.000 --> 00:00:06.000]  今天要講的講題是《衝突與調解》
[00:00:06.000 --> 00:00:11.000]  經文在《肥肋筆書》四章一至三節
[00:00:11.000 --> 00:00:13.000]  三節的經文很短
[00:00:13.000 --> 00:00:16.000]  我們一起來開聲來讀出
[00:00:16.000 --> 00:00:20.000]  我所親愛所想念的弟兄們
[00:00:20.000 --> 00:00:24.000]  你們就是我的喜樂 我的冠冕
[00:00:24.000 --> 00:00:29.000]  我親愛的弟兄 你們應當靠主站立得穩
[00:00:29.000 --> 00:00:34.000]  我勸尤阿蝶和秦都基要在主裏同心
[00:00:34.000 --> 00:00:41.000]  我也求你們這真實同父一騙的幫助這兩個女人
[00:00:41.000 --> 00:00:45.000]  因爲她們在福音上曾與我一同勞苦
[00:00:45.000 --> 00:00:50.000]  還有格里緬並其餘和我一同做工的
[00:00:50.000 --> 00:00:54.000]  她們的名字都在生命冊上
[00:00:54.000 --> 00:00:59.000]  有些紅色字就是這三節的經文出現了很多
[00:00:59.000 --> 00:01:04.000]  「一同」、「同」、「共同」這些字
[00:01:04.000 --> 00:01:12.000]  一位社會心理學家曾經這樣說過
[00:01:12.000 --> 00:01:19.000]  他說:衝突可見於雙方不相容的行動
[00:01:19.000 --> 00:01:25.000]  亦是要阻截或者干擾另一方的活動
[00:01:25.000 --> 00:01:29.000]  雙方不相容 要阻截 要干擾
[00:01:29.000 --> 00:01:33.000]  就會產生衝突
[00:01:33.000 --> 00:01:40.000]  某一間教會在討論一個議題
[00:01:40.000 --> 00:01:43.000]  不是城鎮 是另一間教會
[00:01:43.000 --> 00:01:49.000]  討論一個議題就是在接待處安裝一部飲水機
[00:01:49.000 --> 00:01:56.000]  A弟兄贊成 因爲這樣會方便會友可以喝水
[00:01:56.000 --> 00:02:02.000]  B弟兄反對 說有幾個理由
[00:02:02.000 --> 00:02:06.000]  第一個理由就是很多人逗留在接待處
[00:02:06.000 --> 00:02:08.000]  如果飲水的時候會互相沖撞
[00:02:08.000 --> 00:02:11.000]  又或者阻塞通道 這樣是不行的
[00:02:11.000 --> 00:02:16.000]  另外就是接待處附近也有幾部汽水售賣機
[00:02:16.000 --> 00:02:19.000]  不需要安裝 是不是
[00:02:19.000 --> 00:02:25.000]  第三就是如果要擺放或者安裝一部飲水機在接待處
[00:02:25.000 --> 00:02:32.000]  這樣就要加裝一條由茶水間接鋪到會有服務處
[00:02:32.000 --> 00:02:36.000]  超過一個三十米長的水管
[00:02:36.000 --> 00:02:42.000]  而食水如果長時間留在水管裏面也是不衛生的
[00:02:42.000 --> 00:02:46.000]  所以B弟兄是反對的
[00:02:46.000 --> 00:02:50.000]  其實大家可以談
[00:02:50.000 --> 00:02:53.000]  但後來事件進展成什麼樣呢
[00:02:53.000 --> 00:02:57.000]  就是雙方爭馳不下 交到去執事會
[00:02:57.000 --> 00:03:01.000]  產業管理委員會里面商討
[00:03:01.000 --> 00:03:05.000]  最後大家覺得安裝還是不安裝呢
[00:03:05.000 --> 00:03:09.000]  最後就是安裝了
[00:03:09.000 --> 00:03:17.000]  他們想出了一些方法要減低以上三個的憂慮
[00:03:17.000 --> 00:03:22.000]  B弟兄反對的理由很足夠
[00:03:22.000 --> 00:03:25.000]  但這件事情之後
[00:03:25.000 --> 00:03:31.000]  其實B弟兄就學習了一些很重要很重要的功課
[00:03:31.000 --> 00:03:35.000]  他說其實有很多事情的爭拗
[00:03:35.000 --> 00:03:37.000]  有不同意見的事情
[00:03:37.000 --> 00:03:41.000]  其實都不一定是一場勝負的遊戲
[00:03:41.000 --> 00:03:44.000]  是可以相贏的
[00:03:44.000 --> 00:03:47.000]  我們要接受每一個人都有盲點
[00:03:47.000 --> 00:03:49.000]  看不到全幅的圖畫
[00:03:49.000 --> 00:03:51.000]  當我們集思港益的時候
[00:03:51.000 --> 00:03:56.000]  可能比你的勝利更能夠造福教會
[00:03:56.000 --> 00:04:02.000]  我們每一個人都會有盲點
[00:04:02.000 --> 00:04:07.000]  而我們的盲點可能有近因有遠因
[00:04:07.000 --> 00:04:12.000]  遠因可能是我們個人的性格
[00:04:12.000 --> 00:04:14.000]  你和我都不同
[00:04:14.000 --> 00:04:16.000]  我們的成長我們又不同
[00:04:16.000 --> 00:04:21.000]  我們認知的過程裏面是否什麼都知道呢
[00:04:21.000 --> 00:04:24.000]  可能有一些東西我們都不知道
[00:04:24.000 --> 00:04:27.000]  會不會有一些不切實際的期望呢
[00:04:27.000 --> 00:04:29.000]  又或者是個人的因素
[00:04:29.000 --> 00:04:31.000]  會不會是我們的自尊呢
[00:04:31.000 --> 00:04:33.000]  是我們的安全感呢等等呢
[00:04:33.000 --> 00:04:38.000]  又或者人際上對身份對角色
[00:04:38.000 --> 00:04:40.000]  有不同的期望的
[00:04:40.000 --> 00:04:45.000]  你坐這個位置你應該怎樣怎樣怎樣
[00:04:45.000 --> 00:04:48.000]  又或者是環境的因素
[00:04:48.000 --> 00:04:50.000]  某些公司或者某些機構
[00:04:50.000 --> 00:04:53.000]  他們的文化可能你都要知道
[00:04:53.000 --> 00:04:56.000]  可能他們的組織結構你都要知道
[00:04:56.000 --> 00:05:01.000]  可能在某些公司或者機構裏面
