
[00:00:00.000 --> 00:00:04.120]  早晨,歡迎大家來到十教基督教會
[00:00:04.120 --> 00:00:07.720]  在今天開始講道之先,讓我們先一同去祈禱
[00:00:07.720 --> 00:00:14.900]  主耶穌基督,當我們今天一起再去看保羅所寫的菲律賓書的時間
[00:00:14.900 --> 00:00:18.920]  求祢幫助我們聽見聖靈我們所講的說話
[00:00:18.920 --> 00:00:21.500]  幫助我們明白祢的心思意念
[00:00:21.500 --> 00:00:26.160]  幫助我們讓祢的心思意念成為我們的神思意念
[00:00:26.160 --> 00:00:29.500]  我們禱告是奉主耶穌基督的名字
[00:00:30.000 --> 00:00:30.500]  咱們
[00:00:30.500 --> 00:00:43.020]  如果去年祢已經跟我們一起在周六同我們一起送拜的時間
[00:00:43.020 --> 00:00:46.080]  你知道我們2023年開始了一個系列
[00:00:46.080 --> 00:00:48.500]  是菲律賓書的講道系列
[00:00:48.500 --> 00:00:52.240]  我們是用這個線型結構為菲律賓書去分段的
[00:00:52.240 --> 00:00:58.260]  A B C D E 然後D' C' B' A'
[00:00:58.260 --> 00:01:02.840]  我們在這個系列第一篇就已經講了中間E段的中心
[00:01:02.840 --> 00:01:04.400]  彌賽亞之C
[00:01:04.400 --> 00:01:06.080]  然後我們用了四篇導
[00:01:06.080 --> 00:01:10.260]  我們看了A B C 和D段的頭半
[00:01:10.260 --> 00:01:13.200]  如果你未聽過或者想重溫之前的五篇導
[00:01:13.200 --> 00:01:15.400]  你可以拍下這個QR Code
[00:01:15.400 --> 00:01:19.180]  這個QR Code你掃描之後會帶你去一個Google Documents
[00:01:19.180 --> 00:01:23.720]  裡面就有之前講到的錄音的連結
[00:01:23.720 --> 00:01:26.360]  今天我們來到D段的後半
[00:01:26.360 --> 00:01:29.400]  菲律賓書二章一至五節
[00:01:29.400 --> 00:01:35.080]  講到的題目是以基督的心為心
[00:01:35.080 --> 00:01:43.200]  讓我們先重溫一下菲律賓書的寫作背景
[00:01:43.200 --> 00:01:47.360]  菲律賓書是保羅在羅馬被軟禁的時間所寫的
[00:01:47.360 --> 00:01:49.440]  是寫給菲律賓教會的
[00:01:49.440 --> 00:01:53.880]  成書的時間大概是主後的61至63年
[00:01:53.880 --> 00:01:57.360]  保羅寫菲律賓書主要有兩個原因
[00:01:57.360 --> 00:02:01.440]  第一個就是他想向菲律賓教會表達感謝
