
[00:00:00.000 --> 00:00:02.000]  黎英姐妹早晨
[00:00:02.000 --> 00:00:05.000]  讓我們先一起低頭禱告
[00:00:05.000 --> 00:00:11.000]  親愛的天父,感謝你召聚我們一起成為屬於你的群體
[00:00:11.000 --> 00:00:15.000]  求你讓我們在今天的相聚裡面,能夠有聖策的心
[00:00:15.000 --> 00:00:20.000]  謙卑自己,領受由你而來的提醒和勉勵
[00:00:20.000 --> 00:00:23.000]  我們這樣禱告是奉主耶穌基督的名字祈求
[00:00:23.000 --> 00:00:25.000]  阿們
[00:00:25.000 --> 00:00:28.000]  今天我們的經文是出自哥林多後書
[00:00:28.000 --> 00:00:30.000]  哥林多後書如果你熟悉聖經
[00:00:30.000 --> 00:00:35.000]  其實它是一封保羅所寫給哥林多教會的一封書信
[00:00:35.000 --> 00:00:37.000]  其實在聖經的新約裡面
[00:00:37.000 --> 00:00:39.000]  我們是不是有很多的書信?
[00:00:39.000 --> 00:00:41.000]  還有什麼書信?
[00:00:41.000 --> 00:00:48.000]  例如有菲臘比書,有加拉太書,有亞各書等等
[00:00:48.000 --> 00:00:50.000]  這些書信在聖經裡面
[00:00:50.000 --> 00:00:53.000]  原來曾幾何時是一封實實在在的信
[00:00:53.000 --> 00:00:55.000]  有修信人,有寫信人
[00:00:55.000 --> 00:00:58.000]  今天我們或許會覺得很難以想像
[00:00:58.000 --> 00:01:01.000]  因為我們從第一天開始接觸這些書卷
[00:01:01.000 --> 00:01:03.000]  我們就是在哪裡接觸?
[00:01:03.000 --> 00:01:07.000]  就是在那本厚厚的聖經裡面去看到這些書信
[00:01:07.000 --> 00:01:10.000]  我們很難想像他們在歷史之中原來曾幾何時
[00:01:10.000 --> 00:01:12.000]  真的是一封信來的
[00:01:12.000 --> 00:01:18.000]  但是對於一開始一世紀教會的信徒來說
[00:01:18.000 --> 00:01:22.000]  這些書信就是確確實實的一封信
[00:01:22.000 --> 00:01:25.000]  這些信譬如寄給一個地方教會的信
[00:01:25.000 --> 00:01:27.000]  好像今天的哥林多厚書
[00:01:27.000 --> 00:01:30.000]  它是不是給這些信徒各自帶回家
[00:01:30.000 --> 00:01:32.000]  在家裡慢慢看
[00:01:32.000 --> 00:01:35.000]  大家知不知道這些書信是怎樣的?
[00:01:35.000 --> 00:01:38.000]  這些書信會在譬如今天
[00:01:38.000 --> 00:01:42.000]  它就會在哥林多教會的信徒他們聚集的時候
[00:01:42.000 --> 00:01:43.000]  聚會的時候
[00:01:43.000 --> 00:01:46.000]  會有人在他們面前大聲去中毒
[00:01:46.000 --> 00:01:49.000]  這封寄給他們的信
[00:01:49.000 --> 00:01:53.000]  讓信的內容可以給整個的群體聽得到
[00:01:53.000 --> 00:01:55.000]  之後這些書信又會流傳
[00:01:55.000 --> 00:01:58.000]  傳到去附近其他地方的教會
[00:01:58.000 --> 00:02:00.000]  去養他們都能夠中毒
[00:02:00.000 --> 00:02:01.000]  能夠藉著這些書信
[00:02:01.000 --> 00:02:04.000]  在其他教會都一起有教益
[00:02:04.000 --> 00:02:07.000]  所以對於初代教會的信徒來說
[00:02:07.000 --> 00:02:11.000]  當他們聆聽哥林多教書
