
[00:00:00.000 --> 00:00:07.680]  我今天的講題是《亂世中追隨基督,活出一個真正敬拜的生命》
[00:00:07.680 --> 00:00:12.880]  今年我在述水堂講了一系列《約翰福音》
[00:00:12.880 --> 00:00:15.040]  當我越研究越去看
[00:00:15.040 --> 00:00:18.800]  我覺得就越心被它打動
[00:00:18.800 --> 00:00:20.960]  因為實在是很豐富
[00:00:20.960 --> 00:00:25.680]  約翰是最後一位離世的仕途
[00:00:25.680 --> 00:00:28.880]  實理論上是叫做最後一位
[00:00:28.880 --> 00:00:31.120]  他其實整合了很多
[00:00:31.120 --> 00:00:35.360]  也看見了很多在他們整個宗教上的發展
[00:00:35.360 --> 00:00:37.520]  還有多少人離世等等
[00:00:37.520 --> 00:00:39.520]  其實他經歷了很多事情
[00:00:39.520 --> 00:00:44.480]  他整合了用他所看到所見到的
[00:00:44.480 --> 00:00:47.920]  所以在《約翰福音》裡面有些東西是很獨特的
[00:00:47.920 --> 00:00:49.760]  其他書卷可能沒有的
[00:00:49.760 --> 00:00:54.080]  特別我們經常都記得那些《七個我事》
[00:00:54.080 --> 00:00:55.520]  就記得這個可能
[00:00:55.520 --> 00:00:56.560]  但是不止的
[00:00:56.560 --> 00:00:59.520]  還有很多很多很寶貴的東西
[00:00:59.520 --> 00:01:05.440]  他特別多對話
[00:01:05.440 --> 00:01:09.200]  而且對話仔細到面對面跟那個人說
[00:01:09.200 --> 00:01:11.920]  然後轉化他生命的對話
[00:01:11.920 --> 00:01:14.000]  今天我要講的其中一個
[00:01:14.000 --> 00:01:19.520]  耶穌怎樣轉化這個撒瑪利亞婦人的經歷
[00:01:19.520 --> 00:01:23.200]  我覺得令我都很深體會
[00:01:23.200 --> 00:01:26.960]  雖然這個世界可以很紛亂
[00:01:26.960 --> 00:01:29.920]  又或者我們的人心裡面自己很紛亂
[00:01:29.920 --> 00:01:31.040]  為著各樣的事情
[00:01:31.040 --> 00:01:33.600]  令我們都不知道自己的焦點在哪裡
[00:01:33.600 --> 00:01:36.400]  但是當我看這段經文的時候
[00:01:36.400 --> 00:01:42.480]  我體會到耶穌對撒瑪利亞婦人
[00:01:42.480 --> 00:01:45.600]  那種生命上的改變
[00:01:45.600 --> 00:01:50.720]  可能其實連這個女人都不知道自己想要什麼
[00:01:50.720 --> 00:01:51.840]  很多人都是的
[00:01:51.840 --> 00:01:54.400]  回到教會其實不知道真正想要什麼
[00:01:54.400 --> 00:01:56.640]  我們來敬拜我們不知道想要什麼
[00:01:56.640 --> 00:01:58.240]  其實都不知道的
[00:01:58.240 --> 00:02:00.480]  這個女人可能連她自己
[00:02:00.480 --> 00:02:03.040]  究竟是有什麼需要都不知道
[00:02:03.040 --> 00:02:07.360]  因為實在她是社會裡面很底層的人
[00:02:07.360 --> 00:02:11.040]  是一個很可憐的人
[00:02:11.040 --> 00:02:13.920]  一個連她自己都不知道自己想怎樣
[00:02:13.920 --> 00:02:16.240]  每天好像一個活死人那樣走來走去
[00:02:16.240 --> 00:02:19.680]  只是為了飲食生存
[00:02:19.680 --> 00:02:22.000]  當我一直說她的身份和背景的時候
[00:02:22.000 --> 00:02:25.600]  你更加體會有五個丈夫的人
[00:02:25.600 --> 00:02:29.840]  大家理解其實女人在當時的社會世界
[00:02:29.840 --> 00:02:31.200]  是沒有什麼價值的
[00:02:31.200 --> 00:02:35.360]  是一個很不受人尊重
[00:02:35.360 --> 00:02:36.800]  甚至是一個奴隸
[00:02:36.800 --> 00:02:38.480]  究竟她怎樣走過
[00:02:38.480 --> 00:02:40.720]  還有怎樣被耶穌去激勵呢
[00:02:40.720 --> 00:02:42.640]  我們今天一起嘗試去看
[00:02:42.640 --> 00:02:44.960]  從她當中也體會
[00:02:44.960 --> 00:02:49.280]  上帝要怎樣扭轉她的敬拜和信仰的部分
[00:02:49.280 --> 00:02:51.440]  我們一起禱告
[00:02:51.440 --> 00:02:53.520]  我們的天父我們謝謝你
[00:02:53.520 --> 00:02:57.600]  謝謝你讓我們一起在這裡敬拜讚美你
[00:02:57.600 --> 00:02:59.920]  主人實在我們有時候都不知道自己要什麼
[00:02:59.920 --> 00:03:03.040]  許我們好像這個撒瑪利亞婦人一樣
[00:03:03.040 --> 00:03:05.680]  我們可能為了我們的生活去奔波
[00:03:05.680 --> 00:03:10.080]  我們為了我們的一些情感和喜好
[00:03:10.080 --> 00:03:11.280]  我們會心煩
[00:03:11.280 --> 00:03:13.280]  我們可能在靈性上面
[00:03:13.280 --> 00:03:15.840]  未有一種和上帝接軌的地方
[00:03:15.840 --> 00:03:17.920]  願主你開通我們的心思
[00:03:17.920 --> 00:03:20.720]  叫我們在其中經歷上帝你自己的提醒
[00:03:20.720 --> 00:03:22.400]  經歷上帝你自己的塗濁
[00:03:22.400 --> 00:03:24.480]  祈禱奉主耶穌基督的名及
[00:03:24.480 --> 00:03:26.480]  阿們
[00:03:26.480 --> 00:03:31.600]  《聖經》裡面一開始就提及到
[00:03:31.600 --> 00:03:34.560]  有些部分我沒有跟大家一起看
[00:03:34.560 --> 00:03:38.320]  因為整張書都講這件事
[00:03:38.320 --> 00:03:40.080]  雖然我記錄了四節
[00:03:40.080 --> 00:03:44.160]  將整張書最重要的部分記錄出來
[00:03:44.160 --> 00:03:46.160]  記錄出來很重要的部分
[00:03:46.160 --> 00:03:51.920]  但其實一開始耶穌真的很厲害
[00:03:51.920 --> 00:03:56.640]  祂用一個當時巴勒斯坦地
[00:03:56.640 --> 00:03:58.640]  當日的聖經世界裡面
[00:03:58.640 --> 00:04:03.280]  最緊張最重視的一個關於水的問題
[00:04:03.280 --> 00:04:05.600]  今天我們也會重視水的問題
[00:04:05.600 --> 00:04:08.560]  不是錢的水
[00:04:08.560 --> 00:04:10.560]  是真的可以喝的水
[00:04:10.560 --> 00:04:13.120]  討論一個水的問題
[00:04:13.120 --> 00:04:16.720]  當日來說是很重要的 打一場仗也是為了一個井
[00:04:16.720 --> 00:04:22.000]  你看希西加王引水進城
[00:04:22.000 --> 00:04:24.560]  才可以避過戰役 就是這個原因
[00:04:24.560 --> 00:04:27.680]  你看他黃沙遍野 只是石頭
[00:04:27.680 --> 00:04:29.200]  水也不多滴
[00:04:29.200 --> 00:04:34.160]  所以水對他們是很重要的事
[00:04:34.160 --> 00:04:36.560]  特別有沙欖 還在小山丘上
[00:04:36.560 --> 00:04:37.920]  是要命的
[00:04:37.920 --> 00:04:43.200]  直到今天水對他們來說是一個很重要的課題
[00:04:43.200 --> 00:04:48.000]  猶太人現在已經服了國幾十年
[00:04:48.000 --> 00:04:50.960]  他們搞很多海水化淡
[00:04:50.960 --> 00:04:53.840]  還有一些水源 或者一些省水種植
[00:04:53.840 --> 00:04:54.960]  很多這些東西
[00:04:54.960 --> 00:04:57.280]  甚至他們還賣水
[00:04:57.280 --> 00:04:59.680]  做到可以賣水給別人
[00:04:59.680 --> 00:05:01.520]  鄰近的國家戰敵
[00:05:01.520 --> 00:05:05.760]  所謂敵國 你知道周圍虎視眈眈
[00:05:05.760 --> 00:05:10.080]  服了國之後 很多人虎視眈眈
[00:05:10.080 --> 00:05:16.320]  還要賣水 賣水給他之類的
[00:05:16.320 --> 00:05:20.160]  所以水對他們來說是很重要
[00:05:20.160 --> 00:05:23.040]  對那個地方 對這個婦女更加重要
[00:05:23.040 --> 00:05:28.000]  這個婦女在中午十二點
[00:05:28.000 --> 00:05:32.400]  很熱的時候才出來拿水
[00:05:32.400 --> 00:05:35.440]  其實耶穌很清楚他要些什麼
[00:05:35.440 --> 00:05:39.280]  可能這個女人連自己都不知道自己要些什麼
[00:05:39.280 --> 00:05:40.640]  但是耶穌知道
[00:05:40.640 --> 00:05:42.640]  所以耶穌千里迢迢
[00:05:42.640 --> 00:05:46.240]  從一個其實他沒有需要走過那條路
[00:05:46.240 --> 00:05:49.680]  故意繞路都繞到最佳的地方
[00:05:49.680 --> 00:05:53.520]  就為了遇見這個女士
[00:05:53.520 --> 00:05:57.200]  還有跟她講述這個信仰各樣的東西
[00:05:57.200 --> 00:05:59.840]  要扭轉她的生命
[00:05:59.840 --> 00:06:03.760]  這個女士 大家可能在印象裡面
[00:06:03.760 --> 00:06:07.040]  一提起撒瑪麗 井旁的婦人
[00:06:07.040 --> 00:06:08.880]  就一定想起她
[00:06:08.880 --> 00:06:11.200]  又會記得她有很多個老公
[00:06:11.200 --> 00:06:14.400]  那些東西 可能多數是記得這些東西
[00:06:14.400 --> 00:06:18.720]  可能其實連她自己要些什麼都不知道
[00:06:18.720 --> 00:06:20.240]  每天可能行屍走肉
[00:06:20.240 --> 00:06:23.840]  因為她真的是社會裡面最底層的人
[00:06:23.840 --> 00:06:29.120]  當日的女人在聖經世界裡面是沒有地位的
[00:06:29.120 --> 00:06:30.720]  好像奴隸一樣
[00:06:30.720 --> 00:06:34.160]  你想一下 她還有五個丈夫
[00:06:34.160 --> 00:06:35.280]  耶穌說她
[00:06:35.280 --> 00:06:37.920]  她說現在那個不是
[00:06:37.920 --> 00:06:40.080]  即是其實她可能有六個
[00:06:40.080 --> 00:06:42.400]  通常為什麼會可以這樣呢
[00:06:42.400 --> 00:06:46.480]  一 那些老公當然死了
[00:06:46.480 --> 00:06:48.800]  可能死了 再嫁
[00:06:48.800 --> 00:06:52.640]  但是另一個原因就是被人幽妻
[00:06:52.640 --> 00:06:54.320]  你知道什麼都可以幽
[00:06:54.320 --> 00:06:55.360]  煮一頓飯
[00:06:55.360 --> 00:06:57.920]  總之不喜歡她就可以幽她
[00:06:57.920 --> 00:07:02.400]  所以我們不要學
[00:07:02.400 --> 00:07:06.000]  如果不是這些
[00:07:06.000 --> 00:07:06.640]  那即是怎樣
[00:07:06.640 --> 00:07:08.080]  生活可能很逼人
[00:07:08.080 --> 00:07:09.040]  生活很逼人
[00:07:09.040 --> 00:07:10.320]  那即是做什麼
[00:07:10.320 --> 00:07:11.200]  妓女
[00:07:11.200 --> 00:07:12.480]  你說她底不底層
[00:07:12.480 --> 00:07:13.760]  很底層
[00:07:13.760 --> 00:07:15.040]  她不想被人知道
[00:07:15.040 --> 00:07:16.320]  不想被人見
[00:07:16.320 --> 00:07:17.440]  不想別人問
[00:07:17.440 --> 00:07:19.600]  因為很痛苦
[00:07:19.600 --> 00:07:21.920]  所以她要中午出來去打水
[00:07:21.920 --> 00:07:24.960]  這個就是她所面對每一天
[00:07:24.960 --> 00:07:28.160]  去續命的一個生活方式
