
[00:00:00.000 --> 00:00:05.440]  今天和大家分享的經文是在《事之記》第四章
[00:00:05.440 --> 00:00:06.760]  我的題目是
[00:00:06.760 --> 00:00:10.440]  「勇敢承擔使命的底波拉」
[00:00:10.440 --> 00:00:14.560]  在昨天的新聞裏
[00:00:14.560 --> 00:00:16.520]  我看到一則新聞
[00:00:16.520 --> 00:00:19.000]  講到南丁格爾
[00:00:19.000 --> 00:00:23.120]  這個所謂提燈的天子
[00:00:23.120 --> 00:00:25.880]  也是醫護的典範
[00:00:25.880 --> 00:00:29.840]  但我想大家再一次聚焦
[00:00:29.840 --> 00:00:34.480]  南丁格爾所處的世代或年代
[00:00:34.480 --> 00:00:39.560]  其實是一個非常不容易的時間
[00:00:39.560 --> 00:00:40.840]  作爲護士
[00:00:40.840 --> 00:00:47.600]  今天好像是挺被人尊崇的一個工作
[00:00:47.600 --> 00:00:49.880]  但是昔日
[00:00:49.880 --> 00:00:55.480]  護士在社會地位和形象上其實是很低微的
[00:00:55.480 --> 00:00:58.200]  是一些基層的女性爲了要賺錢
[00:00:58.200 --> 00:01:02.840]  才肯做這些所謂污穢的工作
[00:01:02.840 --> 00:01:06.200]  但南丁格爾依然是很堅持
[00:01:06.200 --> 00:01:09.560]  她這份從上而來的照命
[00:01:09.560 --> 00:01:11.320]  在戰亂的年代
[00:01:11.320 --> 00:01:14.760]  承擔起使命走進戰地醫院
[00:01:14.760 --> 00:01:17.080]  來照顧傷兵
[00:01:17.080 --> 00:01:18.600]  1853年
[00:01:18.600 --> 00:01:21.480]  克里米亞戰的裏邊
[00:01:21.480 --> 00:01:24.760]  率領了38個護士
[00:01:24.760 --> 00:01:29.320]  去到戰場救死扶傷
[00:01:29.320 --> 00:01:34.040]  42%的死亡率下降到2%
[00:01:34.040 --> 00:01:40.600]  是一個非常文明的提燈天使
[00:01:40.600 --> 00:01:45.880]  她當然是關心在戰地醫院裏邊病牀的病人和傷兵
[00:01:45.880 --> 00:01:48.880]  但她更加關心的是
[00:01:48.880 --> 00:01:54.040]  整個環境的公共衛生情況
[00:01:54.040 --> 00:02:01.640]  例如光線、水源、廁所、去水渠
[00:02:01.640 --> 00:02:04.440]  或者整間醫院的設計等等
[00:02:04.440 --> 00:02:08.520]  所以她竭而不捨花了很長的時間和心力
[00:02:08.520 --> 00:02:13.440]  來做資料蒐集、數據的統計
[00:02:13.440 --> 00:02:15.880]  爲了要遊說政府和軍方
[00:02:15.880 --> 00:02:20.280]  減少病患傷亡人數、截斷感染
[00:02:20.280 --> 00:02:23.560]  減低病情惡化的方案是什麼呢?
[00:02:23.560 --> 00:02:27.400]  是要醫療改革的制度
[00:02:27.400 --> 00:02:30.320]  和改善公共衛生的情況
[00:02:30.320 --> 00:02:34.480]  所以洗手洗手洗手不是今天才說的
[00:02:34.480 --> 00:02:36.600]  在南丁格爾的年代
[00:02:36.600 --> 00:02:39.000]  其實已經要說公共衛生
[00:02:39.000 --> 00:02:45.160]  我們要留心清潔
[00:02:45.160 --> 00:02:48.800]  勇敢承擔使命的底波拉
[00:02:48.800 --> 00:02:51.760]  我們今天會看一段經文
[00:02:51.760 --> 00:02:53.440]  讓我讀出這段經文
[00:02:53.440 --> 00:02:58.120]  「已不死後,以色列人又行耶和華眼中看爲惡的事
[00:02:58.120 --> 00:03:03.640]  耶和華把他們交給在下所作王的加南王耶賓手中
[00:03:03.640 --> 00:03:08.840]  他將軍事細細拉住在哈羅切哈哥人
[00:03:08.840 --> 00:03:10.240]  以色列人呼求耶和華
[00:03:10.240 --> 00:03:13.880]  因爲耶賓王有鐵的戰車九百兩
[00:03:13.880 --> 00:03:17.760]  並且殘酷欺壓以色列人二十年
[00:03:17.760 --> 00:03:21.280]  因爲他先知底波拉是拉比多的妻子
[00:03:21.280 --> 00:03:23.640]  當時做以色列的寺師
[00:03:23.640 --> 00:03:28.400]  她住在以法連山區拉瑪和伯特利的中間
[00:03:28.400 --> 00:03:30.480]  在底波拉的中屬下
[00:03:30.480 --> 00:03:34.040]  以色列人都想到她那裏去聽審判
[00:03:34.040 --> 00:03:38.440]  她派人從拿伐塔利的基底斯
[00:03:38.440 --> 00:03:44.680]  將阿比拉暗的兒子巴拉召來對她說
[00:03:44.680 --> 00:03:46.080]  耶和華以色列的神
[00:03:46.080 --> 00:03:52.480]  吩咐你率領一萬拿伐塔利人和西布倫人上他樸山去
[00:03:52.480 --> 00:03:55.800]  我必使耶賓的將軍細細拉
[00:03:55.800 --> 00:04:00.840]  率領他的戰車和全軍往基順河到你那裏去
[00:04:00.840 --> 00:04:03.960]  我必把他交在你手中
[00:04:03.960 --> 00:04:05.280]  巴拉對她說
[00:04:05.280 --> 00:04:06.760]  你若同我去我就去
[00:04:06.760 --> 00:04:09.400]  你若不同我去我就不去
[00:04:09.400 --> 00:04:10.240]  底波拉說
[00:04:10.240 --> 00:04:12.240]  我一定會與你同去
[00:04:12.240 --> 00:04:16.480]  然而你在所行的路上必得不着榮耀
[00:04:16.480 --> 00:04:20.280]  因爲耶和華要把西西拉交給一個故人的手裏
[00:04:20.280 --> 00:04:25.480]  於是底波拉起來與巴拉一同往基底斯去了
[00:04:25.480 --> 00:04:27.360]  底波拉對巴拉說
[00:04:27.360 --> 00:04:27.880]  起來
[00:04:27.880 --> 00:04:32.000]  今日就是耶和華把西西拉交在你手中的日子
[00:04:32.000 --> 00:04:35.880]  耶和華豈不在你前面行嗎?
[00:04:35.880 --> 00:04:38.200]  於是巴拉下了他樸山
[00:04:38.200 --> 00:04:41.280]  跟隨他的人有一萬人
[00:04:41.280 --> 00:04:46.240]  耶和華指西西拉和他一切的戰車以及全軍饋亂
[00:04:46.240 --> 00:04:48.760]  在巴拉麪前倒在刀下
[00:04:48.760 --> 00:04:51.920]  西西拉下了車逃步逃跑
[00:04:51.920 --> 00:04:56.480]  巴拉追趕戰車軍隊直到下落前下個人
[00:04:56.480 --> 00:04:59.440]  西西拉的全軍都倒在刀下
[00:04:59.440 --> 00:05:02.920]  一個也沒有留下
[00:05:02.920 --> 00:05:06.400]  那日神在以色列人面前制服了加南王耶賓
[00:05:06.400 --> 00:05:11.360]  從此以色列人的手對加南王耶賓越來越強硬
[00:05:11.360 --> 00:05:16.400]  直到將加南王耶賓剪除
[00:05:16.400 --> 00:05:22.120]  當以色列民進入加南的時間
[00:05:22.120 --> 00:05:25.240]  一個完全不同信仰文化的社會
[00:05:25.240 --> 00:05:30.720]  他們很快就失卻了作爲神子民的獨特性
[00:05:30.720 --> 00:05:36.480]  受到加南的文化衝擊和影響 道德腐敗
[00:05:36.480 --> 00:05:39.720]  信仰上他們去拜巴黎
[00:05:39.720 --> 00:05:44.440]  如果想封條語信連生貴子就拜巴黎
[00:05:44.440 --> 00:05:46.880]  因爲巴黎是一個生殖神
[00:05:46.880 --> 00:05:50.400]  是一個太陽神 甚至是暴風雨神
[00:05:50.400 --> 00:05:52.480]  與加南人混雜通婚
[00:05:52.480 --> 00:05:54.520]  跌入邪淫的陷阱
[00:05:54.520 --> 00:05:57.600]  靈性敗壞 不能自拔
[00:05:57.600 --> 00:05:58.760]  幾十年的時間
[00:05:58.760 --> 00:06:03.080]  溫水煮蛙 生命越來越加南化
[00:06:03.080 --> 00:06:04.840]  當我們看這幅圖時
[00:06:04.840 --> 00:06:06.240]  事司的循環
[00:06:06.240 --> 00:06:10.080]  其實整個時事記都是在這個循環裏面
[00:06:10.080 --> 00:06:12.920]  百姓犯罪 激怒神
[00:06:12.920 --> 00:06:16.720]  神將他們交在仇敵的手裏
[00:06:16.720 --> 00:06:17.760]  仇敵的欺壓
[00:06:17.760 --> 00:06:19.200]  然後百姓就呼救神
[00:06:19.200 --> 00:06:20.800]  神救我們
[00:06:20.800 --> 00:06:22.840]  神拯救他們
[00:06:22.840 --> 00:06:24.920]  就有太平的時期
[00:06:24.920 --> 00:06:28.320]  事司就死亡
[00:06:28.320 --> 00:06:30.480]  在這個循環的裏面
[00:06:30.480 --> 00:06:34.440]  同樣底波拉
[00:06:34.440 --> 00:06:38.600]  是被神興起來拯救以色列民
[00:06:38.600 --> 00:06:42.560]  以色列民當時被加南人欺壓
[00:06:42.560 --> 00:06:47.120]  二十年那麼長的時間
[00:06:47.120 --> 00:06:51.920]  究竟當時是在發生什麼事情呢?
[00:06:51.920 --> 00:06:53.760]  三千多年前
[00:06:53.760 --> 00:06:57.640]  在加南王朝這個邪惡的耶賓政權底下
[00:06:57.640 --> 00:07:03.240]  有一個很勇猛殘忍的將軍叫做西西拉
[00:07:03.240 --> 00:07:06.960]  他統管無堅不摧的九百架鐵戰車
[00:07:06.960 --> 00:07:10.760]  這些軍備足以慘平整個耶穌列平原
[00:07:10.760 --> 00:07:13.960]  他也是加南和菲律賓聯軍的首領
[00:07:13.960 --> 00:07:19.120]  住在那裏的以色列民是非常非常痛苦
[00:07:19.120 --> 00:07:20.520]  生活很困苦
[00:07:20.520 --> 00:07:22.440]  被壓制不止兩天
[00:07:22.440 --> 00:07:24.440]  是二十年那麼久
[00:07:24.440 --> 00:07:31.320]  他們呼求神,神就使用一位女法官來拯救他們
[00:07:31.320 --> 00:07:34.520]  他老遠從北部召來巴拉將軍
[00:07:34.520 --> 00:07:35.800]  鼓勵他們出戰
[00:07:35.800 --> 00:07:38.360]  在軍備極之懸殊的底下
[00:07:38.360 --> 00:07:40.560]  神使用大自然的力量
[00:07:40.560 --> 00:07:43.480]  使敵軍的鐵車無用武之地
[00:07:43.480 --> 00:07:48.040]  以色列軍下山將他們殺個片甲不留
[00:07:48.040 --> 00:07:51.000]  神更加用一個婦人
[00:07:51.000 --> 00:07:54.760]  將一代梟雄細細拉剪除
[00:07:54.760 --> 00:07:58.080]  終止了這個邪惡的耶賓政權
[00:07:58.080 --> 00:08:03.440]  究竟底波拉是誰?
[00:08:03.440 --> 00:08:06.160]  其實在第四節和第五節裏
[00:08:06.160 --> 00:08:07.280]  我們已經看到
[00:08:07.280 --> 00:08:08.560]  她是一個仙姿
[00:08:08.560 --> 00:08:10.240]  是神的代言人
[00:08:10.240 --> 00:08:14.560]  她比較女仙姿的篇幅是非常多的
[00:08:14.560 --> 00:08:22.080]  有第四章和第五章的篇幅來講底波拉
[00:08:22.080 --> 00:08:24.640]  底波拉這個名字是有意思的
[00:08:24.640 --> 00:08:26.880]  是密封的意思
[00:08:26.880 --> 00:08:29.560]  她是拉比多的老婆
[00:08:29.560 --> 00:08:31.400]  是一個已婚的婦人
[00:08:31.400 --> 00:08:33.920]  沒有說她有沒有子女
[00:08:33.920 --> 00:08:40.240]  但基本上可能她的子女都已經成長了
[00:08:40.240 --> 00:08:42.640]  不用她照顧
[00:08:42.640 --> 00:08:46.920]  她是一個相繼的女性
[00:08:46.920 --> 00:08:48.400]  拉比多之妻
[00:08:48.400 --> 00:08:55.240]  也是反映着她好像我們華人
[00:08:55.240 --> 00:09:02.160]  她是志強的太太
[00:09:02.160 --> 00:09:04.720]  太太也有個名字
[00:09:04.720 --> 00:09:12.080]  似乎就是有一個好像附屬的意思
[00:09:12.080 --> 00:09:13.320]  她有治理的恩賜
[00:09:13.320 --> 00:09:17.840]  因爲當時已經在治理以色列人
[00:09:17.840 --> 00:09:20.800]  神肯定她有這方面的恩賜
[00:09:20.800 --> 00:09:23.000]  有這方面的屬靈的恩賜
[00:09:23.000 --> 00:09:26.240]  她沒有受過任何的軍事訓練
[00:09:26.240 --> 00:09:27.640]  經文沒有提及過
[00:09:27.640 --> 00:09:32.160]  她之前沒有參與過任何的戰事
[00:09:32.160 --> 00:09:36.040]  神看她有這方面的恩賜的時間
[00:09:36.040 --> 00:09:37.880]  神就揀選她
[00:09:37.880 --> 00:09:38.680]  使用她
[00:09:38.680 --> 00:09:42.440]  就好像上文第三章所講的
