
[00:00:00.000 --> 00:00:02.000]  各位電影姊妹,平安!
[00:00:02.000 --> 00:00:07.200]  感謝神來讓我可以有機會和大家講解,分享神的話語
[00:00:07.200 --> 00:00:10.200]  很快,轉眼來到七月,下半年
[00:00:10.200 --> 00:00:14.700]  我們有一個新的講道系列,就是根據二佛所書的
[00:00:14.700 --> 00:00:18.200]  在書裏面,仕途保羅提醒我們神的心意
[00:00:18.200 --> 00:00:22.900]  就是要讓萬有在基督裏面同歸於一
[00:00:22.900 --> 00:00:25.600]  教會是基督的身體,而我們信徒
[00:00:25.600 --> 00:00:28.400]  亦都連繫於我們的元首耶穌基督
[00:00:28.400 --> 00:00:32.600]  一起在愛裏面和真理裏面彼此建立
[00:00:32.600 --> 00:00:37.000]  以致我們能夠活出與蒙召的因相稱的生命
[00:00:37.000 --> 00:00:39.600]  並且我們有力去實踐信仰
[00:00:39.600 --> 00:00:43.000]  活出一個具感染力的門徒生命
[00:00:43.000 --> 00:00:45.800]  今天我和大家開頭看的
[00:00:45.800 --> 00:00:51.200]  就是二佛所書第一章,頭半章一到十四節
[00:00:51.200 --> 00:00:57.600]  我選的主題是蒙恩蒙福,活出使命
[00:00:57.600 --> 00:01:01.000]  各位,當我們想到福氣的時候
[00:01:01.000 --> 00:01:05.000]  不知道你通常會想起什麼呢?
[00:01:05.000 --> 00:01:11.200]  身體健康,家庭平安,工作順利,兒女聽話
[00:01:11.200 --> 00:01:16.100]  做學生的讀書有成,做工的經濟穩定,希望生活無憂
[00:01:16.100 --> 00:01:19.200]  對於香港人來說,可能還包括要有個安樂窩
[00:01:19.200 --> 00:01:21.900]  有足夠的積蓄,不單止照顧到自己
[00:01:21.900 --> 00:01:26.000]  還要照顧家人,退休不用太擔心
[00:01:26.000 --> 00:01:31.400]  這些都是很平常我們會想起有福的表現
[00:01:31.400 --> 00:01:33.600]  但是保羅在二佛所書裡面
[00:01:33.600 --> 00:01:37.600]  給我們看見一種更加深、更加闊
[00:01:37.600 --> 00:01:41.900]  也都是不能夠被環境奪去的福氣
[00:01:41.900 --> 00:01:45.000]  而這份福氣,保羅所說的
[00:01:45.000 --> 00:01:48.100]  是天上各樣屬靈的福氣
[00:01:48.100 --> 00:01:49.500]  而他寫這封信的時候
[00:01:49.500 --> 00:01:55.000]  其實他是因為全福的緣故被囚在監獄當中
[00:01:55.000 --> 00:02:00.400]  但是他仍然願眾讚榮耀,歸月神這樣寫出來的時候
[00:02:00.400 --> 00:02:03.500]  給人看到他心目中的福氣
[00:02:03.500 --> 00:02:06.900]  並不是由所身處的環境決定的
[00:02:06.900 --> 00:02:11.700]  而是我們在基督裡面的身份決定
[00:02:11.700 --> 00:02:14.600]  而修信的教會,二佛所
[00:02:14.600 --> 00:02:18.300]  在當時也是一個枯雪繁華
[00:02:18.300 --> 00:02:22.300]  也是拜偶像的氣氛很濃厚的城市
[00:02:22.300 --> 00:02:27.800]  在史瓦西亞,現在土耳其,重要的商業書樓
[00:02:27.800 --> 00:02:30.600]  也最聞名的是他們的神廟
[00:02:30.600 --> 00:02:32.800]  阿底米女神的廟
[00:02:32.800 --> 00:02:34.800]  《士郎傳》第十個章記載
[00:02:34.800 --> 00:02:37.200]  保羅在二佛所傳到
[00:02:37.200 --> 00:02:39.100]  福音的能力甚至影響到
[00:02:39.100 --> 00:02:42.000]  那些靠製造偶像謀生的人
[00:02:42.000 --> 00:02:44.700]  去發動騷亂要處理保羅
[00:02:44.700 --> 00:02:46.700]  而這個二佛所劇院
[00:02:46.700 --> 00:02:48.900]  中文聖經他們翻譯為遊戲園
[00:02:48.900 --> 00:02:52.300]  就是這個引致騷動的地方,聚集的地方
[00:02:52.300 --> 00:02:54.800]  當然現在是一個遺址
[00:02:54.800 --> 00:02:58.000]  在這裡也讓我想起十年前左右的時間
[00:02:58.000 --> 00:03:02.300]  我去內地的西北地方探望宣教士
[00:03:02.300 --> 00:03:04.900]  去到一個藏傳佛教的地區
[00:03:04.900 --> 00:03:07.000]  在他最重要的廟宇建築群裡面
[00:03:07.000 --> 00:03:08.300]  有一條大街
[00:03:08.300 --> 00:03:10.800]  那種場景兩邊都滿佈著那些
[00:03:10.800 --> 00:03:13.600]  他們製造法器的店舖
[00:03:13.600 --> 00:03:17.500]  那些敲打的聲音,各種製造的聲音
[00:03:17.500 --> 00:03:20.900]  馬上讓我聯想到這個龐大的產業鏈
[00:03:20.900 --> 00:03:22.600]  好像保羅當日在二佛所
[00:03:22.600 --> 00:03:24.200]  在這樣的環境當中
[00:03:24.200 --> 00:03:26.000]  夠膽去傳福音
[00:03:26.000 --> 00:03:29.000]  那也難免會引起騷動
[00:03:29.000 --> 00:03:32.700]  二佛所信徒就在這個環境當中掙扎
[00:03:32.700 --> 00:03:34.900]  在各樣的商業繁華當中
[00:03:34.900 --> 00:03:40.100]  有文化也有強烈的拜偶像的價值觀裡面
[00:03:40.100 --> 00:03:42.400]  但是他們怎樣去自處呢?
[00:03:42.400 --> 00:03:45.000]  信徒的福氣是不是由他們的成就
[00:03:45.000 --> 00:03:48.900]  財富或者是賀力職位來決定呢?
[00:03:48.900 --> 00:03:53.200]  讓我們先讀一讀二佛所書一章三到六節
[00:03:53.200 --> 00:03:54.400]  預備起
[00:03:54.400 --> 00:03:58.300]  願眾讚歸於我們主耶穌基督的父神
[00:03:58.300 --> 00:04:00.600]  他在基督裡曾賜給我們
[00:04:00.600 --> 00:04:03.200]  天上各樣屬靈的福氣
[00:04:03.200 --> 00:04:06.000]  就如神從創立世界以前
[00:04:06.000 --> 00:04:08.600]  在基督裡揀選了我們
[00:04:08.600 --> 00:04:11.700]  使我們在他面前勝為聖潔
[00:04:11.700 --> 00:04:13.800]  無有瑕疵
[00:04:13.800 --> 00:04:15.100]  有恩愛我們
[00:04:15.100 --> 00:04:18.400]  就按著自己的意旨所喜悅的
[00:04:18.400 --> 00:04:19.400]  預定我們
[00:04:19.400 --> 00:04:22.900]  藉著耶穌基督得而至的名分
[00:04:22.900 --> 00:04:26.200]  使他榮耀的恩典得著稱讚
[00:04:26.200 --> 00:04:30.900]  這恩典是他在愛子女所賜給我們的
[00:04:30.900 --> 00:04:32.500]  在我繼續和大家講解之前
[00:04:32.500 --> 00:04:35.300]  讓我們一起有祈禱
[00:04:35.300 --> 00:04:37.700]  天父上帝我們感謝祢
[00:04:37.700 --> 00:04:40.200]  因為祢已經將天上各樣屬靈的福氣
[00:04:40.200 --> 00:04:41.700]  賜給我們
[00:04:41.700 --> 00:04:44.900]  求祢藉著聖靈開啟我們心裡面的眼睛
[00:04:44.900 --> 00:04:48.700]  讓我們不單止了解自己已經蒙了多大的恩典
[00:04:48.700 --> 00:04:49.700]  更加明白
[00:04:49.700 --> 00:04:51.600]  祢呼召我們要成為怎樣的人
[00:04:51.600 --> 00:04:53.100]  去過怎樣的生活
[00:04:53.100 --> 00:04:54.400]  承擔使命
[00:04:54.400 --> 00:04:57.200]  我們祈禱奉我主耶穌基督的聖名祈求
[00:04:57.200 --> 00:04:59.500]  阿門
[00:04:59.500 --> 00:05:02.300]  剛才保羅在第三節一開頭所講
[00:05:02.300 --> 00:05:05.300]  願眾讚歸於我們主耶穌基督的父神
