
[00:00:00.000 --> 00:00:03.000]  各位弟兄姊妹 各位大朋友 小朋友
[00:00:03.000 --> 00:00:09.000]  我們感謝神 因為神賜下愛心在我們的家庭裏面
[00:00:09.000 --> 00:00:13.000]  的確在家庭裏面有些時候我們不懂得去愛
[00:00:13.000 --> 00:00:16.000]  但是神是我們的愛的源頭
[00:00:16.000 --> 00:00:19.000]  我們都真的見到有很多的家庭
[00:00:19.000 --> 00:00:23.000]  在神的恩典裏面 他們學習去愛
[00:00:23.000 --> 00:00:26.000]  而見到生命的改變 家庭的改變
[00:00:26.000 --> 00:00:31.000]  我不知道你肯不肯聽我建議
[00:00:31.000 --> 00:00:34.000]  你身邊可能坐著一些家人
[00:00:34.000 --> 00:00:38.000]  你不如跟他們說一聲 說什麼呢
[00:00:38.000 --> 00:00:42.000]  主耶穌愛你 我都愛你
[00:00:42.000 --> 00:00:46.000]  不要勉強
[00:00:46.000 --> 00:00:49.000]  你身邊有些弟兄姊妹的家人
[00:00:49.000 --> 00:00:53.000]  你跟他們說 主耶穌愛你 我都愛你
[00:00:56.000 --> 00:01:15.000]  主耶穌愛我們 我們都彼此相愛
[00:01:15.000 --> 00:01:17.000]  特別是我們的家庭裏面
[00:01:17.000 --> 00:01:20.000]  我們都更多學習去愛我們的家人
[00:01:20.000 --> 00:01:23.000]  今天跟大家思想一段聖經
[00:01:23.000 --> 00:01:26.000]  將其中兩個重點跟大家分享
[00:01:26.000 --> 00:01:28.000]  當我們讀聖經的時候
[00:01:28.000 --> 00:01:31.000]  正如剛才我們所提到 以法術書六章所說
[00:01:31.000 --> 00:01:33.000]  聖經第一方面提醒我們
[00:01:33.000 --> 00:01:35.000]  就是我們作子女的
[00:01:35.000 --> 00:01:40.000]  我們真的要學習去孝敬父母
[00:01:40.000 --> 00:01:42.000]  第二 如果你是作父母的
[00:01:42.000 --> 00:01:48.000]  你要留意 聖經教導我們去管理自己的家
[00:01:48.000 --> 00:01:54.000]  管理自己的家 讓家庭能夠行在神的心意裏面
[00:01:54.000 --> 00:01:56.000]  首先當我們思想到要去學習
[00:01:56.000 --> 00:01:58.000]  來孝敬父母的時候
[00:01:58.000 --> 00:02:01.000]  我們剛才讀到以法術書六章的經文
[00:02:01.000 --> 00:02:05.000]  講到「在世長壽」
[00:02:05.000 --> 00:02:09.000]  如果你思想到聖經裏面原來的出處
[00:02:09.000 --> 00:02:12.000]  在舊約聖經的十誡裏面
[00:02:12.000 --> 00:02:14.000]  其中一誡 第五誡
[00:02:14.000 --> 00:02:19.000]  就正正是講你們要孝敬父母
[00:02:19.000 --> 00:02:21.000]  當聖經講到孝敬父母的時候
[00:02:21.000 --> 00:02:25.000]  不單單是講你去聽祂的話
[00:02:25.000 --> 00:02:29.000]  當然聖經裏面再接續進一步講
[00:02:29.000 --> 00:02:32.000]  「在主裡聽從父母」
[00:02:32.000 --> 00:02:35.000]  留心在主耶穌的裏面
[00:02:35.000 --> 00:02:37.000]  在神的大原則之下
[00:02:37.000 --> 00:02:39.000]  來去聽從父母
[00:02:39.000 --> 00:02:43.000]  但無論如何你仍然是聽從父母
[00:02:43.000 --> 00:02:46.000]  聖經提到孝敬父母
[00:02:46.000 --> 00:02:48.000]  這個孝敬背後的含義
[00:02:48.000 --> 00:02:52.000]  是很清楚講出對父母的一份尊敬
[00:02:52.000 --> 00:02:54.000]  所以英文很多的聖經譯作
[00:02:54.000 --> 00:02:56.000]  Honor your parents
[00:02:56.000 --> 00:03:00.000]  那份尊敬是表示對他們那份重視
[00:03:00.000 --> 00:03:02.000]  不會輕視他們
[00:03:02.000 --> 00:03:04.000]  在舊約的時代
[00:03:04.000 --> 00:03:08.000]  有一些人當他們父母長大年紀老的時候
[00:03:08.000 --> 00:03:11.000]  他們甚至會趕逐他們離開家庭
[00:03:11.000 --> 00:03:13.000]  不再重視他們
[00:03:13.000 --> 00:03:16.000]  所以聖經在這件事上很嚴厲
[00:03:16.000 --> 00:03:19.000]  聖經在舊約的律法裏面講
[00:03:19.000 --> 00:03:21.000]  如果咒罵父母的
[00:03:21.000 --> 00:03:24.000]  就當致死他
[00:03:24.000 --> 00:03:29.000]  是很想清楚表達出一種對父母的尊敬
[00:03:29.000 --> 00:03:31.000]  是真的重視他們
[00:03:31.000 --> 00:03:33.000]  而這個尊敬裏面
[00:03:33.000 --> 00:03:38.000]  亦都包含了一種愛護和關心的含義
[00:03:38.000 --> 00:03:41.000]  是對他們一種真實的關心和愛護
[00:03:41.000 --> 00:03:43.000]  這個是孝敬
[00:03:43.000 --> 00:03:48.000]  在很多不同的弟兄姊妹的實踐生活上
[00:03:48.000 --> 00:03:50.000]  就體會到孝敬
[00:03:50.000 --> 00:03:53.000]  不單止是人倫的一種美德
[00:03:53.000 --> 00:03:56.000]  而是神對人的吩咐
[00:03:56.000 --> 00:03:58.000]  因此剛才我們讀過聖經
[00:03:58.000 --> 00:04:02.000]  你再去聖經提摩太前書第五章的時候
[00:04:02.000 --> 00:04:06.000]  你會見到聖經裏面講這件事
[00:04:06.000 --> 00:04:09.000]  就提到當時的寡婦
[00:04:09.000 --> 00:04:12.000]  如果寡婦家裏面有子女
[00:04:12.000 --> 00:04:14.000]  就不應該累著教會
[00:04:14.000 --> 00:04:19.000]  要承擔一個照顧無依的寡婦的需要
[00:04:19.000 --> 00:04:21.000]  而是自己在家庭當中
[00:04:21.000 --> 00:04:25.000]  去負擔自己父母的需要
[00:04:25.000 --> 00:04:30.000]  所以你再看第五章其中的第四節
[00:04:30.000 --> 00:04:32.000]  寡婦若有兒孫
[00:04:32.000 --> 00:04:36.000]  就應當讓兒孫先在自己家裏
[00:04:36.000 --> 00:04:38.000]  學著孝道
[00:04:38.000 --> 00:04:39.000]  報答親恩
[00:04:39.000 --> 00:04:44.000]  因為這在神面前是蒙越納的
[00:04:44.000 --> 00:04:48.000]  剛才我們講到這個是聖經裏面的第五節
[00:04:48.000 --> 00:04:50.000]  而這裏所提及的就是
[00:04:50.000 --> 00:04:51.000]  當我們這樣做的時候
