
[00:00:00.000 --> 00:00:03.040]  猶太人有一個這樣的故事
[00:00:03.040 --> 00:00:06.240]  Simon一直在一條路上走
[00:00:06.240 --> 00:00:08.800]  要尋找他的人生
[00:00:08.800 --> 00:00:12.800]  當他走到一條橋邊的時候
[00:00:12.800 --> 00:00:17.120]  有一個人拿著一條繩子向他走
[00:00:17.120 --> 00:00:18.480]  很奇怪
[00:00:18.480 --> 00:00:23.040]  這個人的樣貌和衣著竟然和Simon一模一樣
[00:00:23.040 --> 00:00:24.720]  這個人就跟Simon說
[00:00:24.720 --> 00:00:28.600]  先生 你可不可以幫我解開這條繩子
[00:00:28.600 --> 00:00:29.960]  其實很簡單
[00:00:29.960 --> 00:00:33.480]  你只要抓住這條繩子這一端
[00:00:33.480 --> 00:00:35.120]  一路向前走
[00:00:35.120 --> 00:00:36.960]  無論任何的情況
[00:00:36.960 --> 00:00:38.840]  你都不能夠放手
[00:00:38.840 --> 00:00:40.360]  這樣就可以了
[00:00:40.360 --> 00:00:43.200]  Simon覺得也是舉手之勞
[00:00:43.200 --> 00:00:44.880]  於是就答應了
[00:00:44.880 --> 00:00:48.760]  但當他一路拿著這條繩子走過橋的時候
[00:00:48.760 --> 00:00:51.280]  突然間有一個強大的拉力
[00:00:51.280 --> 00:00:53.880]  將他向後攀
[00:00:53.880 --> 00:00:55.920]  究竟發生了什麼事呢
[00:00:55.920 --> 00:00:58.240]  原來剛剛跟他說完話的這個人
[00:00:58.240 --> 00:00:59.960]  他自己跳到橋上了
[00:00:59.960 --> 00:01:01.200]  大家可以想像
[00:01:01.200 --> 00:01:03.280]  一個人拿著繩子的另一端
[00:01:03.280 --> 00:01:04.440]  當他一路跳到橋上
[00:01:04.440 --> 00:01:06.720]  Simon就一直被他拉下去
[00:01:06.720 --> 00:01:08.840]  Simon很想將他拉上來
[00:01:08.840 --> 00:01:10.520]  但是力氣不夠
[00:01:10.520 --> 00:01:11.920]  他既然拉不到他上來
[00:01:11.920 --> 00:01:15.240]  就希望將繩子的另一端綁在橋邊
[00:01:15.240 --> 00:01:18.440]  但是那個拉力實在太大了
[00:01:18.440 --> 00:01:20.080]  他沒有辦法綁住
[00:01:20.080 --> 00:01:21.640]  他想放手
[00:01:21.640 --> 00:01:24.120]  但掉下去的那個人就大叫
[00:01:24.120 --> 00:01:25.880]  你千萬不要放手
[00:01:25.880 --> 00:01:29.680]  如果你一放手你會自責一生
[00:01:29.680 --> 00:01:32.400]  Simon用盡一切的能力
[00:01:32.400 --> 00:01:34.600]  都沒有辦法將他拉上來
[00:01:34.600 --> 00:01:37.200]  自己又慢慢被他拉下去了
[00:01:37.200 --> 00:01:41.720]  於是他覺得必須要做一個決定
[00:01:41.720 --> 00:01:44.000]  他想了一會就說了以下的說話
[00:01:44.000 --> 00:01:49.480]  他說每一個人必須要為自己的人生作出抉擇
[00:01:49.480 --> 00:01:51.680]  說完這句話他就放手
[00:01:51.680 --> 00:01:54.680]  然後繼續走他的路
