
[00:00:00.000 --> 00:00:04.000]  各位恩全、朕信的弟兄姊妹、各位好朋友,主內平安!
[00:00:04.000 --> 00:00:11.000]  感謝上帝給了我們今天一個天朗氣清、藍天白雲的祖上,
[00:00:11.000 --> 00:00:15.000]  來敬拜這位創造天地萬物的神。
[00:00:15.000 --> 00:00:18.000]  我們一方面就感謝上帝,
[00:00:18.000 --> 00:00:20.000]  我們能夠在這個感恩節的月份,
[00:00:20.000 --> 00:00:23.000]  能夠有自由的空間來敬拜祂。
[00:00:23.000 --> 00:00:28.000]  另一方面,我相信大家最近這兩個星期,
[00:00:28.000 --> 00:00:30.000]  在不同的新聞裏面,
[00:00:30.000 --> 00:00:32.000]  都不斷聽到中東的局勢,
[00:00:32.000 --> 00:00:34.000]  是令到我們很擔憂,是吧?
[00:00:34.000 --> 00:00:41.000]  我們不明白,為什麼猶太人和哈馬斯這兩個民族,
[00:00:41.000 --> 00:00:45.000]  這麼多年來的家國恩仇,
[00:00:45.000 --> 00:00:48.000]  到今時今日,都未曾解決得到。
[00:00:48.000 --> 00:00:51.000]  或者我們可以看看這兩個國家,
[00:00:51.000 --> 00:00:54.000]  都有尋找他們自己的出路,
[00:00:54.000 --> 00:00:57.000]  以色列希望能夠在中東的地方,
[00:00:57.000 --> 00:01:00.000]  安居樂業,哈馬斯、巴勒斯坦人,
[00:01:00.000 --> 00:01:02.000]  也都有尋找這個出路,
[00:01:02.000 --> 00:01:05.000]  希望能夠建立一個他們自己的國土。
[00:01:05.000 --> 00:01:07.000]  但是一時三刻,
[00:01:07.000 --> 00:01:12.000]  我相信你和我,或者世界上的政府,
[00:01:12.000 --> 00:01:14.000]  都不能夠解決這個問題,是吧?
[00:01:14.000 --> 00:01:16.000]  究竟有沒有出路呢?
[00:01:16.000 --> 00:01:18.000]  我們不知道。
[00:01:18.000 --> 00:01:21.000]  但是最低限度作為基督徒,
[00:01:21.000 --> 00:01:23.000]  我們應該為以色列求平安,是吧?
[00:01:23.000 --> 00:01:26.000]  所以今天我很想在講到之前,
[00:01:26.000 --> 00:01:28.000]  我想和大家一起慰藥,
[00:01:28.000 --> 00:01:32.000]  加沙地帶這些無辜的難民,
[00:01:32.000 --> 00:01:35.000]  或者這些巴勒斯坦人要祈禱,好嗎?
[00:01:35.000 --> 00:01:37.000]  我們一起慰藥,
[00:01:37.000 --> 00:01:39.000]  我們慰藥,
[00:01:39.000 --> 00:01:43.000]  上帝給了我們有機會去敬拜祂,
[00:01:43.000 --> 00:01:44.000]  我們感恩,
[00:01:44.000 --> 00:01:45.000]  但是慰藥,
