
[00:00:00.000 --> 00:00:04.360]  菩薩師妹,讓我們先在聆聽主導,我們一起同心低頭禱告
[00:00:04.360 --> 00:00:09.520]  父神,多謝祢,多謝祢讓我們
[00:00:09.520 --> 00:00:13.200]  在這個倉座裏面能夠看到
[00:00:13.200 --> 00:00:15.320]  上帝祢的
[00:00:15.320 --> 00:00:17.840]  輕與衰
[00:00:17.840 --> 00:00:22.800]  讓我們看見在這個倉座裏面
[00:00:22.800 --> 00:00:26.880]  上帝祢所作成的事情,讓我們去體會到
[00:00:26.880 --> 00:00:29.880]  在人生當中有一個循環
[00:00:30.620 --> 00:00:35.540]  而這個循環是讓我們更加緊貼上帝祢創造的心思意念
[00:00:35.540 --> 00:00:38.900]  因此我們不單止為了
[00:00:38.900 --> 00:00:42.880]  在春天裏面得到生機
[00:00:42.880 --> 00:00:45.300]  勃勃的一個環境
[00:00:45.300 --> 00:00:47.620]  在夏天我們感受到
[00:00:47.620 --> 00:00:50.740]  上帝祢所賜的溫暖的陽光
[00:00:50.740 --> 00:00:54.680]  而讓我們在秋天享受到上帝祢在
[00:00:54.680 --> 00:00:57.700]  這個色彩斑斷的
[00:00:57.700 --> 00:01:01.120]  叢林裏面的創造的奇妙
[00:01:01.120 --> 00:01:03.940]  也讓我們在冬天裏面
[00:01:03.940 --> 00:01:07.180]  能夠去體會到上帝祢讓我們
[00:01:07.180 --> 00:01:10.020]  在這個安息的日子當中
[00:01:10.020 --> 00:01:12.100]  讓我們能夠帶著感恩
[00:01:12.100 --> 00:01:15.500]  求祢的幫助帶領,讓我們在
[00:01:15.500 --> 00:01:17.640]  聆聽祢的話裏面
[00:01:17.640 --> 00:01:20.260]  同樣好像四季裏面我們
[00:01:20.260 --> 00:01:22.800]  在主祢的經歷當中
[00:01:22.800 --> 00:01:25.180]  讓我們能夠體驗到上帝祢的
[00:01:25.180 --> 00:01:28.180]  心思意念,讓我們能夠學會
[00:01:28.180 --> 00:01:31.140]  怎樣遷就在上主祢的
[00:01:31.140 --> 00:01:34.080]  帶領當中,祢的心意怎樣得以
[00:01:34.080 --> 00:01:35.080]  成全
[00:01:35.080 --> 00:01:37.620]  也能夠讓我們在
[00:01:37.620 --> 00:01:40.940]  祢這個創造裏面成為
[00:01:40.940 --> 00:01:42.580]  這個管治者
[00:01:42.580 --> 00:01:45.320]  我們再次獻上感恩
[00:01:45.320 --> 00:01:48.800]  但願在地上每一個屬神祢的
[00:01:48.800 --> 00:01:52.340]  政權都在上主祢的掌握當中
[00:01:52.340 --> 00:01:54.780]  好像我們在主祢的裏面
[00:01:55.200 --> 00:01:58.420]  同心的禱告,奉靠主耶穌基督德性的名字而靠
[00:01:58.420 --> 00:01:59.420]  阿們
[00:01:59.420 --> 00:02:03.100]  在我自己
[00:02:03.100 --> 00:02:06.200]  信奉主的這三十多年的日子裏面
[00:02:06.200 --> 00:02:09.320]  眼見過很多
[00:02:09.320 --> 00:02:12.400]  回教會,又不回教會
[00:02:12.400 --> 00:02:15.400]  的一些信徒或者教徒
[00:02:15.400 --> 00:02:17.800]  不知道你有沒有遇過
[00:02:17.800 --> 00:02:21.260]  有沒有一些是和你特別熟悉的
[00:02:21.260 --> 00:02:24.240]  但是你怎樣叫他回教會也好
[00:02:24.240 --> 00:02:27.620]  怎樣提醒他回教會也好
[00:02:27.620 --> 00:02:30.560]  怎樣甚至希望邀請他
[00:02:30.560 --> 00:02:33.840]  能夠和其他的信徒有多些的交往
[00:02:33.840 --> 00:02:36.900]  但是他拒絕的時候不知道你的心
[00:02:36.900 --> 00:02:38.820]  是怎樣想的呢
[00:02:38.820 --> 00:02:42.220]  為甚麼有些人會信信下主又不信的呢
[00:02:42.220 --> 00:02:45.200]  我相信其中一個
[00:02:45.200 --> 00:02:48.260]  最典型的一個原因就是
[00:02:48.260 --> 00:02:51.320]  原來真正要做一個基督徒
[00:02:51.320 --> 00:02:54.420]  是會遇到很多不同類型的
[00:02:54.420 --> 00:02:57.480]  艱難,是對於我們的
[00:02:57.480 --> 00:03:00.500]  信心,或者我們對上帝的
[00:03:00.500 --> 00:03:03.460]  拯救產生一些猶疑
[00:03:03.460 --> 00:03:05.540]  甚至懷疑
[00:03:05.540 --> 00:03:09.440]  因此,我記得在我最初
[00:03:09.440 --> 00:03:12.360]  信主的時候,有一個弟兄
[00:03:12.360 --> 00:03:15.380]  他曾經這樣講過,他說
[00:03:15.380 --> 00:03:18.400]  我們教會有很多年輕人
[00:03:18.400 --> 00:03:19.400]  我們教會也有很多年輕人
[00:03:19.900 --> 00:03:22.880]  他說,年輕人有一個特點
