
[00:00:00.000 --> 00:00:03.800]  在這裏先和大家預祝大家
[00:00:03.800 --> 00:00:06.600]  新的一個猴年裏面
[00:00:06.600 --> 00:00:08.400]  我們好像猴子一樣
[00:00:08.400 --> 00:00:11.100]  靈性長進之餘
[00:00:11.100 --> 00:00:12.900]  就要活潑事主
[00:00:12.900 --> 00:00:13.800]  好不好?
[00:00:13.800 --> 00:00:15.500]  活潑啊 活潑潑潑
[00:00:15.500 --> 00:00:18.300]  大家真是靈明日新
[00:00:18.300 --> 00:00:22.800]  我們都在神面前有這一份立志
[00:00:22.800 --> 00:00:25.300]  若然我們要好好去侍奉神
[00:00:25.300 --> 00:00:26.800]  在新的一年裏面
[00:00:26.800 --> 00:00:29.300]  我願意今天透過這個訊息
[00:00:29.300 --> 00:00:32.400]  是一個門訓的專題
[00:00:32.400 --> 00:00:36.300]  是一個很重要的基礎
[00:00:36.300 --> 00:00:38.700]  其實神看我們每一個人
[00:00:38.700 --> 00:00:43.400]  最重要不是你自己的愛顯行為
[00:00:43.400 --> 00:00:47.400]  或者一些所謂工作的成就
[00:00:47.400 --> 00:00:49.600]  不是說那些事情不重要
[00:00:49.600 --> 00:00:52.100]  但是那些事情之先
[00:00:52.100 --> 00:00:55.300]  神是先看我們一個人的內心
[00:00:55.300 --> 00:00:57.700]  我們內裏面是一個怎樣的人
[00:00:57.700 --> 00:00:59.400]  這個才是上帝緊張的
[00:00:59.400 --> 00:01:02.100]  神要我們活出我們的信仰
[00:01:02.100 --> 00:01:04.900]  是一個真的信仰
[00:01:04.900 --> 00:01:07.300]  真實的信仰是什麼呢?
[00:01:07.300 --> 00:01:09.200]  就是你是源自內裏
[00:01:09.200 --> 00:01:12.000]  那份和基督結連的生命
[00:01:12.000 --> 00:01:13.500]  那種豐盛
[00:01:13.500 --> 00:01:14.900]  那種真實
[00:01:14.900 --> 00:01:16.500]  透過你的行為
[00:01:16.500 --> 00:01:18.200]  透過你和人的接觸
[00:01:18.200 --> 00:01:19.400]  待人接物
[00:01:19.400 --> 00:01:21.900]  透過你在每一個抉擇
[00:01:21.900 --> 00:01:24.500]  背後你自己的根據
[00:01:25.000 --> 00:01:28.900]  當我們肯去將我們的人生看為
[00:01:28.900 --> 00:01:31.500]  就是我以前不認識主耶穌
[00:01:31.500 --> 00:01:33.200]  如今我認識了祂
