
[00:00:00.000 --> 00:00:04.040]  歡迎大家來到五樓的周圍崇拜
[00:00:04.040 --> 00:00:06.040]  今年的聖誕節
[00:00:06.040 --> 00:00:10.640]  我們會有一個迷你的聖誕講道系列
[00:00:10.640 --> 00:00:12.640]  今天是講上集
[00:00:12.640 --> 00:00:15.640]  下個禮拜是回來講下集
[00:00:15.640 --> 00:00:18.920]  我們今天講道的題目是
[00:00:18.920 --> 00:00:21.320]  尋找聖誕 Seeking Christmas
[00:00:21.320 --> 00:00:23.320]  而下個禮拜我們回來的時候
[00:00:23.320 --> 00:00:28.800]  會是尋見聖誕 Finding Christmas
[00:00:28.800 --> 00:00:30.800]  如果我叫你猜一下
[00:00:30.800 --> 00:00:33.480]  我今天會講些什麼
[00:00:33.480 --> 00:00:36.120]  你會怎麼回答我?
[00:00:36.120 --> 00:00:38.120]  可能你當中會有人說
[00:00:38.120 --> 00:00:40.120]  又是講耶穌
[00:00:40.120 --> 00:00:42.120]  聖誕節嘛
[00:00:42.120 --> 00:00:46.320]  講來講去就是馬槽裡面的小寶寶
[00:00:46.320 --> 00:00:49.640]  每年都是這樣 沒有什麼新意
[00:00:49.640 --> 00:00:52.640]  如果這個是你的答案的話
[00:00:52.640 --> 00:00:55.520]  我會說你答對了一半
[00:00:55.520 --> 00:00:58.360]  我的確是想講耶穌
[00:00:58.360 --> 00:01:01.320]  但我不是想直接跟你講耶穌
[00:01:01.320 --> 00:01:03.680]  我想帶你回到從前
[00:01:03.680 --> 00:01:06.560]  回到聖經的第一本書
[00:01:06.560 --> 00:01:08.320]  叫做《創世紀》
[00:01:08.320 --> 00:01:11.040]  我要跟你在《創世紀》裡面
[00:01:11.040 --> 00:01:14.040]  找耶穌 找聖誕
[00:01:14.040 --> 00:01:16.200]  當你仔細讀聖經的時候
[00:01:16.200 --> 00:01:18.520]  你會發現聖誕
[00:01:18.520 --> 00:01:19.880]  這個聖嬰的誕生
[00:01:19.880 --> 00:01:23.880]  其實是一個古舊的認許
[00:01:23.880 --> 00:01:26.480]  是一個不老的傳說
[00:01:26.480 --> 00:01:31.040]  上帝不是突然整個聖誕出來
[00:01:31.040 --> 00:01:33.600]  而是上帝早有預謀
[00:01:33.600 --> 00:01:36.240]  從頭到尾都已經在為我們
[00:01:36.240 --> 00:01:39.800]  預備他的獨生兒子耶穌基督
[00:01:39.800 --> 00:01:43.640]  要將他賜給世人
[00:01:43.640 --> 00:01:46.000]  如果你有讀過舊約聖經的話
[00:01:46.000 --> 00:01:49.320]  你會知道當你一想到認許的時候
[00:01:49.320 --> 00:01:53.760]  你很自然應該會想到一對父子兵
[00:01:53.760 --> 00:01:58.040]  父親叫做阿伯蘭 或者阿伯拉罕
[00:01:58.040 --> 00:02:01.760]  兒子叫做以撒
[00:02:01.760 --> 00:02:07.280]  阿伯蘭從上帝的身上領受了一個很巨大的認許
[00:02:07.280 --> 00:02:10.920]  所以我們可以說阿伯蘭是認許之父
[00:02:10.920 --> 00:02:13.840]  而他的兒子以撒
[00:02:13.840 --> 00:02:16.880]  是認許成就的一大部分
[00:02:16.880 --> 00:02:20.520]  所以我叫以撒做認許之子
[00:02:20.520 --> 00:02:22.840]  換句話來說
[00:02:22.840 --> 00:02:25.160]  阿伯蘭是尋找認許
[00:02:25.160 --> 00:02:30.480]  而在以撒的身上他尋見了認許
[00:02:30.480 --> 00:02:33.800]  當然所有這一切其實都是一個影子
[00:02:33.800 --> 00:02:35.560]  如果你平時有聽我講道
[00:02:35.560 --> 00:02:37.400]  你知道我們在讀的舊約
[00:02:37.400 --> 00:02:39.800]  其實所有都是影子
[00:02:39.800 --> 00:02:42.440]  是一個箭咀指向新約裡面
[00:02:42.440 --> 00:02:47.680]  主耶穌基督上帝的聖子的誕生
[00:02:47.680 --> 00:02:51.080]  今天我要講的是阿伯蘭的故事
[00:02:51.080 --> 00:02:54.920]  下個星期我們回來會講以撒的故事
[00:02:54.920 --> 00:02:59.920]  還有一種代替以撒的羔羊
[00:02:59.920 --> 00:03:02.520]  聖誕的羔羊
[00:03:02.520 --> 00:03:05.680]  我誠意邀請你和我們一起
[00:03:05.680 --> 00:03:09.600]  在這個季節裡面尋找聖誕
[00:03:09.600 --> 00:03:13.400]  尋見聖誕
[00:03:13.400 --> 00:03:15.960]  說到聖誕每年到了這個時候
[00:03:15.960 --> 00:03:20.720]  其實大家都很不其然之間會和周圍的人說一聲
[00:03:20.720 --> 00:03:23.200]  聖誕快樂
[00:03:23.200 --> 00:03:25.000]  無論他們是基督徒也好
[00:03:25.000 --> 00:03:26.800]  無論他們是非基督徒也好
[00:03:26.800 --> 00:03:29.920]  你都總會說一聲聖誕快樂
[00:03:29.920 --> 00:03:34.160]  聖誕彷彿就是快樂的代名詞
[00:03:34.160 --> 00:03:37.440]  過聖誕就是享受快樂
[00:03:37.440 --> 00:03:38.520]  如果可以的話
[00:03:38.520 --> 00:03:42.800]  我們希望每一天我們都在過聖誕
[00:03:42.800 --> 00:03:47.320]  因為聖誕真的是很開心很快樂
[00:03:47.320 --> 00:03:50.920]  究竟過聖誕節有什麼是這麼快樂呢
[00:03:50.920 --> 00:03:54.560]  有人說我最喜歡聖誕因為有禮物
[00:03:54.560 --> 00:03:56.080]  有人喜歡包禮物
[00:03:56.080 --> 00:03:57.600]  有人喜歡買禮物
[00:03:57.600 --> 00:03:59.440]  有人喜歡送禮物
[00:03:59.440 --> 00:04:02.520]  當然有人喜歡接受禮物
[00:04:02.520 --> 00:04:06.440]  有些人喜歡聖誕因為聖誕有棵聖誕樹
[00:04:06.440 --> 00:04:08.880]  我不知道你今天來公理堂進來的時候
[00:04:08.880 --> 00:04:12.280]  有沒有看到那棵很巨大的聖誕樹
[00:04:12.280 --> 00:04:17.040]  有人每年就是等著這個聖誕樹的出現
[00:04:17.040 --> 00:04:18.720]  有人喜歡聖誕的裝飾
[00:04:18.720 --> 00:04:20.680]  有人喜歡聖誕的燈飾
[00:04:20.680 --> 00:04:24.120]  去維多利亞港看燈
[00:04:24.120 --> 00:04:27.880]  也有人喜歡去開派對
[00:04:27.880 --> 00:04:29.960]  有人最喜歡聖誕
[00:04:29.960 --> 00:04:31.360]  因為聖誕不用上學
[00:04:31.360 --> 00:04:34.960]  可以日夜打機
[00:04:34.960 --> 00:04:36.480]  也有人喜歡聖誕
[00:04:36.480 --> 00:04:42.000]  因為聖誕可以有火雞大餐
[00:04:42.000 --> 00:04:43.480]  也有人喜歡聖誕
[00:04:43.480 --> 00:04:47.920]  因為聖誕有假期可以出國旅行
[00:04:47.920 --> 00:04:48.960]  可以去日本
[00:04:48.960 --> 00:04:50.040]  可以去韓國
[00:04:50.040 --> 00:04:51.120]  可以去歐洲
